"feature","n_cpg","frac_cpg","mean_pct_meth"
"gene",7452241,0.434288762966833,19.6704162114605
"exon",1242316,0.0723975350305907,19.635202705819
"intron",6235238,0.363366375003679,19.665892346168
"mRNA",7125665,0.415257133815997,19.9552647164567
"promoter_1kb",614337,0.0358012651194124,7.30067031989722
"intergenic",9709347,0.565824467813874,5.43543489331902
