CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
46	6710	1045919	0.64	1052629
47	6398	1044438	0.61	1050836
48	6453	1035480	0.62	1041933
49	6629	1038114	0.63	1044743
50	6785	1034384	0.65	1041169
51	6956	1036959	0.67	1043915
52	6971	1039263	0.67	1046234
53	6844	1037515	0.66	1044359
54	6941	1037967	0.66	1044908
55	7041	1038249	0.67	1045290
56	7111	1036672	0.68	1043783
57	7042	1038089	0.67	1045131
58	7111	1037519	0.68	1044630
59	7127	1034040	0.68	1041167
60	7152	1038194	0.68	1045346
61	7246	1038338	0.69	1045584
62	7259	1029421	0.70	1036680
63	7502	1033270	0.72	1040772
64	7533	1040147	0.72	1047680
65	7505	1037409	0.72	1044914
66	7589	1034700	0.73	1042289
67	7622	1036457	0.73	1044079
68	7860	1035429	0.75	1043289
69	7910	1033023	0.76	1040933
70	7871	1035942	0.75	1043813
71	7921	1029827	0.76	1037748
72	7978	1030886	0.77	1038864
73	8013	1033360	0.77	1041373
74	8165	1026943	0.79	1035108
75	8247	1029883	0.79	1038130
76	8407	1032195	0.81	1040602
77	8645	1030465	0.83	1039110
78	8761	1031184	0.84	1039945
79	8823	1035346	0.84	1044169
80	9023	1027881	0.87	1036904
81	9054	1028113	0.87	1037167
82	9427	1030340	0.91	1039767
83	9501	1021622	0.92	1031123
84	9677	1026113	0.93	1035790
85	10137	1023220	0.98	1033357
86	10205	1023616	0.99	1033821
87	10148	1021825	0.98	1031973
88	10701	1026279	1.03	1036980
89	10968	1017015	1.07	1027983
90	11232	1016617	1.09	1027849
91	11367	1017464	1.10	1028831
92	11792	1017140	1.15	1028932
93	12124	1013241	1.18	1025365
94	12401	1017496	1.20	1029897
95	12821	1013881	1.25	1026702
96	13365	1009192	1.31	1022557
97	13520	1007245	1.32	1020765
98	13936	1004496	1.37	1018432
99	14677	1002418	1.44	1017095
100	14956	1004426	1.47	1019382
101	15368	1000242	1.51	1015610
102	15840	994591	1.57	1010431
103	16487	995316	1.63	1011803
104	16816	990053	1.67	1006869
105	17397	987607	1.73	1005004
106	17946	987287	1.79	1005233
107	18726	984108	1.87	1002834
108	19318	983420	1.93	1002738
109	19916	980661	1.99	1000577
110	20976	976165	2.10	997141
111	21483	971452	2.16	992935
112	22247	972270	2.24	994517
113	22666	966928	2.29	989594
114	23673	964561	2.40	988234
115	24084	964133	2.44	988217
116	24473	952370	2.51	976843
117	25791	951169	2.64	976960
118	26362	948680	2.70	975042
119	27091	940803	2.80	967894
120	28182	941062	2.91	969244
121	28949	938748	2.99	967697
122	29414	931302	3.06	960716
123	30454	926888	3.18	957342
124	31612	925402	3.30	957014
125	32616	919646	3.43	952262
126	33440	912374	3.54	945814
127	35812	909939	3.79	945751
128	36385	905051	3.86	941436
129	37434	899810	3.99	937244
130	57610	918543	5.90	976153
131	57480	904948	5.97	962428

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	30430	4586522	0.66	4616952
2	30318	4572697	0.66	4603015
3	30725	4548080	0.67	4578805
4	32252	4531481	0.71	4563733
5	32982	4527532	0.72	4560514
6	31603	4526924	0.69	4558527
7	31268	4558458	0.68	4589726
8	31715	4541744	0.69	4573459
9	31439	4582965	0.68	4614404
10	32516	4585060	0.70	4617576
11	32150	4599117	0.69	4631267
12	32201	4591068	0.70	4623269
13	31460	4594260	0.68	4625720
14	31423	4568565	0.68	4599988
15	31401	4571960	0.68	4603361
16	33645	4567473	0.73	4601118
17	32916	4543360	0.72	4576276
18	31524	4569797	0.69	4601321
19	31607	4596970	0.68	4628577
20	32017	4597990	0.69	4630007
21	32271	4600052	0.70	4632323
22	32164	4626933	0.69	4659097
23	32479	4581493	0.70	4613972
24	32217	4598173	0.70	4630390
25	32196	4616248	0.69	4648444
26	31425	4583817	0.68	4615242
27	32246	4583743	0.70	4615989
28	32458	4594885	0.70	4627343
29	32467	4572523	0.71	4604990
30	32003	4579904	0.69	4611907
31	32349	4608497	0.70	4640846
32	32234	4613833	0.69	4646067
33	32146	4606696	0.69	4638842
34	33100	4618323	0.71	4651423
35	32969	4600928	0.71	4633897
36	32461	4598937	0.70	4631398
37	32456	4603035	0.70	4635491
38	31838	4602481	0.69	4634319
39	32760	4599997	0.71	4632757
40	33041	4629347	0.71	4662388
41	32665	4626929	0.70	4659594
42	33047	4632748	0.71	4665795
43	32685	4629342	0.70	4662027
44	32775	4619722	0.70	4652497
45	33131	4613661	0.71	4646792
46	33765	4609649	0.73	4643414
47	33723	4601179	0.73	4634902
48	34040	4616982	0.73	4651022
49	34526	4621261	0.74	4655787
50	34430	4605034	0.74	4639464
51	34790	4615968	0.75	4650758
52	35189	4616710	0.76	4651899
53	35152	4612199	0.76	4647351
54	36089	4598416	0.78	4634505
55	35282	4602514	0.76	4637796
56	35545	4600217	0.77	4635762
57	36050	4595011	0.78	4631061
58	36235	4601737	0.78	4637972
59	36349	4599457	0.78	4635806
60	36671	4612411	0.79	4649082
61	36969	4613648	0.79	4650617
62	37615	4599995	0.81	4637610
63	37153	4604622	0.80	4641775
64	38416	4612151	0.83	4650567
65	38357	4600331	0.83	4638688
66	38293	4599888	0.83	4638181
67	38558	4595081	0.83	4633639
68	38852	4597379	0.84	4636231
69	39691	4597539	0.86	4637230
70	40410	4595758	0.87	4636168
71	40545	4589885	0.88	4630430
72	40942	4598597	0.88	4639539
73	41178	4603732	0.89	4644910
74	41854	4589675	0.90	4631529
75	42793	4586120	0.92	4628913
76	43427	4589813	0.94	4633240
77	43800	4576256	0.95	4620056
78	44732	4572743	0.97	4617475
79	44983	4578428	0.97	4623411
80	46295	4564975	1.00	4611270
81	47035	4564339	1.02	4611374
82	48047	4583597	1.04	4631644
83	48890	4573928	1.06	4622818
84	50056	4577426	1.08	4627482
85	51054	4578254	1.10	4629308
86	52468	4551849	1.14	4604317
87	52881	4548803	1.15	4601684
88	54661	4533585	1.19	4588246
89	55324	4514714	1.21	4570038
90	56732	4516343	1.24	4573075
91	58571	4528213	1.28	4586784
92	60231	4530137	1.31	4590368
93	61370	4528708	1.34	4590078
94	64128	4535429	1.39	4599557
95	65664	4509078	1.44	4574742
96	67954	4498349	1.49	4566303
97	69883	4487072	1.53	4556955
98	72073	4481872	1.58	4553945
99	73805	4477018	1.62	4550823
100	77270	4484389	1.69	4561659
101	79408	4470660	1.75	4550068
102	81366	4463609	1.79	4544975
103	84586	4478914	1.85	4563500
104	87435	4462800	1.92	4550235
105	90528	4451059	1.99	4541587
106	93880	4432164	2.07	4526044
107	96459	4405337	2.14	4501796
108	100631	4388529	2.24	4489160
109	102867	4382097	2.29	4484964
110	107889	4359577	2.41	4467466
111	109296	4357234	2.45	4466530
112	113475	4365358	2.53	4478833
113	116263	4342772	2.61	4459035
114	120532	4334977	2.71	4455509
115	123554	4312895	2.78	4436449
116	127451	4282743	2.89	4410194
117	131356	4269537	2.98	4400893
118	136136	4261881	3.10	4398017
119	140575	4235587	3.21	4376162
120	144824	4228262	3.31	4373086
121	149049	4214141	3.42	4363190
122	152170	4194261	3.50	4346431
123	157319	4173260	3.63	4330579
124	161657	4164288	3.74	4325945
125	166975	4137132	3.88	4304107
126	174383	4118392	4.06	4292775
127	180722	4119253	4.20	4299975
128	195112	4104759	4.54	4299871
129	200736	4083914	4.69	4284650
130	202650	4067191	4.75	4269841
131	221075	4022881	5.21	4243956

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	66169	501685	11.65	567854
2	64535	490871	11.62	555406
3	64423	486664	11.69	551087
4	64106	484133	11.69	548239
5	62640	478922	11.57	541562
6	62710	475513	11.65	538223
7	61494	472669	11.51	534163
