Sample	Unique Reads	Duplicate Reads
105M_1	77084662	15891784
105M_2	86141716	6834730
106M_1	73178544	15107117
106M_2	80443115	7842546
107M_1	78754505	15851975
107M_2	86860597	7745883
109M_1	77819470	15451630
109M_2	85614858	7656242
239M_1	88717975	19394236
239M_2	98732911	9379300
240M_1	70910122	17608974
240M_2	81582377	6936719
241M_1	71405629	15657751
241M_2	80214325	6849055
242M_1	67326033	19467735
242M_2	79951016	6842752
269M_1	80735889	16270945
269M_2	89443437	7563397
270M_1	80761199	19249442
270M_2	91372258	8638383
271M_1	76402168	15174418
271M_2	84365390	7211196
272M_1	75102580	15319304
272M_2	83075436	7346448
69M_1	74818369	19450733
69M_2	86471643	7797459
70M_1	75181836	19204246
70M_2	86395277	7990805
71M_1	72777145	18053136
71M_2	83014490	7815791
72M_1	74955128	17321823
72M_2	84554147	7722804
78M_1	79592684	18478186
78M_2	89830551	8240319
79M_1	75140922	13946419
79M_2	82731881	6355460
80M_1	76979630	15813798
80M_2	85584112	7209316
81M_1	75248513	16151824
81M_2	84221115	7179222
92M_1	77819422	15362779
92M_2	86046201	7136000
93M_1	75959810	16172305
93M_2	84444586	7687529
94M_1	77059357	18489388
94M_2	87475036	8073709
95M_1	72156245	13996713
95M_2	79608779	6544179
