.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
105M_1	1	1	0.25	1	0.5	0.5	1	1	1	1	0.5
105M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
106M_1	1	1	0.25	1	0.25	0.5	1	1	1	1	1
106M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	1
107M_1	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
107M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
109M_1	1	1	0.25	1	0.25	0.5	1	1	1	1	1
109M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
239M_1	1	1	0.25	1	0.5	0.5	1	1	1	1	0.5
239M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
240M_1	1	1	0.25	1	0.5	0.5	1	1	1	1	0.5
240M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
241M_1	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
241M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
242M_1	1	1	0.25	1	0.25	1	1	1	1	1	0.5
242M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
269M_1	1	1	0.25	1	0.5	0.5	1	1	1	1	0.5
269M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
270M_1	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
270M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
271M_1	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
271M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
272M_1	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
272M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
69M_1	1	1	0.25	1	0.5	0.5	1	1	1	1	0.5
69M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
70M_1	1	1	0.25	1	0.5	0.5	1	1	1	1	0.5
70M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
71M_1	1	1	0.25	1	0.25	0.5	1	1	1	1	1
71M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	1
72M_1	1	1	0.25	1	0.5	0.5	1	1	1	1	1
72M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	1
78M_1	1	1	0.25	1	0.5	0.5	1	1	1	1	1
78M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	1
79M_1	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
79M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
80M_1	1	1	0.25	1	0.5	0.5	1	1	1	1	0.5
80M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
81M_1	1	1	0.25	1	0.25	0.5	1	1	1	1	1
81M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	1
92M_1	1	1	0.25	1	0.5	0.5	1	1	1	1	0.5
92M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
93M_1	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
93M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
94M_1	1	1	0.25	1	0.5	0.5	1	1	1	1	0.5
94M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
95M_1	1	1	0.25	1	0.5	0.5	1	1	1	1	0.5
95M_2	1	1	0.25	1	0.25	0.5	1	1	1	1	0.5
