Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
240M_1	(1, 0.05310266611850623)	(2, 0.05378726416275196)	(3, 0.00012765607095671197)	(4, 0.024539337817006172)	(5, 0.007079828289254107)	(6, 0.007858191412167155)	(7, 0.0004846411897383136)	(8, 0.0660151341807648)	(9, 9.037597943838017e-06)	(10, 0.014517093577187007)	(15, 0.04203364209684202)	(20, 0.09778974697165908)	(25, 0.12356994698635422)	(30, 0.12580517089781396)	(35, 0.160026939271951)	(40, 0.11403731461514248)	(45, 0.14790684260941844)	(50, 0.08795412912938018)	(55, 0.043081325638481445)	(60, 0.0276008241204813)	(65, 0.007239115953014252)	(70, 0.05787248437331533)	(75, 0.03868295265916407)	(80, 0.06013798423788693)	(85, 0.003049059606302351)	(90, 0.05111868742988518)	(95, 0.012229225657704412)	(100, 0.0018929248893368726)	(105, 0.040805884416171626)	(110, 0.0017514864815158077)	(115, 0.042207841797209496)	(120, 0.013147219668849758)	(125, 0.03330196684340292)	(130, 0.033786833973089826)	(135, 0.0746297725408312)	(140, 0.025677623278032573)	(145, 0.02734664167831086)	(150, 0.0004456665486055122)
240M_2	(1, 0.060074043232434274)	(2, 0.02874633965986277)	(3, 0.008313460408587995)	(4, 0.007765556033242816)	(5, 0.002709019983665445)	(6, 0.03712080385457167)	(7, 0.07098581304987571)	(8, 0.0015702826427418553)	(9, 0.002384796157430257)	(10, 0.02915596878666723)	(15, 0.03655866526246495)	(20, 0.016181819118441968)	(25, 0.023485779836703257)	(30, 0.03195649444951403)	(35, 0.06672210027992152)	(40, 0.007690995850206153)	(45, 0.03738018291555982)	(50, 0.0574949387192115)	(55, 0.047728684441151546)	(60, 0.030975689132659013)	(65, 0.02397832892464243)	(70, 0.08339014216774197)	(75, 0.009998294605267998)	(80, 0.011412452743530052)	(85, 0.07143091474860973)	(90, 0.08931790265910533)	(95, 0.12461898616768523)	(100, 0.00901116296985229)	(105, 0.028510006473631406)	(110, 0.028514525272603324)	(115, 0.0498568128169768)	(120, 0.042741511955793135)	(125, 0.046260300715226466)	(130, 0.05036065890234577)	(135, 0.08282348477666333)	(140, 0.03161668076682572)	(145, 0.023583159954548114)	(150, 0.02733477983100957)
241M_1	(1, 0.05218726863119718)	(2, 0.06207431873193988)	(3, 0.0001355334470129692)	(4, 0.023324387360104788)	(5, 0.008801633936104938)	(6, 0.009800905960692084)	(7, 0.00048815012695349066)	(8, 0.061502321642003796)	(9, 1.1485885340082133e-05)	(10, 0.013650974726687616)	(15, 0.0387368374625474)	(20, 0.09115520210678704)	(25, 0.11493075504305024)	(30, 0.1180836305689028)	(35, 0.146302842825537)	(40, 0.10738085289130747)	(45, 0.14006233160256354)	(50, 0.08146341205682572)	(55, 0.03995617905025052)	(60, 0.02580855464145775)	(65, 0.006985026310717548)	(70, 0.05308064079294877)	(75, 0.0359969943735242)	(80, 0.05675267833617303)	(85, 0.0033412440454298926)	(90, 0.0476875581903666)	(95, 0.011694009582444423)	(100, 0.0021634813626578704)	(105, 0.03892589513524515)	(110, 0.0019983143314674895)	(115, 0.03932032043782357)	(120, 0.012597489323295283)	(125, 0.03153380904807509)	(130, 0.03175410832889786)	(135, 0.07017071930816378)	(140, 0.02466685763865359)	(145, 0.025814527301834592)	(150, 0.00042268058051502254)
241M_2	(1, 0.06193419093079088)	(2, 0.026573744322814022)	(3, 0.009568891076822425)	(4, 0.00906351212185881)	(5, 0.0024258189838253464)	(6, 0.034544948748831024)	(7, 0.06729235644193919)	(8, 0.0014231011936361763)	(9, 0.0022523821151901064)	(10, 0.02693256338083819)	(15, 0.03422127649994751)	(20, 0.015570036449308539)	(25, 0.02203658989577478)	(30, 0.030143557486511548)	(35, 0.06252755176745953)	(40, 0.0072462153433510154)	(45, 0.035098798139929784)	(50, 0.05349688927767334)	(55, 0.04613282875073309)	(60, 0.028729415283440637)	(65, 0.022905841698312196)	(70, 0.0780470503212717)	(75, 0.009416817954919738)	(80, 0.01087276878062855)	(85, 0.06708078643397487)	(90, 0.08470725579457172)	(95, 0.11832506387875132)	(100, 0.008642669282998202)	(105, 0.02677451759855866)	(110, 0.02702904481769488)	(115, 0.04611628907584337)	(120, 0.04104687872214472)	(125, 0.0440931652320413)	(130, 0.04714634327314193)	(135, 0.07759335785033845)	(140, 0.03061493822086852)	(145, 0.022227485310126943)	(150, 0.025759969346469205)
242M_1	(1, 0.048191248016793094)	(2, 0.06867774193188617)	(3, 0.00016591052942879493)	(4, 0.02333808113965049)	(5, 0.010153954832333122)	(6, 0.011336067354513287)	(7, 0.00043321082684185346)	(8, 0.059298036236887425)	(9, 1.9586659724232734e-05)	(10, 0.013085962577405328)	(15, 0.0383463015455211)	(20, 0.08723299119816989)	(25, 0.11100151798917177)	(30, 0.1122002215642948)	(35, 0.14409559912181713)	(40, 0.10288757137494019)	(45, 0.13224912645801942)	(50, 0.07906535409316484)	(55, 0.03864033187267547)	(60, 0.024932896103784775)	(65, 0.006731819731573354)	(70, 0.052172178997920676)	(75, 0.03476609057922223)	(80, 0.0544933133908877)	(85, 0.0036127017783120097)	(90, 0.046347336827224736)	(95, 0.011567881233131853)	(100, 0.0023907246428107602)	(105, 0.037045286477250305)	(110, 0.0022520050057050177)	(115, 0.03802300644442583)	(120, 0.011881959082592198)	(125, 0.030313466745676948)	(130, 0.030791150811657352)	(135, 0.06587454527841216)	(140, 0.023063176609638608)	(145, 0.02476537255531987)	(150, 0.00044530846961270305)
242M_2	(1, 0.06535146624812971)	(2, 0.02665859604113512)	(3, 0.011151722321814626)	(4, 0.010153954832333122)	(5, 0.002654568470860719)	(6, 0.03402318009744663)	(7, 0.06368199154575245)	(8, 0.0014044787178729239)	(9, 0.002426441492896126)	(10, 0.026741551305849518)	(15, 0.03341023286372358)	(20, 0.015010063856197601)	(25, 0.020895048593811482)	(30, 0.029728862560731317)	(35, 0.0599072965699565)	(40, 0.007436248187773113)	(45, 0.034495794675027815)	(50, 0.0519318391615398)	(55, 0.043478467255851826)	(60, 0.028108700154600957)	(65, 0.02209628691313413)	(70, 0.07510032287110752)	(75, 0.00949284745881755)	(80, 0.011017841741817224)	(85, 0.06431429500790886)	(90, 0.08085257918517837)	(95, 0.1118253098540439)	(100, 0.009020463312527231)	(105, 0.025733875270860462)	(110, 0.026420790948953846)	(115, 0.04572425061670326)	(120, 0.03905856466561056)	(125, 0.042115005307754354)	(130, 0.047067434611203884)	(135, 0.07586996338262443)	(140, 0.029532074238325497)	(145, 0.022562679845861744)	(150, 0.025879738277983275)
269M_1	(1, 0.04308871682174474)	(2, 0.058861832352965986)	(3, 0.0003236885351809338)	(4, 0.019699643016903325)	(5, 0.008535481118783857)	(6, 0.00900967451427185)	(7, 0.0004216197799012799)	(8, 0.05114691197941787)	(9, 6.08204572473729e-05)	(10, 0.01150083920891594)	(15, 0.03356691344034586)	(20, 0.07642904828746395)	(25, 0.0950656734143081)	(30, 0.10197611438385876)	(35, 0.12565692021244607)	(40, 0.0953938977124024)	(45, 0.11936189980182221)	(50, 0.06835765818313377)	(55, 0.033711851682531976)	(60, 0.021669607318593655)	(65, 0.005900821379244271)	(70, 0.04458242601753192)	(75, 0.03053743615630214)	(80, 0.04719873653437654)	(85, 0.003094421162121423)	(90, 0.040288295564825875)	(95, 0.010212270199437701)	(100, 0.0022361311162881576)	(105, 0.032670275580790525)	(110, 0.004282791045422635)	(115, 0.03288861071375652)	(120, 0.01067306247722712)	(125, 0.031528500352872045)	(130, 0.026303507647718924)	(135, 0.0600914364445705)	(140, 0.02013981819054109)	(145, 0.021648990214442006)	(150, 0.0003762621507676459)
269M_2	(1, 0.0598555767730756)	(2, 0.023974599562748333)	(3, 0.015313354108639397)	(4, 0.02103047708989245)	(5, 0.0023225167826835787)	(6, 0.029648426625282914)	(7, 0.055653810946968946)	(8, 0.0012988775615540653)	(9, 0.0020792349536940874)	(10, 0.033815555716414786)	(15, 0.02902702710615213)	(20, 0.016779642555904875)	(25, 0.019689746806910532)	(30, 0.025434084365643764)	(35, 0.052260854116731606)	(40, 0.006336873132051706)	(45, 0.03257935415148174)	(50, 0.04503682699303432)	(55, 0.038383275141213244)	(60, 0.02936803400882045)	(65, 0.023892955830307788)	(70, 0.068235604926556)	(75, 0.008722272082397824)	(80, 0.009676225491494755)	(85, 0.05659828048815613)	(90, 0.0738797433591122)	(95, 0.10252638489366636)	(100, 0.007770586554757575)	(105, 0.027645062614866905)	(110, 0.022690153974100423)	(115, 0.03908466902445244)	(120, 0.034386237159332506)	(125, 0.03714315632649139)	(130, 0.04025427734297565)	(135, 0.06891679404772658)	(140, 0.025727259586680252)	(145, 0.02368678478879127)	(150, 0.022241731958801997)
270M_1	(1, 0.04529318035267867)	(2, 0.05285137608507078)	(3, 0.00027897031476880544)	(4, 0.020713795844984135)	(5, 0.007137240526235603)	(6, 0.007673183496544133)	(7, 0.00043595361017634114)	(8, 0.054933154563022946)	(9, 6.099350968063488e-05)	(10, 0.012237497807858266)	(15, 0.036179750112790496)	(20, 0.08233523870724917)	(25, 0.1017679708702197)	(30, 0.10824968115142869)	(35, 0.13475046120342335)	(40, 0.10179316818897302)	(45, 0.12684210273184832)	(50, 0.07291404121687411)	(55, 0.03645572074675534)	(60, 0.023225928528945235)	(65, 0.0062583340506736675)	(70, 0.04763533112441505)	(75, 0.032462345681796)	(80, 0.05057681812078377)	(85, 0.0028526964445713334)	(90, 0.0430116231331824)	(95, 0.010608671131304918)	(100, 0.002081178541791368)	(105, 0.03471770568893764)	(110, 0.003992175192637751)	(115, 0.03527364653127261)	(120, 0.01102322701841297)	(125, 0.03264992572140398)	(130, 0.028310587470387276)	(135, 0.06385740493354103)	(140, 0.02153690825759231)	(145, 0.02316953452983068)	(150, 0.00035746196247257326)
270M_2	(1, 0.05756987398970875)	(2, 0.024872353332881847)	(3, 0.01375153669897986)	(4, 0.01917195991174579)	(5, 0.0023187532614654476)	(6, 0.0313446646142384)	(7, 0.05940567864173574)	(8, 0.0013088607241303453)	(9, 0.0021037761371812424)	(10, 0.034849091708151335)	(15, 0.031027698342619363)	(20, 0.017246164835599844)	(25, 0.020832583204821176)	(30, 0.02708211819180321)	(35, 0.05561868161608923)	(40, 0.006340525304702327)	(45, 0.03420116065449475)	(50, 0.04799909241657595)	(55, 0.04022671947478069)	(60, 0.030413363713967197)	(65, 0.02442080138252489)	(70, 0.07203473478387165)	(75, 0.008675876799949718)	(80, 0.00966157191213283)	(85, 0.05986143014521825)	(90, 0.07756654614382483)	(95, 0.10848125650949482)	(100, 0.007638187220497867)	(105, 0.028229996046120732)	(110, 0.02359668907631539)	(115, 0.0410732293976598)	(120, 0.03614015432617815)	(125, 0.03882786832653137)	(130, 0.042334095228926685)	(135, 0.0729590364289336)	(140, 0.026636965560494708)	(145, 0.02408883670688602)	(150, 0.022889064374659894)
271M_1	(1, 0.05140069318591981)	(2, 0.05677433749277353)	(3, 0.0001255779506783535)	(4, 0.02406291931433216)	(5, 0.0076264035438054)	(6, 0.008411538731090063)	(7, 0.0004684603551392492)	(8, 0.0643319461592508)	(9, 1.965567923661186e-05)	(10, 0.014520305441393067)	(15, 0.041671131963796945)	(20, 0.09730478487153911)	(25, 0.1210872831620956)	(30, 0.1260879063563256)	(35, 0.15658871580995606)	(40, 0.11319094162344073)	(45, 0.14823374175578025)	(50, 0.08690125224803641)	(55, 0.04279216086959171)	(60, 0.027213069506653156)	(65, 0.007242681005819545)	(70, 0.056808625733219625)	(75, 0.03855002849745895)	(80, 0.059536615614825386)	(85, 0.003081355314992852)	(90, 0.050921531405418406)	(95, 0.012301616048451513)	(100, 0.0019529009303753692)	(105, 0.04090259490564542)	(110, 0.0017993682358938344)	(115, 0.0417392716518172)	(120, 0.013233513640702877)	(125, 0.03313401528202853)	(130, 0.033502013276625095)	(135, 0.07507814279077843)	(140, 0.025542118375105186)	(145, 0.02709688260272118)	(150, 0.0004165912015981902)
271M_2	(1, 0.060623574676610024)	(2, 0.027301738459653866)	(3, 0.00861246345217543)	(4, 0.008004229378020273)	(5, 0.002340117811336623)	(6, 0.0369537689470101)	(7, 0.06919017487723336)	(8, 0.0013879093505407593)	(9, 0.00213482516153201)	(10, 0.028642692576462722)	(15, 0.03649360765643742)	(20, 0.01605497719690053)	(25, 0.023126217000489623)	(30, 0.031798739472554696)	(35, 0.06581027163427997)	(40, 0.007315843811866934)	(45, 0.037368066986030686)	(50, 0.05673415254855646)	(55, 0.047108984822823594)	(60, 0.02981220549104113)	(65, 0.02341537388170378)	(70, 0.08233960589009073)	(75, 0.009527544518857692)	(80, 0.010907373201267844)	(85, 0.07098320961648429)	(90, 0.08886376262159412)	(95, 0.12448356613774617)	(100, 0.008586911069167834)	(105, 0.02799689431532204)	(110, 0.02776189975022655)	(115, 0.048528780053014864)	(120, 0.042299895302932565)	(125, 0.04541182611896014)	(130, 0.05001256543894309)	(135, 0.0823101223712358)	(140, 0.030829714486189735)	(145, 0.022934464929714675)	(150, 0.026946844251215043)
272M_1	(1, 0.0515981286123169)	(2, 0.05495682881369735)	(3, 0.0001072749158820889)	(4, 0.023868115820280852)	(5, 0.0072017964146820915)	(6, 0.008272333719567267)	(7, 0.00048660786585689813)	(8, 0.06457175787224252)	(9, 6.6355618071395196e-06)	(10, 0.014359355750649921)	(15, 0.04077066122621378)	(20, 0.09619264292259162)	(25, 0.12158914981245028)	(30, 0.12598720017822235)	(35, 0.1564924261033977)	(40, 0.11390627516675057)	(45, 0.14807764899037051)	(50, 0.08683052876889848)	(55, 0.04240632721167367)	(60, 0.027221065201428453)	(65, 0.007180120246112103)	(70, 0.056823854720832845)	(75, 0.03844556036899209)	(80, 0.05931550817941374)	(85, 0.00305766688072989)	(90, 0.05042695195335677)	(95, 0.012212751506040287)	(100, 0.0019110418004561816)	(105, 0.04056517999558602)	(110, 0.001750903575510548)	(115, 0.04161293520493335)	(120, 0.013337036861563293)	(125, 0.032947997411777)	(130, 0.03335453616516108)	(135, 0.07478455104961096)	(140, 0.025730939204938488)	(145, 0.027163114628312765)	(150, 0.0004407118966908497)
