Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
107M_2 - polyg	(1, 0.06545851827485813)	(2, 0.06713282219146088)	(3, 0.0673664214121485)	(4, 0.06755774023090173)	(5, 0.0677131207080107)	(6, 0.06783784789371722)	(7, 0.06797103115981062)	(8, 0.06812112658667778)	(9, 0.06823422666185233)	(10, 0.06865639647516744)	(15, 0.06907750927843422)	(20, 0.06933541973023413)	(25, 0.06953857706152898)	(30, 0.06981255406606399)	(35, 0.07022542219095351)	(40, 0.0708475783054184)	(45, 0.07174075179628288)	(50, 0.07283665981442286)	(55, 0.07418582744014998)	(60, 0.07563837064860673)	(65, 0.07725707583666573)	(70, 0.07906583143141992)	(75, 0.14120893198859105)	(80, 0.22099437586093468)	(85, 0.24117650292030737)	(90, 0.25171764132858554)	(95, 0.26368384068406303)	(100, 0.2807579353972371)	(105, 0.30080391956238095)	(110, 0.31691423251346)	(115, 0.33284760198244345)	(120, 0.3495418072842368)	(125, 0.36819655482372876)	(130, 0.38934056102710934)	(135, 0.4136410106369035)	(140, 0.42966507156803635)
109M_1 - illumina_universal_adapter	(1, 0.07985646143339148)	(2, 0.08162764243157848)	(3, 0.10230071265375877)	(4, 0.10344683401396575)	(5, 0.11396134493964369)	(6, 0.12536573493826061)	(7, 0.1305098792659248)	(8, 0.1329125527628601)	(9, 0.13460010657106006)	(10, 0.13885908925701532)	(15, 0.14493857154038067)	(20, 0.1515348269721275)	(25, 0.16102008017488803)	(30, 0.17209103355701819)	(35, 0.18312853606315352)	(40, 0.1949188977078645)	(45, 0.20776167537425846)	(50, 0.22210695488741958)	(55, 0.23863576177401144)	(60, 0.25805399528900164)	(65, 0.28034107027793176)	(70, 0.3069776168609569)	(75, 0.3394835056089185)	(80, 0.37981947248397413)	(85, 0.43136234053206196)	(90, 0.4990664846881832)	(95, 0.5887414215121296)	(100, 0.709611444488164)	(105, 0.8739390872413855)	(110, 1.0981611667494002)	(115, 1.403661798777971)	(120, 1.813779831051633)	(125, 2.3588558513837623)	(130, 3.068854125232789)	(135, 3.971519366663415)	(140, 4.605523039826913)
109M_1 - polya	(1, 0.006634423738971665)	(2, 0.008620033429433125)	(3, 0.010928358301767643)	(4, 0.013550821208284238)	(5, 0.01632231205593158)	(6, 0.019363983055844736)	(7, 0.022783048554160936)	(8, 0.02575931880293038)	(9, 0.02869377545670631)	(10, 0.03652707001418446)	(15, 0.0489043229896506)	(20, 0.06060591115575993)	(25, 0.07198092442353525)	(30, 0.08342434044414615)	(35, 0.09483366230268539)	(40, 0.10628801418660228)	(45, 0.11781741611281522)	(50, 0.1296343669153682)	(55, 0.14132501921817153)	(60, 0.1531361804460331)	(65, 0.16504383458541821)	(70, 0.17728599748475146)	(75, 0.1884039107504897)	(80, 0.19939531108778602)	(85, 0.21037320241746907)	(90, 0.2214276447902941)	(95, 0.23243812928120286)	(100, 0.2433915757399666)	(105, 0.2548894566484153)	(110, 0.2661774118671271)	(115, 0.277038010702136)	(120, 0.28755059176958353)	(125, 0.2983406435648341)	(130, 0.30903120044686944)	(135, 0.31920305432229273)	(140, 0.3251264325176823)
109M_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0005939674776002427)	(4, 0.0009649291152350513)	(5, 0.0012812114363398737)	(6, 0.0016092873355197912)	(7, 0.0019630946777726434)	(8, 0.0022718719946478597)	(9, 0.0025742164507548426)	(10, 0.0037003959425802846)	(15, 0.0058841377447033435)	(20, 0.008051154108828996)	(25, 0.010046413090442807)	(30, 0.012069762230744572)	(35, 0.014164087268189181)	(40, 0.01646555042237092)	(45, 0.0325980930856396)	(50, 0.05388421493903256)	(55, 0.06102061624661872)	(60, 0.06550110377169348)	(65, 0.0799199323263047)	(70, 0.11975585149097631)	(75, 0.15741403285690853)	(80, 0.17328540137298692)	(85, 0.18410718861469416)	(90, 0.1958563799504884)	(95, 0.21018021659442207)	(100, 0.22587403815329724)	(105, 0.24282955813751528)	(110, 0.26107508113445643)	(115, 0.2803318498441639)	(120, 0.30215275685608944)	(125, 0.32825473270927435)	(130, 0.3594708328732051)	(135, 0.39744551098893444)	(140, 0.4229252147771389)
109M_2 - illumina_universal_adapter	(1, 0.061393078885099456)	(2, 0.06315139416175)	(3, 0.08370116788587248)	(4, 0.08483549566800434)	(5, 0.09523850367369957)	(6, 0.10660322436424573)	(7, 0.11171091581422327)	(8, 0.11411895002846541)	(9, 0.11585153386204301)	(10, 0.12106150779823546)	(15, 0.13127110112349913)	(20, 0.1441123777890472)	(25, 0.15829104620831105)	(30, 0.16957042427933197)	(35, 0.18019751026845401)	(40, 0.19179831694919433)	(45, 0.20466511062912307)	(50, 0.2189722218350593)	(55, 0.23544248968866027)	(60, 0.2547629437199733)	(65, 0.2769288664977683)	(70, 0.3034489783008885)	(75, 0.33571835220127133)	(80, 0.3756595558538497)	(85, 0.4263200498332281)	(90, 0.4926018884734928)	(95, 0.5806373035163089)	(100, 0.6999162655956668)	(105, 0.8620934029940678)	(110, 1.0828181505310863)	(115, 1.3838788220574219)	(120, 1.7883807524517237)	(125, 2.326651449377138)	(130, 3.0287896250821533)	(135, 3.9231170212423785)	(140, 4.55224501480094)
109M_2 - polya	(1, 0.00046209383185145237)	(2, 0.0016532452174360546)	(3, 0.007679763613809637)	(4, 0.026659919310483098)	(5, 0.058462910805169015)	(6, 0.09051571172635468)	(7, 0.1255169071663141)	(8, 0.16194619769682142)	(9, 0.19931683018641358)	(10, 0.3215849282360774)	(15, 0.5236726059840615)	(20, 0.7162276417882925)	(25, 0.901507112063651)	(30, 1.0852034553039474)	(35, 1.2694995555965352)	(40, 1.4541432447993)	(45, 1.638518254850645)	(50, 1.8223623394599184)	(55, 2.006523564105066)	(60, 2.190693151469212)	(65, 2.374718213894765)	(70, 2.5587089677295536)	(75, 2.742562916058672)	(80, 2.926062199330768)	(85, 3.1074459291248844)	(90, 3.288506514879743)	(95, 3.4707597530210323)	(100, 3.6543778297886482)	(105, 3.838375874198975)	(110, 4.020933815511986)	(115, 4.204414443487854)	(120, 4.3874932320944)	(125, 4.56952882511303)	(130, 4.750701128216564)	(135, 4.931461299373547)	(140, 5.041155298908237)
109M_2 - polyg	(1, 0.06401661393507742)	(2, 0.0653943182829408)	(3, 0.06554441836753293)	(4, 0.06569559059558641)	(5, 0.06579851636787816)	(6, 0.06589286499247891)	(7, 0.06601401720361398)	(8, 0.06613838584513317)	(9, 0.0662413116174249)	(10, 0.06662771212090349)	(15, 0.06699459961338508)	(20, 0.06720473973181404)	(25, 0.06738829069240096)	(30, 0.06761065324628958)	(35, 0.06800949061392007)	(40, 0.06859959837505937)	(45, 0.06950877603030306)	(50, 0.07063259680651349)	(55, 0.07196762984461426)	(60, 0.07348256855553328)	(65, 0.07514503420673714)	(70, 0.07697089452145414)	(75, 0.11906024481323799)	(80, 0.1838886857772665)	(85, 0.20497453123207512)	(90, 0.214806944487628)	(95, 0.22531373598038407)	(100, 0.23912701790801222)	(105, 0.2550993823381519)	(110, 0.2696670244052016)	(115, 0.2848273473776979)	(120, 0.3008162228171427)	(125, 0.3181379870077655)	(130, 0.33759203011436556)	(135, 0.35999425331104706)	(140, 0.3745919153950152)
239M_1 - illumina_universal_adapter	(1, 0.13536028784019596)	(2, 0.13793076528607856)	(3, 0.16329977748766974)	(4, 0.16451333143117386)	(5, 0.17504405677171841)	(6, 0.18640910044842204)	(7, 0.19197368926253852)	(8, 0.19485218001877697)	(9, 0.19659481388277222)	(10, 0.20160220384356026)	(15, 0.20896159454180435)	(20, 0.21734251647115052)	(25, 0.2305012520741066)	(30, 0.24605842165229602)	(35, 0.259772876164747)	(40, 0.2739383435604698)	(45, 0.28992617679421984)	(50, 0.30875901705497444)	(55, 0.33093431046378285)	(60, 0.3575631248536763)	(65, 0.39002920770901633)	(70, 0.4308797273603071)	(75, 0.48249665340763404)	(80, 0.5494827961662906)	(85, 0.6371637335212764)	(90, 0.7546795985885443)	(95, 0.9128730148715579)	(100, 1.1279286481339281)	(105, 1.4201319035090312)	(110, 1.8146520007809293)	(115, 2.3428491347753493)	(120, 3.04140593332237)	(125, 3.940245010806411)	(130, 5.073704394039264)	(135, 6.468826171726337)	(140, 7.424403705886655)
239M_1 - polya	(1, 0.006311035485159026)	(2, 0.008434754886291244)	(3, 0.010495576674497943)	(4, 0.013267696467700582)	(5, 0.016289556782813366)	(6, 0.019358590307620292)	(7, 0.022939129419895038)	(8, 0.02601833755855756)	(9, 0.029026323400230897)	(10, 0.03688852501592073)	(15, 0.04998861784447273)	(20, 0.06257184028916031)	(25, 0.07475307299006215)	(30, 0.08671767891232934)	(35, 0.09899769786412009)	(40, 0.11106867474942309)	(45, 0.1233268645296691)	(50, 0.1359015772973138)	(55, 0.14827020788613784)	(60, 0.16058130565843298)	(65, 0.17306130202073106)	(70, 0.18615621504586563)	(75, 0.19809140708444117)	(80, 0.20968047725894717)	(85, 0.22131413074143863)	(90, 0.23272264776825255)	(95, 0.24388623409061533)	(100, 0.2552394382166506)	(105, 0.2670834287164842)	(110, 0.278691553167847)	(115, 0.289456849606008)	(120, 0.2999564961260482)	(125, 0.31062578120800804)	(130, 0.32136610359397794)	(135, 0.3314086324624329)	(140, 0.3374401435560318)
239M_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0005984522876883908)	(4, 0.0009776878950334296)	(5, 0.0012968007841408404)	(6, 0.0016344129711675214)	(7, 0.0019877495614255823)	(8, 0.002299462731365285)	(9, 0.00262227548005655)	(10, 0.0036377019428452907)	(15, 0.005754761596726571)	(20, 0.007970422508517563)	(25, 0.009926538270501193)	(30, 0.01195498628734917)	(35, 0.014014143138743135)	(40, 0.016340059866132975)	(45, 0.03239208566366291)	(50, 0.05075541374322647)	(55, 0.056243785449915554)	(60, 0.0601310429216918)	(65, 0.07509013019815125)	(70, 0.13679805327448163)	(75, 0.20142017075203467)	(80, 0.2217279600358927)	(85, 0.23411712484540717)	(90, 0.24845371074688316)	(95, 0.26702978075251826)	(100, 0.288502655819332)	(105, 0.3099747909142289)	(110, 0.33222759638131905)	(115, 0.35523942804203684)	(120, 0.3819703585564446)	(125, 0.4142507084606752)	(130, 0.45388933910527457)	(135, 0.5035518143274306)	(140, 0.5376774691991083)
