Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
105M_1 - illumina_universal_adapter	(1, 0.11839127514080286)	(2, 0.12075746582096718)	(3, 0.14066035606480376)	(4, 0.14163264532610764)	(5, 0.1488215628289341)	(6, 0.156242797234904)	(7, 0.15993297915474206)	(8, 0.161865726723949)	(9, 0.163064955182305)	(10, 0.1667770781429955)	(15, 0.17240667598759368)	(20, 0.1790360969486831)	(25, 0.18966029310262084)	(30, 0.20239211982785404)	(35, 0.2133385481307814)	(40, 0.2242484080322881)	(45, 0.2366121845526339)	(50, 0.25161856584623593)	(55, 0.2696738913853515)	(60, 0.2916228912427993)	(65, 0.318378699912879)	(70, 0.35173123309101323)	(75, 0.39363991176862145)	(80, 0.44717368525787704)	(85, 0.5165508262167818)	(90, 0.6074661102877604)	(95, 0.7274164899785479)	(100, 0.8881894668247483)	(105, 1.1025986086841821)	(110, 1.391475428088529)	(115, 1.776659865015705)	(120, 2.2860495226930917)	(125, 2.950837462640807)	(130, 3.8084964013358826)	(135, 4.892495030408024)	(140, 5.641754686988143)
105M_1 - polya	(1, 0.004978680299309354)	(2, 0.006938316398972703)	(3, 0.008979693631223546)	(4, 0.011582503379404285)	(5, 0.014248770059462157)	(6, 0.017261361011798624)	(7, 0.020769776465751337)	(8, 0.024092123288945676)	(9, 0.027134829395393325)	(10, 0.03514201865706934)	(15, 0.04824017472124069)	(20, 0.061557741193936366)	(25, 0.0740822035722897)	(30, 0.08636811090843374)	(35, 0.09856345767400057)	(40, 0.11043850826477061)	(45, 0.12253791675366899)	(50, 0.13469002676226188)	(55, 0.14671930996372995)	(60, 0.1585724195136476)	(65, 0.17029689433386172)	(70, 0.18255182608291998)	(75, 0.19380499874129412)	(80, 0.2047133528850952)	(85, 0.21578970656718802)	(90, 0.22704180368434387)	(95, 0.23834036418212845)	(100, 0.24988070634577708)	(105, 0.2619499996805642)	(110, 0.2739347554755965)	(115, 0.28560115107002476)	(120, 0.2970599672093296)	(125, 0.30851448118376135)	(130, 0.3199926570649947)	(135, 0.3308134621536297)	(140, 0.3372187403248345)
105M_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0004904467955249655)	(4, 0.0008195624083114555)	(5, 0.0011121096196772245)	(6, 0.001403581289824737)	(7, 0.001730545820174714)	(8, 0.002031697361286535)	(9, 0.0023016582070689174)	(10, 0.0032973942669307877)	(15, 0.005149476244768487)	(20, 0.007117716674177888)	(25, 0.008951729559548878)	(30, 0.010846402969629533)	(35, 0.012786894435607918)	(40, 0.015163410311467488)	(45, 0.05185657451350636)	(50, 0.09522411729955778)	(55, 0.10465661378366731)	(60, 0.11134561972824816)	(65, 0.12898062375926908)	(70, 0.16223334671234907)	(75, 0.19063602409582314)	(80, 0.20615221192687877)	(85, 0.21941471068919977)	(90, 0.2334849409064313)	(95, 0.25039223374917985)	(100, 0.2693097131288499)	(105, 0.28984760290794515)	(110, 0.3129418390545924)	(115, 0.33926506504668935)	(120, 0.3710006295572967)	(125, 0.41064120691384576)	(130, 0.4609292121146467)	(135, 0.5249602678940858)	(140, 0.5700626586651849)
105M_2 - illumina_universal_adapter	(1, 0.08753507313024204)	(2, 0.08985393999680306)	(3, 0.10966648477830611)	(4, 0.11062264092133614)	(5, 0.11775563028081328)	(6, 0.1252220374179499)	(7, 0.12893695678580788)	(8, 0.13089013963816168)	(9, 0.13218509126494252)	(10, 0.1375417167483472)	(15, 0.14990291196976918)	(20, 0.16577273775338758)	(25, 0.1824844972026571)	(30, 0.19459423088725075)	(35, 0.20440553298843023)	(40, 0.21481010362559996)	(45, 0.22712074840976387)	(50, 0.24202387774641335)	(55, 0.2598950706289634)	(60, 0.2815997075216233)	(65, 0.3080040293215768)	(70, 0.34091021289413453)	(75, 0.3823379095389385)	(80, 0.4351203099331201)	(85, 0.5029992219749936)	(90, 0.5914887303823164)	(95, 0.7088186614489438)	(100, 0.8671052021067787)	(105, 1.0781156337165219)	(110, 1.3621503665562782)	(115, 1.7414225534066983)	(120, 2.243239970691072)	(125, 2.8990561760125786)	(130, 3.7464548817019745)	(135, 4.820291582235785)	(140, 5.56307884687268)
105M_2 - polya	(1, 0.0003506264371516201)	(2, 0.0011615845157170236)	(3, 0.005605720829552896)	(4, 0.01935113759887101)	(5, 0.041566441461959085)	(6, 0.06431951593417541)	(7, 0.09066812469902323)	(8, 0.12050256255224039)	(9, 0.1532065443757659)	(10, 0.26534806460552385)	(15, 0.46029249171343894)	(20, 0.64887057524225)	(25, 0.8306847951576897)	(30, 1.0118098082604707)	(35, 1.193378589669904)	(40, 1.3736904936116832)	(45, 1.5520718010666916)	(50, 1.7300323567971183)	(55, 1.9083368706091435)	(60, 2.0866977427810047)	(65, 2.264916643512057)	(70, 2.441750032045751)	(75, 2.6187049567371075)	(80, 2.7945114185156092)	(85, 2.9696927757380616)	(90, 3.1461624162317414)	(95, 3.3244757494817563)	(100, 3.5050214760843836)	(105, 3.6854828802555004)	(110, 3.8656416271277996)	(115, 4.047018962200383)	(120, 4.22861678322271)	(125, 4.409555727694732)	(130, 4.589944425279495)	(135, 4.770809802732189)	(140, 4.88063503739431)
105M_2 - polyg	(1, 0.06426573887326259)	(2, 0.06595326304470704)	(3, 0.06621354401952512)	(4, 0.0664168213097756)	(5, 0.06656417045667674)	(6, 0.06669431094408577)	(7, 0.066854566585606)	(8, 0.0670374085927096)	(9, 0.06716970016255515)	(10, 0.06764444405629358)	(15, 0.06813446063533124)	(20, 0.06838785814635247)	(25, 0.06859801890039978)	(30, 0.06883958545802019)	(35, 0.06922850116254174)	(40, 0.06975078397812709)	(45, 0.0705105462947035)	(50, 0.07152521188000668)	(55, 0.07277370012615883)	(60, 0.07418007782315103)	(65, 0.07572520033729833)	(70, 0.07755469594955264)	(75, 0.13445061128707803)	(80, 0.20724108985624165)	(85, 0.22498429333381917)	(90, 0.23466136789096023)	(95, 0.24580332958736667)	(100, 0.2621429517751195)	(105, 0.28174791710149905)	(110, 0.29730583593182297)	(115, 0.3122657538447963)	(120, 0.3279340232041134)	(125, 0.34583102907590163)	(130, 0.3666005904334093)	(135, 0.3911749864046212)	(140, 0.4077355247586039)
106M_1 - illumina_universal_adapter	(1, 0.09850863550763923)	(2, 0.1002031349122481)	(3, 0.12031059041399712)	(4, 0.12131868163732727)	(5, 0.1292973272296166)	(6, 0.1379227369663121)	(7, 0.14207403397025029)	(8, 0.14414118732146095)	(9, 0.14554685160028422)	(10, 0.1494165626737506)	(15, 0.15509540105272587)	(20, 0.16139676407927672)	(25, 0.170560653105378)	(30, 0.18166370187793007)	(35, 0.19187034234245584)	(40, 0.20253617402264226)	(45, 0.21441964397819935)	(50, 0.2279595550629677)	(55, 0.24383891739792266)	(60, 0.26255452739941537)	(65, 0.28473819774651743)	(70, 0.3116639745156351)	(75, 0.3451527649546623)	(80, 0.3874280331887644)	(85, 0.4414139233776592)	(90, 0.5119517653042209)	(95, 0.6047953812114517)	(100, 0.7292053915754224)	(105, 0.8975450724665244)	(110, 1.1259998381843683)	(115, 1.4339139398865686)	(120, 1.8467155158978759)	(125, 2.3915781748521994)	(130, 3.1007379556233934)	(135, 4.003658759489834)	(140, 4.638020436863467)
106M_1 - polya	(1, 0.006491427866185427)	(2, 0.008504212252542347)	(3, 0.010663113231943747)	(4, 0.013305671461190056)	(5, 0.01594030088306186)	(6, 0.01892946126325089)	(7, 0.022387553965303605)	(8, 0.025395970020545014)	(9, 0.028186910216371378)	(10, 0.03588510256495673)	(15, 0.047827019157731625)	(20, 0.05926783512443771)	(25, 0.07059447626495088)	(30, 0.08175144092764962)	(35, 0.09319656110407329)	(40, 0.10446770059296492)	(45, 0.11603583055237021)	(50, 0.12781260141440182)	(55, 0.13964056971833738)	(60, 0.1513690881240613)	(65, 0.16348158734406484)	(70, 0.1758140543343726)	(75, 0.18728839782940518)	(80, 0.19848296769279442)	(85, 0.20969135633475067)	(90, 0.22083767374183222)	(95, 0.23198444422362088)	(100, 0.24320959662974034)	(105, 0.2547546197790828)	(110, 0.266081260919596)	(115, 0.27702505393259724)	(120, 0.28789544884304596)	(125, 0.2986908598894672)	(130, 0.3095429052742778)	(135, 0.3197910020745045)	(140, 0.32586605428485155)
106M_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0008914244862481122)	(4, 0.0012368939504230477)	(5, 0.0015461174380288097)	(6, 0.0018530755520989983)	(7, 0.002173625907382627)	(8, 0.002444338044883642)	(9, 0.002725244363294737)	(10, 0.0036526882887584653)	(15, 0.005515731484413987)	(20, 0.007550716531419524)	(25, 0.009438452298612794)	(30, 0.011378971269184924)	(35, 0.013302953012947368)	(40, 0.015337258447892235)	(45, 0.020843475363456813)	(50, 0.027891278969979054)	(55, 0.03101115140317067)	(60, 0.03396293312002274)	(65, 0.04690773057699597)	(70, 0.10000038398081428)	(75, 0.15105895848704126)	(80, 0.1660224303015639)	(85, 0.17549508974056388)	(90, 0.1863956141190357)	(95, 0.20003293626583368)	(100, 0.21547757341931212)	(105, 0.23081392571779008)	(110, 0.24634056939325627)	(115, 0.26217666309368176)	(120, 0.2797192626784547)	(125, 0.3002768479017221)	(130, 0.32419013094323434)	(135, 0.35266519667333074)	(140, 0.37190750602184425)
106M_2 - illumina_universal_adapter	(1, 0.07446056274076036)	(2, 0.07613920453062022)	(3, 0.09611866642760934)	(4, 0.09711429809649383)	(5, 0.10501592098857367)	(6, 0.11360055400162887)	(7, 0.117720135776069)	(8, 0.11984732152597238)	(9, 0.12131868163732727)	(10, 0.12641010865852836)	(15, 0.13711920897324426)	(20, 0.15079436285808634)	(25, 0.16541304482049465)	(30, 0.17649276024563038)	(35, 0.1860564877007604)	(40, 0.19636325767555846)	(45, 0.20828161438356335)	(50, 0.22173408204985856)	(55, 0.23748839576564987)	(60, 0.2560612872344015)	(65, 0.278120362037047)	(70, 0.30491406752904077)	(75, 0.33822049539845433)	(80, 0.3801738540531514)	(85, 0.43311087629507583)	(90, 0.50200972046865)	(95, 0.5933611348279988)	(100, 0.716473086156086)	(105, 0.8829803063942627)	(110, 1.108526105955077)	(115, 1.412869299353153)	(120, 1.8210384130215664)	(125, 2.3612590950641463)	(130, 3.0663280643048028)	(135, 3.966288251497602)	(140, 4.5996540706649975)
106M_2 - polya	(1, 0.0004949841175227764)	(2, 0.00158349610136577)	(3, 0.007407771461324846)	(4, 0.026255679277295097)	(5, 0.05733660418536143)	(6, 0.08815587845006903)	(7, 0.12209797013356449)	(8, 0.15734378428678242)	(9, 0.19390917852447181)	(10, 0.312602065696716)	(15, 0.5092693365007485)	(20, 0.6962775076238031)	(25, 0.8769367428760599)	(30, 1.0573091818387135)	(35, 1.2376050511758643)	(40, 1.4183857104496276)	(45, 1.598218763973461)	(50, 1.7778810083327123)	(55, 1.9579068451444226)	(60, 2.1381116464654437)	(65, 2.3181857357334623)	(70, 2.499329987459685)	(75, 2.681156343157469)	(80, 2.861022018060215)	(85, 3.0394756856382377)	(90, 3.2179923306005493)	(95, 3.3981515979135053)	(100, 3.5794775325972807)	(105, 3.761213952965703)	(110, 3.941471537490103)	(115, 4.1218972127308415)	(120, 4.302063729239111)	(125, 4.4808975264964035)	(130, 4.6600622948272425)	(135, 4.837927871435431)	(140, 4.946152014425083)
106M_2 - polyg	(1, 0.06385521653397373)	(2, 0.06550214309433555)	(3, 0.06570942477284052)	(4, 0.06587819510124074)	(5, 0.06601525020014291)	(6, 0.0661523052990451)	(7, 0.06630295263916074)	(8, 0.06646492684695424)	(9, 0.06657479746342954)	(10, 0.0669800727889436)	(15, 0.06743360057076539)	(20, 0.06767418324024328)	(25, 0.06787897300785911)	(30, 0.06814107672592495)	(35, 0.06856855271208764)	(40, 0.06923774405449602)	(45, 0.07016246953171704)	(50, 0.0713377453219725)	(55, 0.07278282710031474)	(60, 0.07436496397755916)	(65, 0.07611088736142554)	(70, 0.07797664900532375)	(75, 0.12649415401669814)	(80, 0.19418736639464024)	(85, 0.21307808977043283)	(90, 0.22279246456567847)	(95, 0.23331444502635595)	(100, 0.2477197288017133)	(105, 0.2646108069576554)	(110, 0.27885751458552255)	(115, 0.2930960668686617)	(120, 0.3080457199046173)	(125, 0.32445132851188596)	(130, 0.34335088684446735)	(135, 0.364827987185824)	(140, 0.37905475952657813)
107M_1 - illumina_universal_adapter	(1, 0.12231508877615994)	(2, 0.12432657889818964)	(3, 0.14783131134357816)	(4, 0.14893482983406633)	(5, 0.15790144607430695)	(6, 0.16723061676113518)	(7, 0.17171233936618296)	(8, 0.17401133622136666)	(9, 0.1754858652388293)	(10, 0.17983820981395776)	(15, 0.18627413259641412)	(20, 0.19360703410590901)	(25, 0.2047527822618493)	(30, 0.21805335110237692)	(35, 0.22984831483002005)	(40, 0.24197010606461627)	(45, 0.25549391542735755)	(50, 0.2712338520574912)	(55, 0.28963407157733806)	(60, 0.3112854426039316)	(65, 0.33703758981414383)	(70, 0.36884999843562516)	(75, 0.40881702817819665)	(80, 0.4591550177112603)	(85, 0.5233863473199721)	(90, 0.6085380198058314)	(95, 0.7220505403012563)	(100, 0.8742060797526767)	(105, 1.0793850484660248)	(110, 1.3563937692217278)	(115, 1.728199590556588)	(120, 2.22275070375729)	(125, 2.8693780806557863)	(130, 3.6979951056206715)	(135, 4.7390060384870045)	(140, 5.464513635852428)
107M_1 - polya	(1, 0.006734211018103622)	(2, 0.008642114155394006)	(3, 0.01067580148843927)	(4, 0.013237993845664695)	(5, 0.016004189142223662)	(6, 0.019122368784886618)	(7, 0.02246252053770524)	(8, 0.025508823497079693)	(9, 0.028562525526792667)	(10, 0.03646029320613133)	(15, 0.04906048718861541)	(20, 0.060927539001556764)	(25, 0.07235529743839955)	(30, 0.08377967344308761)	(35, 0.09532941083951121)	(40, 0.10667366548253354)	(45, 0.11828893750195549)	(50, 0.13019763551080218)	(55, 0.14196871081135246)	(60, 0.1538941095789633)	(65, 0.16604465148687492)	(70, 0.17856007326348047)	(75, 0.190251027202365)	(80, 0.20172233445320026)	(85, 0.2131018932318378)	(90, 0.22423474586518805)	(95, 0.23531411379009132)	(100, 0.24646345578019604)	(105, 0.2581205853975331)	(110, 0.2696954796331076)	(115, 0.2810475561504878)	(120, 0.2920846436734566)	(125, 0.3030955173472261)	(130, 0.3139036564937201)	(135, 0.32434057371122993)	(140, 0.33055135335338554)
107M_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.000669087360612085)	(4, 0.0010242427368611538)	(5, 0.0013054074097249998)	(6, 0.0015981991931208095)	(7, 0.0019057891171936636)	(8, 0.0021954098704443925)	(9, 0.002451206302147591)	(10, 0.0034883445615987397)	(15, 0.00534255158843242)	(20, 0.007299077187947379)	(25, 0.009059421722486662)	(30, 0.010961617005515902)	(35, 0.012838655449394165)	(40, 0.014885238305029422)	(45, 0.017690965777397066)	(50, 0.020518890460780276)	(55, 0.022644749070042557)	(60, 0.024913304035833486)	(65, 0.03247177148964849)	(70, 0.0984661938590253)	(75, 0.17029002664510928)	(80, 0.18763661854875055)	(85, 0.1972146094009628)	(90, 0.20909688215860056)	(95, 0.22531944957681543)	(100, 0.24375560743830657)	(105, 0.26135440193948656)	(110, 0.2780674220201407)	(115, 0.2946299238699083)	(120, 0.31269443699839583)	(125, 0.3335629863831738)	(130, 0.35775244993789007)	(135, 0.38579746334500553)	(140, 0.4048380195521491)
107M_2 - illumina_universal_adapter	(1, 0.09268181207037826)	(2, 0.09465736385076372)	(3, 0.11804793921092932)	(4, 0.11913877358083717)	(5, 0.12807685054977205)	(6, 0.13738910907582652)	(7, 0.14190148497227675)	(8, 0.14422267903847602)	(9, 0.14581982122154846)	(10, 0.15183843643691214)	(15, 0.16468470235865448)	(20, 0.18054661794836888)	(25, 0.19685226635638492)	(30, 0.2092592389020287)	(35, 0.21987944166192422)	(40, 0.23145370169146978)	(45, 0.24494981739094407)	(50, 0.26060709583529584)	(55, 0.278902671360355)	(60, 0.3003749848847563)	(65, 0.32592482037171233)	(70, 0.3574784729333551)	(75, 0.3971322048975926)	(80, 0.44685839701466534)	(85, 0.5098532362688053)	(90, 0.5931625402403725)	(95, 0.7044730974030531)	(100, 0.8545275122803426)	(105, 1.057042181465794)	(110, 1.3302932314995757)	(115, 1.6971856473256377)	(120, 2.1856001829895795)	(125, 2.8252422032824813)	(130, 3.6471150813348094)	(135, 4.68193870018206)	(140, 5.403516756991698)
107M_2 - polya	(1, 0.00045662834089165984)	(2, 0.001541120650509352)	(3, 0.007031230841692874)	(4, 0.025613467491867364)	(5, 0.057642985977281895)	(6, 0.0888554356953139)	(7, 0.12295880789561138)	(8, 0.15824814537016915)	(9, 0.19487565756595107)	(10, 0.3127682162997715)	(15, 0.5096862286811643)	(20, 0.6969860838285074)	(25, 0.8775092361538027)	(30, 1.0567109145166378)	(35, 1.2367250108026429)	(40, 1.416622201777299)	(45, 1.596762505063078)	(50, 1.7767937249118664)	(55, 1.9576346144576988)	(60, 2.138675490304681)	(65, 2.319011129047397)	(70, 2.500040589185857)	(75, 2.6810148733997927)	(80, 2.8605628282544706)	(85, 3.0387263113478062)	(90, 3.2164016672008087)	(95, 3.3950334057455684)	(100, 3.5764260545366446)	(105, 3.7583831466935456)	(110, 3.9389014367726185)	(115, 4.117881777231327)	(120, 4.297107766825275)	(125, 4.474565167206306)	(130, 4.651254332684188)	(135, 4.82698331023414)	(140, 4.934101765545024)
