Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
105M_1	(1, 38.27769775153591)	(2, 38.746330247985604)	(3, 38.90027080622118)	(4, 38.89005880048373)	(5, 38.95345440500059)	(6, 38.9819755855155)	(7, 38.98423848121706)	(8, 38.98105509431927)	(9, 39.03597478871154)	(10, 39.08748623925677)	(15, 39.394036197081576)	(20, 39.45396208411752)	(25, 39.26651481171909)	(30, 39.22294895634106)	(35, 39.213601014605345)	(40, 39.2305816335462)	(45, 39.182274086923044)	(50, 39.17732008814362)	(55, 39.14311653082545)	(60, 39.10068029057596)	(65, 39.05991708910879)	(70, 38.989851528633395)	(75, 38.94445994633953)	(80, 38.87138615300481)	(85, 38.83254494369467)	(90, 38.750725864484004)	(95, 38.705350660531806)	(100, 38.65542352522272)	(105, 38.585284354706346)	(110, 38.55965907322378)	(115, 38.484690421485894)	(120, 38.449408638398594)	(125, 38.38602635768633)	(130, 38.325159483940695)	(135, 38.25925412980401)	(140, 38.22605100650976)	(145, 38.15909552834489)	(150, 37.864413563409386)
105M_2	(1, 38.651330639159944)	(2, 39.52873031950479)	(3, 39.57584603739317)	(4, 39.58892836149061)	(5, 39.570636954654084)	(6, 39.56740321091645)	(7, 39.55262548968585)	(8, 39.573886874531645)	(9, 39.559191862420725)	(10, 39.52720027177636)	(15, 39.536626913014075)	(20, 39.51477516359358)	(25, 39.40128672158538)	(30, 39.34259932456442)	(35, 39.30687834206956)	(40, 39.307937294140075)	(45, 39.250917665749455)	(50, 39.19513519370272)	(55, 39.15655419653275)	(60, 39.10462358606394)	(65, 39.060437022942345)	(70, 38.97913249125483)	(75, 38.95209646107575)	(80, 38.90249931041675)	(85, 38.82045144207814)	(90, 38.73633963165251)	(95, 38.64352424914155)	(100, 38.6255118549057)	(105, 38.53743991462096)	(110, 38.438700541425305)	(115, 38.33027269723775)	(120, 38.226575431803454)	(125, 38.11594944810001)	(130, 38.016530431804206)	(135, 37.88077848447767)	(140, 37.750706014295275)	(145, 37.55394058835073)	(150, 37.00249689044901)
106M_1	(1, 38.33164787654476)	(2, 38.80193063288046)	(3, 38.98112401287906)	(4, 38.96645447328078)	(5, 39.04595651155628)	(6, 39.08365128511639)	(7, 39.07843442436253)	(8, 39.0687755512189)	(9, 39.12630627526253)	(10, 39.17392267358116)	(15, 39.45304830871686)	(20, 39.49610633599946)	(25, 39.31607053607493)	(30, 39.27066815980457)	(35, 39.25479919100339)	(40, 39.27057334486061)	(45, 39.214109235700235)	(50, 39.206321271129184)	(55, 39.17696082039868)	(60, 39.143189759886376)	(65, 39.10485331927231)	(70, 39.02924984839837)	(75, 38.98262550698918)	(80, 38.90788920298168)	(85, 38.86854231968655)	(90, 38.783061969712165)	(95, 38.73864848788978)	(100, 38.68963275927673)	(105, 38.61556320453896)	(110, 38.59170454418413)	(115, 38.50912466521602)	(120, 38.472887550788116)	(125, 38.40437698257705)	(130, 38.337055246151465)	(135, 38.26567182183753)	(140, 38.23226582627048)	(145, 38.159056809916166)	(150, 37.84780055053334)
106M_2	(1, 38.64056914066713)	(2, 39.497167291979615)	(3, 39.56322506324102)	(4, 39.57281321142286)	(5, 39.56619861519754)	(6, 39.577886334225894)	(7, 39.5659826571384)	(8, 39.59301633364902)	(9, 39.58107174391547)	(10, 39.55078891463474)	(15, 39.5594857787835)	(20, 39.539126866819295)	(25, 39.424152631082414)	(30, 39.36847436187854)	(35, 39.333351371747675)	(40, 39.32868998058473)	(45, 39.26835122636733)	(50, 39.2107695948496)	(55, 39.170432466943865)	(60, 39.11918127678741)	(65, 39.077462619892486)	(70, 38.99178863938052)	(75, 38.97118026901334)	(80, 38.919971386973025)	(85, 38.836728668769894)	(90, 38.751425656766614)	(95, 38.65744150683768)	(100, 38.65212260006752)	(105, 38.565321564506384)	(110, 38.469308985521444)	(115, 38.36438716361879)	(120, 38.26716536901729)	(125, 38.16552909084523)	(130, 38.079482479040394)	(135, 37.95782828652095)	(140, 37.850688129298824)	(145, 37.67513514114144)	(150, 37.142689071558294)
107M_1	(1, 38.32021379508042)	(2, 38.79876268517759)	(3, 38.96810804080228)	(4, 38.952430383204195)	(5, 39.0205651875009)	(6, 39.05842187554172)	(7, 39.053962603830094)	(8, 39.04793041660571)	(9, 39.10508157580749)	(10, 39.154755171104554)	(15, 39.43489255281457)	(20, 39.48446168592257)	(25, 39.304910179514124)	(30, 39.26029592053314)	(35, 39.24634712548231)	(40, 39.261890906415715)	(45, 39.20462955603041)	(50, 39.18653173862932)	(55, 39.160324011632184)	(60, 39.12698347935575)	(65, 39.08826325638582)	(70, 39.01262531276928)	(75, 38.9678199844239)	(80, 38.89509352002104)	(85, 38.854503835255265)	(90, 38.77222700178677)	(95, 38.72847076859851)	(100, 38.68095951144149)	(105, 38.60990552444188)	(110, 38.58345157329604)	(115, 38.50493342105107)	(120, 38.46771502332609)	(125, 38.401074450714155)	(130, 38.3359491400589)	(135, 38.26365781286863)	(140, 38.22508003680086)	(145, 38.14817833619854)	(150, 37.831732023007305)
107M_2	(1, 38.58163476751275)	(2, 39.531704678157354)	(3, 39.56919278679431)	(4, 39.58134383606704)	(5, 39.579944418183615)	(6, 39.582760039270035)	(7, 39.573833124327216)	(8, 39.59532852295107)	(9, 39.58072478756212)	(10, 39.555105007606244)	(15, 39.56600748278554)	(20, 39.54453908019831)	(25, 39.43217792692424)	(30, 39.37642736945715)	(35, 39.33852476067178)	(40, 39.33377498454651)	(45, 39.275521803580475)	(50, 39.22042944204245)	(55, 39.1811956686265)	(60, 39.12960706285658)	(65, 39.08540968863866)	(70, 39.00381778076935)	(75, 38.97715576776559)	(80, 38.92683548526486)	(85, 38.84313094409601)	(90, 38.75832118053647)	(95, 38.66475640992034)	(100, 38.6488472924899)	(105, 38.5602112582563)	(110, 38.46089981997005)	(115, 38.352243406582716)	(120, 38.24811209549282)	(125, 38.138483520367735)	(130, 38.03829477642547)	(135, 37.90268953247177)	(140, 37.77572890144523)	(145, 37.58241126823448)	(150, 37.03448306077977)
109M_1	(1, 38.25580691125118)	(2, 38.74328571229459)	(3, 38.92470870398226)	(4, 38.907485941518864)	(5, 38.97718056289676)	(6, 39.00800099923771)	(7, 39.003459313763855)	(8, 39.00081356390136)	(9, 39.05086036296345)	(10, 39.1044021867438)	(15, 39.40112800642428)	(20, 39.45560082383504)	(25, 39.26494673269641)	(30, 39.216944605563775)	(35, 39.208562253474014)	(40, 39.22269510277031)	(45, 39.175117141322445)	(50, 39.1647284571534)	(55, 39.13164376103638)	(60, 39.092043490427365)	(65, 39.049845763585935)	(70, 38.977558639278406)	(75, 38.92829541840935)	(80, 38.85619971030683)	(85, 38.813279581778275)	(90, 38.731794028375354)	(95, 38.68431418949707)	(100, 38.633595628227816)	(105, 38.56277491312958)	(110, 38.534504608608664)	(115, 38.46113185756359)	(120, 38.42474961268818)	(125, 38.36304487456458)	(130, 38.30485753893756)	(135, 38.2399986062135)	(140, 38.20796117982955)	(145, 38.145624983515795)	(150, 37.84749782086841)
109M_2	(1, 38.79251665306831)	(2, 39.652785332219736)	(3, 39.63813940223714)	(4, 39.58976083695807)	(5, 39.557020599092326)	(6, 39.545006802750265)	(7, 39.52792060992097)	(8, 39.548499138532726)	(9, 39.536717504135794)	(10, 39.51293139246776)	(15, 39.5331585024729)	(20, 39.519319304693525)	(25, 39.405647837325816)	(30, 39.35414813806206)	(35, 39.31762202439984)	(40, 39.313862103052294)	(45, 39.2571492048448)	(50, 39.20140155310702)	(55, 39.161341736079024)	(60, 39.107761469522714)	(65, 39.062035275664165)	(70, 38.977328184185666)	(75, 38.94689672149251)	(80, 38.8900946123719)	(85, 38.80482523311079)	(90, 38.71772811513963)	(95, 38.62073860820769)	(100, 38.59679426103048)	(105, 38.50473559762885)	(110, 38.40537721973902)	(115, 38.295255259131714)	(120, 38.1919101929751)	(125, 38.08304513187901)	(130, 37.989357054864804)	(135, 37.85989200084485)	(140, 37.74171549815538)	(145, 37.56319172819876)	(150, 37.03156137324423)
239M_1	(1, 38.30904795758917)	(2, 38.788576269150575)	(3, 38.95367615782088)	(4, 38.93705350267973)	(5, 38.9974896730213)	(6, 39.031372413612004)	(7, 39.02816378438509)	(8, 39.029105324651994)	(9, 39.07930415001872)	(10, 39.13348295503826)	(15, 39.41778851974455)	(20, 39.473030742105536)	(25, 39.292500496544285)	(30, 39.24892365396172)	(35, 39.239025793302844)	(40, 39.25307073037291)	(45, 39.20342293249372)	(50, 39.18909003535225)	(55, 39.15110298132743)	(60, 39.11298829324654)	(65, 39.07283085719151)	(70, 39.00180272513343)	(75, 38.959304103030505)	(80, 38.88831251448553)	(85, 38.8462793495177)	(90, 38.76727018745366)	(95, 38.72246131382883)	(100, 38.675005471861084)	(105, 38.60784364496995)	(110, 38.57959832862913)	(115, 38.50746399405337)	(120, 38.46871793603407)	(125, 38.40459218061871)	(130, 38.341748533845085)	(135, 38.27028614186791)	(140, 38.22603615053252)	(145, 38.14656073586359)	(150, 37.82620243517173)
239M_2	(1, 38.32543422870151)	(2, 39.511978605265966)	(3, 39.557640126331336)	(4, 39.558592155700154)	(5, 39.55205663123475)	(6, 39.556296485324864)	(7, 39.55315802393496)	(8, 39.57546419987655)	(9, 39.56644532965846)	(10, 39.5529141106919)	(15, 39.572137485931165)	(20, 39.55449756179716)	(25, 39.44533067777145)	(30, 39.39588087417803)	(35, 39.3550702168139)	(40, 39.35437479120652)	(45, 39.30105767238449)	(50, 39.24874033701891)	(55, 39.21235759020782)	(60, 39.16092244566157)	(65, 39.11722468796795)	(70, 39.03964617280836)	(75, 39.01161683577075)	(80, 38.96082972903033)	(85, 38.881302775317394)	(90, 38.79827733427818)	(95, 38.707654172385766)	(100, 38.68376576259272)	(105, 38.59426770210074)	(110, 38.49442129714654)	(115, 38.38161347750071)	(120, 38.270002717824354)	(125, 38.14598297689056)	(130, 38.027600116327285)	(135, 37.865313271597046)	(140, 37.70306204911488)	(145, 37.47056063445044)	(150, 36.88038819222743)
