Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
105M_1	(1.0, 74.4630727720505)	(2.0, 12.990365676017424)	(3.0, 3.057139803995099)	(4.0, 1.2279513968733604)	(5.0, 0.7541756342881155)	(6.0, 0.5467166541450957)	(7.0, 0.46902630862743183)	(8.0, 0.37723766439713097)	(9.0, 0.3354036560497633)	('>10', 3.8030422433787883)	('>50', 0.8060905357358663)	('>100', 0.9737180058955497)	('>500', 0.058355101209559695)	('>1k', 0.03555907247326489)	('>5k', 0.017984237425294924)	('>10k+', 0.08416123743778475)
105M_2	(1.0, 86.35887060826747)	(2.0, 11.308175336529278)	(3.0, 1.519491754957334)	(4.0, 0.31928627640980445)	(5.0, 0.0971427179996143)	(6.0, 0.05310840832416024)	(7.0, 0.03709693184920536)	(8.0, 0.034108607507699236)	(9.0, 0.02810553525765437)	('>10', 0.12511001715384365)	('>50', 0.01246596464352047)	('>100', 0.024483976968107366)	('>500', 0.008279761292879852)	('>1k', 0.017428916065876023)	('>5k', 0.0)	('>10k+', 0.056845186773538614)
106M_1	(1.0, 73.37015350963767)	(2.0, 14.735079943429014)	(3.0, 3.61092333007713)	(4.0, 1.390912546792459)	(5.0, 0.8348678797755347)	(6.0, 0.6282920321740193)	(7.0, 0.4514909248692436)	(8.0, 0.3926712175459299)	(9.0, 0.32776397426373777)	('>10', 2.822999254334526)	('>50', 0.6241716984300437)	('>100', 0.6756182720025223)	('>500', 0.028868910881238063)	('>1k', 0.022919684891167906)	('>5k', 0.013695192623260558)	('>10k+', 0.06957162827259525)
106M_2	(1.0, 83.49559278283438)	(2.0, 13.551150097653217)	(3.0, 2.0830120644962213)	(4.0, 0.39744025565284813)	(5.0, 0.1362355613551081)	(6.0, 0.053124838294228496)	(7.0, 0.034101288328299124)	(8.0, 0.019068456158031318)	(9.0, 0.015063406516988299)	('>10', 0.09693286991580456)	('>50', 0.01454805225421006)	('>100', 0.03476110523472949)	('>500', 0.006150366360474328)	('>1k', 0.020996042263541972)	('>5k', 0.0)	('>10k+', 0.04182281268189792)
107M_1	(1.0, 74.15159375256998)	(2.0, 14.113648764423834)	(3.0, 3.3355095285739598)	(4.0, 1.3465575241630692)	(5.0, 0.7826111693128017)	(6.0, 0.591045579900198)	(7.0, 0.4292793033959553)	(8.0, 0.3524312737918247)	(9.0, 0.2995380749143568)	('>10', 3.108420210830421)	('>50', 0.6260266937235862)	('>100', 0.7022421923514248)	('>500', 0.019189882528159244)	('>1k', 0.0388387063841452)	('>5k', 0.04088434508375995)	('>10k+', 0.06218299805253323)
107M_2	(1.0, 84.7734989415975)	(2.0, 12.633291724014281)	(3.0, 1.7574912653494443)	(4.0, 0.3563036231482711)	(5.0, 0.11316117893005678)	(6.0, 0.040080002769514095)	(7.0, 0.030077219852599837)	(8.0, 0.029091296053098098)	(9.0, 0.01204467003912012)	('>10', 0.12405502356268308)	('>50', 0.013551387291201502)	('>100', 0.02960021840853246)	('>500', 0.011356554328732636)	('>1k', 0.01888151903807802)	('>5k', 0.0)	('>10k+', 0.05751537561695251)
109M_1	(1.0, 74.18472689559786)	(2.0, 14.412278502467213)	(3.0, 3.430170940486584)	(4.0, 1.3388977603118257)	(5.0, 0.8218034867512042)	(6.0, 0.5491892180173595)	(7.0, 0.4344030180189715)	(8.0, 0.33650829857719466)	(9.0, 0.28359350780543613)	('>10', 2.797613648738493)	('>50', 0.6080165075115617)	('>100', 0.6475838255086576)	('>500', 0.03662028980217731)	('>1k', 0.03451137250232247)	('>5k', 0.033719997771509115)	('>10k+', 0.05036273013163277)
109M_2	(1.0, 84.65628170858089)	(2.0, 12.81849745633346)	(3.0, 1.7909740579548756)	(4.0, 0.3413845670683226)	(5.0, 0.10417800490134597)	(6.0, 0.045103303585416206)	(7.0, 0.03510079690571841)	(8.0, 0.022076217122622904)	(9.0, 0.017068835455659404)	('>10', 0.08485851096150498)	('>50', 0.0083723364497635)	('>100', 0.01823600518775982)	('>500', 0.008632206471356799)	('>1k', 0.009538604896207531)	('>5k', 0.0)	('>10k+', 0.03969738812510753)
239M_1	(1.0, 72.61816679036133)	(2.0, 14.649606810218629)	(3.0, 3.4202921494153333)	(4.0, 1.4035435475039038)	(5.0, 0.8469437508188679)	(6.0, 0.6105454987061026)	(7.0, 0.4658872351823688)	(8.0, 0.36109388284683547)	(9.0, 0.31824240471829857)	('>10', 3.357844961774515)	('>50', 0.7949067615004355)	('>100', 0.9403822216218768)	('>500', 0.051242547433673756)	('>1k', 0.04284467556857256)	('>5k', 0.01851434654606256)	('>10k+', 0.09994241578319214)
239M_2	(1.0, 83.97453137309277)	(2.0, 13.100864868295142)	(3.0, 1.907063359854802)	(4.0, 0.4112197608031617)	(5.0, 0.13814301467963355)	(6.0, 0.06309690321110326)	(7.0, 0.046093845596545585)	(8.0, 0.03308389473264884)	(9.0, 0.022066980652091644)	('>10', 0.1512595371567658)	('>50', 0.016531371644470588)	('>100', 0.04079742021171795)	('>500', 0.009802136929785725)	('>1k', 0.01508032643438588)	('>5k', 0.007222852225834521)	('>10k+', 0.06314235447910539)
240M_1	(1.0, 71.44172993067673)	(2.0, 12.936040933408513)	(3.0, 3.3183867149085047)	(4.0, 1.4389737918608576)	(5.0, 0.9014004190196175)	(6.0, 0.6774584750395882)	(7.0, 0.4901826387240699)	(8.0, 0.41256269823759706)	(9.0, 0.40681572973357216)	('>10', 4.477245060199056)	('>50', 1.208013485725084)	('>100', 1.9629754731382756)	('>500', 0.1832296708802411)	('>1k', 0.08778471027829064)	('>5k', 0.01053040628593184)	('>10k+', 0.04666986188418088)
240M_2	(1.0, 85.71784665388617)	(2.0, 11.421953459880672)	(3.0, 1.6119668488551133)	(4.0, 0.40849148771247645)	(5.0, 0.1663003508091418)	(6.0, 0.10425108729433068)	(7.0, 0.08625967724014454)	(8.0, 0.060217496872823684)	(9.0, 0.04619460926394982)	('>10', 0.2968355502854804)	('>50', 0.018731861109409404)	('>100', 0.011446646274808759)	('>500', 0.004606516136842877)	('>1k', 0.0022961962065991804)	('>5k', 0.0)	('>10k+', 0.042601558172035564)
241M_1	(1.0, 73.12799622703163)	(2.0, 13.743304573845242)	(3.0, 3.139096237098804)	(4.0, 1.2929526244778797)	(5.0, 0.8511758933121844)	(6.0, 0.5628010996605007)	(7.0, 0.45011742273892164)	(8.0, 0.39134228789528624)	(9.0, 0.31747237596546724)	('>10', 3.883327321540584)	('>50', 1.0348100286234947)	('>100', 1.034183896128832)	('>500', 0.0707282765994252)	('>1k', 0.029097297731435386)	('>5k', 0.03237707882973612)	('>10k+', 0.03921735852043531)
241M_2	(1.0, 85.39503213415531)	(2.0, 12.150071719577983)	(3.0, 1.5396999320318845)	(4.0, 0.3543782575413419)	(5.0, 0.1292170428006712)	(6.0, 0.07517225484663444)	(7.0, 0.03911353722826625)	(8.0, 0.03211283012540635)	(9.0, 0.026107663987544133)	('>10', 0.15450525580432337)	('>50', 0.018794744177450737)	('>100', 0.012642758144189283)	('>500', 0.0061803642040409055)	('>1k', 0.01333193044799335)	('>5k', 0.0)	('>10k+', 0.053639574927036665)
242M_1	(1.0, 68.7864823310861)	(2.0, 12.941533955231534)	(3.0, 3.350606751936706)	(4.0, 1.422369435540812)	(5.0, 0.9836365877367765)	(6.0, 0.7135478299101264)	(7.0, 0.6034510606717378)	(8.0, 0.5300862091528714)	(9.0, 0.43070906121400954)	('>10', 5.365096875159195)	('>50', 1.68503923571573)	('>100', 2.4755127242658137)	('>500', 0.4420195559760237)	('>1k', 0.21120130031694068)	('>5k', 0.016843341110341643)	('>10k+', 0.041863744975224645)
242M_2	(1.0, 85.80767378991422)	(2.0, 11.173975036987601)	(3.0, 1.4939035847409516)	(4.0, 0.3914742470857116)	(5.0, 0.21438966145862587)	(6.0, 0.1373327775921457)	(7.0, 0.11735538339506775)	(8.0, 0.060218768526352814)	(9.0, 0.06929359949146273)	('>10', 0.4387081634071631)	('>50', 0.03428805163413744)	('>100', 0.016862580334654573)	('>500', 0.001666414516786718)	('>1k', 0.002737358244673454)	('>5k', 0.0)	('>10k+', 0.04012058267044126)
269M_1	(1.0, 74.20356051126197)	(2.0, 14.014080631956821)	(3.0, 3.232684040141283)	(4.0, 1.386498428026138)	(5.0, 0.8215711646965213)	(6.0, 0.5980231057910026)	(7.0, 0.4552726284921735)	(8.0, 0.34940481825950215)	(9.0, 0.3175455256400749)	('>10', 2.9324200131151694)	('>50', 0.7252320253398258)	('>100', 0.8051312152987945)	('>500', 0.03607655998360775)	('>1k', 0.03929735178717591)	('>5k', 0.03272943008055707)	('>10k+', 0.05047255012935386)
269M_2	(1.0, 85.4581653197794)	(2.0, 12.126299796382854)	(3.0, 1.6506921843295095)	(4.0, 0.3323251635612304)	(5.0, 0.11617858428444768)	(6.0, 0.05511549118819045)	(7.0, 0.04612237695523934)	(8.0, 0.01605153769778527)	(9.0, 0.014052948732884521)	('>10', 0.0898009387976628)	('>50', 0.011431618797108673)	('>100', 0.01589212470879216)	('>500', 0.007033971151734427)	('>1k', 0.010138455445139648)	('>5k', 0.008368647595858786)	('>10k+', 0.04233084059212227)
270M_1	(1.0, 71.61837372315915)	(2.0, 14.005474872746134)	(3.0, 3.357481975438282)	(4.0, 1.3255708897760254)	(5.0, 0.7834007108317357)	(6.0, 0.6070915221949853)	(7.0, 0.548477952608079)	(8.0, 0.39283988854686336)	(9.0, 0.3560485178998409)	('>10', 4.248219013970218)	('>50', 1.1278713085196477)	('>100', 1.3435740528496674)	('>500', 0.11123554981357954)	('>1k', 0.05512124374330872)	('>5k', 0.026292632318681414)	('>10k+', 0.09292614558380842)
