Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
270M_2	(1.0, 84.13953707477974)	(2.0, 12.83415052915492)	(3.0, 1.8703077447578722)	(4.0, 0.41229130411432025)	(5.0, 0.16921120339742907)	(6.0, 0.09116312620385528)	(7.0, 0.05913780411870511)	(8.0, 0.03810939920306489)	(9.0, 0.03110609395811034)	('>10', 0.20681221561664595)	('>50', 0.019756806959457623)	('>100', 0.0302238192943532)	('>500', 0.01571724702368005)	('>1k', 0.024381830312317703)	('>5k', 0.0)	('>10k+', 0.05809380110555646)
271M_1	(1.0, 74.49526620519853)	(2.0, 13.891002051992935)	(3.0, 3.251977882982493)	(4.0, 1.2873822030941127)	(5.0, 0.8344476357542964)	(6.0, 0.5429632312039879)	(7.0, 0.4362294757896589)	(8.0, 0.35539780955937444)	(9.0, 0.31854540017712946)	('>10', 2.9544620343335755)	('>50', 0.7203214708041611)	('>100', 0.7296899858639637)	('>500', 0.0374324665906636)	('>1k', 0.040087858887140525)	('>5k', 0.020278178174040196)	('>10k+', 0.08451610959400109)
271M_2	(1.0, 85.38547354604493)	(2.0, 12.081055328545114)	(3.0, 1.6964515394525364)	(4.0, 0.33929124180480114)	(5.0, 0.10915829382200679)	(6.0, 0.060122735248972284)	(7.0, 0.025065979302879987)	(8.0, 0.026084057760698196)	(9.0, 0.02509567608816126)	('>10', 0.11104899032150957)	('>50', 0.014602239173640017)	('>100', 0.03770619207817193)	('>500', 0.00582539939342607)	('>1k', 0.017088371987968132)	('>5k', 0.008532894986800654)	('>10k+', 0.05739751398837098)
272M_1	(1.0, 74.07361513061282)	(2.0, 13.927657802974256)	(3.0, 3.253993599598337)	(4.0, 1.293989316492179)	(5.0, 0.8491889936010405)	(6.0, 0.5777939088569438)	(7.0, 0.4811160388384283)	(8.0, 0.3713113754772278)	(9.0, 0.32246289656319976)	('>10', 3.1186936113953)	('>50', 0.7710404810901264)	('>100', 0.7540542370884668)	('>500', 0.03411099850727035)	('>1k', 0.0419355571775156)	('>5k', 0.0345677427027193)	('>10k+', 0.09446830902409062)
272M_2	(1.0, 84.91536261090042)	(2.0, 12.484045752151921)	(3.0, 1.7074786533751025)	(4.0, 0.3783317682309825)	(5.0, 0.1432109562895187)	(6.0, 0.059122305903667266)	(7.0, 0.031082800428393488)	(8.0, 0.020065384384813863)	(9.0, 0.015058015416771325)	('>10', 0.10501071861923328)	('>50', 0.02292565705232271)	('>100', 0.0324575858375163)	('>500', 0.004216396242924979)	('>1k', 0.016119622388935422)	('>5k', 0.009190281651901343)	('>10k+', 0.05632149112554752)
69M_1	(1.0, 70.58221751059796)	(2.0, 13.248183274452918)	(3.0, 3.1922326031237023)	(4.0, 1.2847862321876107)	(5.0, 0.8659772615786038)	(6.0, 0.6690440835189179)	(7.0, 0.578636284806256)	(8.0, 0.4422082144229113)	(9.0, 0.4084997081381348)	('>10', 5.0607553613468585)	('>50', 1.3379698776825197)	('>100', 1.9131318938166104)	('>500', 0.20793877002321912)	('>1k', 0.09586588249304451)	('>5k', 0.0)	('>10k+', 0.11255304181070747)
69M_2	(1.0, 84.94022400143993)	(2.0, 12.04732434543448)	(3.0, 1.6894357699377072)	(4.0, 0.3963252066404008)	(5.0, 0.19727277886991196)	(6.0, 0.12424159056014047)	(7.0, 0.0741859004954088)	(8.0, 0.06921226042019063)	(9.0, 0.038138339696314846)	('>10', 0.29469822818583075)	('>50', 0.020783544655546562)	('>100', 0.027295499226078834)	('>500', 0.010348039402980328)	('>1k', 0.010076050322819894)	('>5k', 0.0)	('>10k+', 0.06043844471221709)
70M_1	(1.0, 70.55187349765508)	(2.0, 13.584118915786005)	(3.0, 3.4201281650503077)	(4.0, 1.5211430107514974)	(5.0, 1.0033683130889834)	(6.0, 0.7404796839965668)	(7.0, 0.6210783942969794)	(8.0, 0.45558312281871033)	(9.0, 0.41085758321651883)	('>10', 4.491117541282658)	('>50', 1.1214967404058906)	('>100', 1.7696389475084622)	('>500', 0.1642475712387523)	('>1k', 0.059739816348470566)	('>5k', 0.01182446750962767)	('>10k+', 0.07330422904537652)
70M_2	(1.0, 84.49668011923411)	(2.0, 12.506865529194267)	(3.0, 1.7676996313887612)	(4.0, 0.408392795805729)	(5.0, 0.18728606146557564)	(6.0, 0.09820550207846211)	(7.0, 0.06617584996407766)	(8.0, 0.05216806611595923)	(9.0, 0.03914819617294368)	('>10', 0.2754844268330147)	('>50', 0.01867456861554908)	('>100', 0.015776091468229666)	('>500', 0.004165057955662175)	('>1k', 0.012145815278758807)	('>5k', 0.00990131945709287)	('>10k+', 0.04123096897179537)
71M_1	(1.0, 71.13192094043859)	(2.0, 13.615173705117737)	(3.0, 3.427249886488103)	(4.0, 1.4165798875279638)	(5.0, 0.8338979083056636)	(6.0, 0.6238011716096505)	(7.0, 0.5083273311756376)	(8.0, 0.44068039110093965)	(9.0, 0.3229587573053161)	('>10', 4.118525979664929)	('>50', 1.422306870583664)	('>100', 1.8531938257319962)	('>500', 0.15967944225516217)	('>1k', 0.06520159092083792)	('>5k', 0.0438043449274292)	('>10k+', 0.016697966846249704)
71M_2	(1.0, 84.33156924364017)	(2.0, 12.421086203708684)	(3.0, 1.901991973383925)	(4.0, 0.46251625363654775)	(5.0, 0.2053512231719401)	(6.0, 0.1242863620745557)	(7.0, 0.07220921007747846)	(8.0, 0.050175112781126206)	(9.0, 0.04518445733444624)	('>10', 0.299786478999387)	('>50', 0.013546119073254875)	('>100', 0.016141423436261158)	('>500', 0.004730672339931945)	('>1k', 0.009827720359957161)	('>5k', 0.0)	('>10k+', 0.04159754598235907)
72M_1	(1.0, 72.17492724895207)	(2.0, 13.756843308224356)	(3.0, 3.456456437856994)	(4.0, 1.3790110568888843)	(5.0, 0.8846073678832765)	(6.0, 0.6383733712403299)	(7.0, 0.5137999374360245)	(8.0, 0.4170844087948329)	(9.0, 0.3032406723433699)	('>10', 3.864598931015534)	('>50', 0.9968653073348887)	('>100', 1.4029574830045641)	('>500', 0.09151745296903153)	('>1k', 0.05604283097215461)	('>5k', 0.017450525691554617)	('>10k+', 0.04622365939215863)
72M_2	(1.0, 84.56788070668287)	(2.0, 12.52582804070733)	(3.0, 1.8840862787682617)	(4.0, 0.3904554167064642)	(5.0, 0.16328668690586118)	(6.0, 0.0811903603659316)	(7.0, 0.05817061703145205)	(8.0, 0.040141338012410176)	(9.0, 0.03213201472112808)	('>10', 0.17270149946825614)	('>50', 0.011510899740608507)	('>100', 0.022083208732007063)	('>500', 0.0055541739201047085)	('>1k', 0.005395337815313918)	('>5k', 0.0)	('>10k+', 0.03958342042206618)
78M_1	(1.0, 72.05392526223002)	(2.0, 13.920569389540463)	(3.0, 3.3259291092329777)	(4.0, 1.3684307695125484)	(5.0, 0.8598574676362766)	(6.0, 0.6784705269886687)	(7.0, 0.5058824134903283)	(8.0, 0.4271345965231475)	(9.0, 0.3683175886779822)	('>10', 3.9232983874290195)	('>50', 1.1444958475831752)	('>100', 1.2423049219865903)	('>500', 0.07034434841202226)	('>1k', 0.03382208373478987)	('>5k', 0.02166295610618279)	('>10k+', 0.05555433091584558)
78M_2	(1.0, 84.40898043602255)	(2.0, 12.892414196989947)	(3.0, 1.7268656971971237)	(4.0, 0.3974163579080028)	(5.0, 0.13321228895991452)	(6.0, 0.08418007534017989)	(7.0, 0.05514803524171645)	(8.0, 0.05016197724934716)	(9.0, 0.02007575478913754)	('>10', 0.1624655211916151)	('>50', 0.007253245020910366)	('>100', 0.00988807413248963)	('>500', 0.0013353071189981947)	('>1k', 0.008573504550020455)	('>5k', 0.0)	('>10k+', 0.04202952828804646)
79M_1	(1.0, 75.8044805433127)	(2.0, 13.263839232125967)	(3.0, 3.1127482814640564)	(4.0, 1.2560454532367002)	(5.0, 0.7608824376734498)	(6.0, 0.565254623285952)	(7.0, 0.42845198905687076)	(8.0, 0.3495799268588968)	(9.0, 0.3086984077767737)	('>10', 2.743623964695542)	('>50', 0.6205039742198434)	('>100', 0.6508279805892685)	('>500', 0.019118990246317108)	('>1k', 0.028616476891015718)	('>5k', 0.029362034311874497)	('>10k+', 0.05796568425474936)
79M_2	(1.0, 86.65381941596418)	(2.0, 11.246893821088253)	(3.0, 1.4398557711883788)	(4.0, 0.2613129600999753)	(5.0, 0.10318578174726628)	(6.0, 0.0451083858687892)	(7.0, 0.03410246534340377)	(8.0, 0.01605790466259886)	(9.0, 0.01606759423013035)	('>10', 0.0939091964854672)	('>50', 0.016664426472589665)	('>100', 0.014457585056735531)	('>500', 0.005698144774105124)	('>1k', 0.012170050397252035)	('>5k', 0.0)	('>10k+', 0.040696496620877286)
80M_1	(1.0, 74.10249902572768)	(2.0, 13.652581113349049)	(3.0, 3.2504632903196393)	(4.0, 1.4059920043045726)	(5.0, 0.7593577476469427)	(6.0, 0.5878448977668547)	(7.0, 0.4661480647070775)	(8.0, 0.3833444990421095)	(9.0, 0.31045924650534756)	('>10', 3.180985939134879)	('>50', 0.8016528456897354)	('>100', 0.9263898120307303)	('>500', 0.04092846009374348)	('>1k', 0.04095587293277476)	('>5k', 0.027146648907564262)	('>10k+', 0.06325053184142355)
80M_2	(1.0, 85.57930845271585)	(2.0, 11.96360948030964)	(3.0, 1.5807343955391098)	(4.0, 0.3513671653481157)	(5.0, 0.11318391064747406)	(6.0, 0.05913034430459072)	(7.0, 0.04612839281089374)	(8.0, 0.0301011988660959)	(9.0, 0.019075157690507515)	('>10', 0.14642984937729467)	('>50', 0.018724646683189464)	('>100', 0.023708766394331733)	('>500', 0.012908729880914434)	('>1k', 0.006399659392588729)	('>5k', 0.0069760404259353705)	('>10k+', 0.042213809613556655)
81M_1	(1.0, 73.4323410528251)	(2.0, 13.728332459419285)	(3.0, 3.192064320146817)	(4.0, 1.2993536184654197)	(5.0, 0.8024582519842333)	(6.0, 0.6019496706964641)	(7.0, 0.4812441944683463)	(8.0, 0.34838252084923094)	(9.0, 0.3515935226111926)	('>10', 3.8529060369252384)	('>50', 0.8426637382204764)	('>100', 0.9146847844583562)	('>500', 0.046506359101459865)	('>1k', 0.03248030923296305)	('>5k', 0.03220772080655013)	('>10k+', 0.040831439789032746)
81M_2	(1.0, 85.37407093824142)	(2.0, 12.206929231808306)	(3.0, 1.5597839958520658)	(4.0, 0.3744090476735273)	(5.0, 0.1232072266214927)	(6.0, 0.0611388396956289)	(7.0, 0.04212043853897259)	(8.0, 0.025086483507820775)	(9.0, 0.01606482125980181)	('>10', 0.12416307818850854)	('>50', 0.015585585956176201)	('>100', 0.015919901281831097)	('>500', 0.004452401997871649)	('>1k', 0.00708752515297503)	('>5k', 0.00815995864492898)	('>10k+', 0.04182052557863818)
92M_1	(1.0, 74.6684757825668)	(2.0, 13.75982607874725)	(3.0, 3.122632722327113)	(4.0, 1.32690829318379)	(5.0, 0.8337937671677795)	(6.0, 0.5971956520772735)	(7.0, 0.42838646371327604)	(8.0, 0.39658544638641713)	(9.0, 0.29660800398324916)	('>10', 2.9365400428379624)	('>50', 0.6816212284574418)	('>100', 0.8259556867702869)	('>500', 0.05104279096037245)	('>1k', 0.016430497689566212)	('>5k', 0.016796312502845252)	('>10k+', 0.04120123062839234)
92M_2	(1.0, 85.71909312003562)	(2.0, 11.965351203503594)	(3.0, 1.5137871578656648)	(4.0, 0.32335367395097075)	(5.0, 0.11018368773410508)	(6.0, 0.07817511242250386)	(7.0, 0.04512691770699998)	(8.0, 0.02809508732208439)	(9.0, 0.017067520225185755)	('>10', 0.11608204772125968)	('>50', 0.01142490481770892)	('>100', 0.015022664519432903)	('>500', 0.0056673089339928035)	('>1k', 0.004438898831470208)	('>5k', 0.00931272860379677)	('>10k+', 0.03781796580558221)
93M_1	(1.0, 73.35248944689184)	(2.0, 14.034780842171793)	(3.0, 3.381766169834235)	(4.0, 1.3243458486461956)	(5.0, 0.815465730911808)	(6.0, 0.5799641709677793)	(7.0, 0.4812556165707133)	(8.0, 0.3624072004779366)	(9.0, 0.3475963310383789)	('>10', 3.3879840669331687)	('>50', 0.8802173050026644)	('>100', 0.895327267982008)	('>500', 0.04513661322081364)	('>1k', 0.04278420067832858)	('>5k', 0.006983059590029864)	('>10k+', 0.06149612908237282)
93M_2	(1.0, 84.54519349942281)	(2.0, 12.66875142325841)	(3.0, 1.8586245159615988)	(4.0, 0.4023733928490791)	(5.0, 0.13520544125488393)	(6.0, 0.06213112814712822)	(7.0, 0.03810291870819316)	(8.0, 0.02909575909919625)	(9.0, 0.021081814375583197)	('>10', 0.11412999027872142)	('>50', 0.008313778452367292)	('>100', 0.03797164924751316)	('>500', 0.008860909964009348)	('>1k', 0.006804220860628563)	('>5k', 0.007273291825571984)	('>10k+', 0.05608626629426261)
94M_1	(1.0, 71.6749725514521)	(2.0, 13.735366126719445)	(3.0, 3.194797905342623)	(4.0, 1.4003200632844115)	(5.0, 0.8123242319690941)	(6.0, 0.5961068178667913)	(7.0, 0.492539863025805)	(8.0, 0.37885963628320285)	(9.0, 0.3330642177957176)	('>10', 4.6090547567106)	('>50', 1.2431146070261436)	('>100', 1.2812854966108023)	('>500', 0.07750722309234825)	('>1k', 0.057444591590525944)	('>5k', 0.01769562759396043)	('>10k+', 0.09554628363629841)
94M_2	(1.0, 84.4431280229406)	(2.0, 12.68054316614119)	(3.0, 1.7712340716378145)	(4.0, 0.4252952454823775)	(5.0, 0.13817352562289145)	(6.0, 0.08715837302353863)	(7.0, 0.057135861657348054)	(8.0, 0.03209430101916288)	(9.0, 0.030105314597437184)	('>10', 0.17748644901833016)	('>50', 0.02177322144543465)	('>100', 0.035237553584218324)	('>500', 0.00570679024388388)	('>1k', 0.031171258497135573)	('>5k', 0.008229154332246824)	('>10k+', 0.05552769075636785)
95M_1	(1.0, 75.1609408238107)	(2.0, 13.345570269407109)	(3.0, 3.100113499990812)	(4.0, 1.3097586295318373)	(5.0, 0.7327656142151242)	(6.0, 0.557171347508335)	(7.0, 0.4063797219851424)	(8.0, 0.3525502421997246)	(9.0, 0.2665829024055404)	('>10', 3.023890458763293)	('>50', 0.7541524637586001)	('>100', 0.8555022190361308)	('>500', 0.03866683675417576)	('>1k', 0.031249042911452175)	('>5k', 0.01418657998191682)	('>10k+', 0.05051934774005218)
95M_2	(1.0, 85.84696004769046)	(2.0, 11.81883091514246)	(3.0, 1.5569528614444086)	(4.0, 0.3254027807682922)	(5.0, 0.08616052189602767)	(6.0, 0.05513717019341504)	(7.0, 0.0441373563390661)	(8.0, 0.031116241569319546)	(9.0, 0.015065669740813947)	('>10', 0.12927120482631366)	('>50', 0.013589076890838388)	('>100', 0.019799517108792356)	('>500', 0.007438998945326012)	('>1k', 0.008582568269027858)	('>5k', 0.0)	('>10k+', 0.04155506917546784)
