Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
105M_1	(12.0, 1.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 1.0)	(16.0, 9.0)	(17.0, 112.0)	(18.0, 2069.0)	(19.0, 12583.0)	(20.0, 41309.0)	(21.0, 75494.0)	(22.0, 97294.0)	(23.0, 114387.0)	(24.0, 139361.0)	(25.0, 162050.0)	(26.0, 188086.0)	(27.0, 213020.0)	(28.0, 253701.0)	(29.0, 297352.0)	(30.0, 355926.0)	(31.0, 423132.0)	(32.0, 553154.0)	(33.0, 742224.0)	(34.0, 1032401.0)	(35.0, 1489193.0)	(36.0, 2552032.0)	(37.0, 4827592.0)	(38.0, 12034843.0)	(39.0, 53390337.0)	(40.0, 13978781.0)									
105M_2	(3.0, 1.0)	(4.0, 8.0)	(5.0, 29.0)	(6.0, 26.0)	(7.0, 45.0)	(8.0, 95.0)	(9.0, 115.0)	(10.0, 162.0)	(11.0, 210.0)	(12.0, 291.0)	(13.0, 368.0)	(14.0, 391.0)	(15.0, 544.0)	(16.0, 1332.0)	(17.0, 4761.0)	(18.0, 20663.0)	(19.0, 70372.0)	(20.0, 115487.0)	(21.0, 104386.0)	(22.0, 93582.0)	(23.0, 96074.0)	(24.0, 113088.0)	(25.0, 128791.0)	(26.0, 149343.0)	(27.0, 170336.0)	(28.0, 210653.0)	(29.0, 265037.0)	(30.0, 337650.0)	(31.0, 394909.0)	(32.0, 494950.0)	(33.0, 639474.0)	(34.0, 902934.0)	(35.0, 1352420.0)	(36.0, 2426773.0)	(37.0, 5072919.0)	(38.0, 13770753.0)	(39.0, 55679212.0)	(40.0, 10358262.0)
106M_1	(17.0, 91.0)	(18.0, 1602.0)	(19.0, 10891.0)	(20.0, 38133.0)	(21.0, 72324.0)	(22.0, 94134.0)	(23.0, 109340.0)	(24.0, 132516.0)	(25.0, 155428.0)	(26.0, 181001.0)	(27.0, 203708.0)	(28.0, 242119.0)	(29.0, 283785.0)	(30.0, 339403.0)	(31.0, 410360.0)	(32.0, 557797.0)	(33.0, 725979.0)	(34.0, 921289.0)	(35.0, 1312110.0)	(36.0, 2253422.0)	(37.0, 4290465.0)	(38.0, 10746972.0)	(39.0, 49895630.0)	(40.0, 15307162.0)														
106M_2	(3.0, 2.0)	(4.0, 7.0)	(5.0, 25.0)	(6.0, 39.0)	(7.0, 40.0)	(8.0, 89.0)	(9.0, 127.0)	(10.0, 184.0)	(11.0, 199.0)	(12.0, 304.0)	(13.0, 341.0)	(14.0, 420.0)	(15.0, 546.0)	(16.0, 1291.0)	(17.0, 4839.0)	(18.0, 19603.0)	(19.0, 65481.0)	(20.0, 110830.0)	(21.0, 100933.0)	(22.0, 91640.0)	(23.0, 94714.0)	(24.0, 110787.0)	(25.0, 126282.0)	(26.0, 146304.0)	(27.0, 164728.0)	(28.0, 203417.0)	(29.0, 252750.0)	(30.0, 323818.0)	(31.0, 385148.0)	(32.0, 470035.0)	(33.0, 596154.0)	(34.0, 824603.0)	(35.0, 1224969.0)	(36.0, 2178527.0)	(37.0, 4533004.0)	(38.0, 12270744.0)	(39.0, 52751464.0)	(40.0, 11231273.0)
107M_1	(12.0, 1.0)	(13.0, 1.0)	(14.0, 2.0)	(15.0, 0.0)	(16.0, 5.0)	(17.0, 83.0)	(18.0, 1655.0)	(19.0, 11579.0)	(20.0, 39146.0)	(21.0, 73204.0)	(22.0, 97438.0)	(23.0, 114756.0)	(24.0, 140822.0)	(25.0, 165343.0)	(26.0, 191924.0)	(27.0, 217225.0)	(28.0, 257564.0)	(29.0, 302646.0)	(30.0, 364344.0)	(31.0, 445609.0)	(32.0, 620603.0)	(33.0, 812000.0)	(34.0, 1003843.0)	(35.0, 1436794.0)	(36.0, 2473629.0)	(37.0, 4699759.0)	(38.0, 11665081.0)	(39.0, 53425154.0)	(40.0, 16046270.0)									
107M_2	(3.0, 4.0)	(4.0, 8.0)	(5.0, 24.0)	(6.0, 39.0)	(7.0, 50.0)	(8.0, 95.0)	(9.0, 125.0)	(10.0, 140.0)	(11.0, 261.0)	(12.0, 281.0)	(13.0, 338.0)	(14.0, 440.0)	(15.0, 586.0)	(16.0, 1386.0)	(17.0, 4967.0)	(18.0, 21013.0)	(19.0, 68894.0)	(20.0, 116615.0)	(21.0, 107919.0)	(22.0, 97916.0)	(23.0, 101319.0)	(24.0, 118199.0)	(25.0, 135530.0)	(26.0, 155957.0)	(27.0, 178394.0)	(28.0, 220471.0)	(29.0, 278745.0)	(30.0, 354022.0)	(31.0, 412423.0)	(32.0, 505099.0)	(33.0, 646568.0)	(34.0, 903639.0)	(35.0, 1341568.0)	(36.0, 2385286.0)	(37.0, 4934360.0)	(38.0, 13214766.0)	(39.0, 56241211.0)	(40.0, 12057822.0)
109M_1	(15.0, 3.0)	(16.0, 12.0)	(17.0, 121.0)	(18.0, 2111.0)	(19.0, 13921.0)	(20.0, 46376.0)	(21.0, 83030.0)	(22.0, 102966.0)	(23.0, 115624.0)	(24.0, 140255.0)	(25.0, 164109.0)	(26.0, 190355.0)	(27.0, 216172.0)	(28.0, 257408.0)	(29.0, 302554.0)	(30.0, 362777.0)	(31.0, 436271.0)	(32.0, 580182.0)	(33.0, 791527.0)	(34.0, 1045577.0)	(35.0, 1482742.0)	(36.0, 2565302.0)	(37.0, 4881038.0)	(38.0, 12084877.0)	(39.0, 52979556.0)	(40.0, 14426234.0)												
109M_2	(3.0, 2.0)	(4.0, 16.0)	(5.0, 17.0)	(6.0, 29.0)	(7.0, 49.0)	(8.0, 98.0)	(9.0, 128.0)	(10.0, 167.0)	(11.0, 237.0)	(12.0, 311.0)	(13.0, 290.0)	(14.0, 370.0)	(15.0, 512.0)	(16.0, 1364.0)	(17.0, 5392.0)	(18.0, 22629.0)	(19.0, 73955.0)	(20.0, 119146.0)	(21.0, 107541.0)	(22.0, 97989.0)	(23.0, 100976.0)	(24.0, 117093.0)	(25.0, 134822.0)	(26.0, 154808.0)	(27.0, 176440.0)	(28.0, 216272.0)	(29.0, 270160.0)	(30.0, 344560.0)	(31.0, 407686.0)	(32.0, 505709.0)	(33.0, 649455.0)	(34.0, 913056.0)	(35.0, 1359422.0)	(36.0, 2439828.0)	(37.0, 5103529.0)	(38.0, 13766849.0)	(39.0, 55185931.0)	(40.0, 10994262.0)
239M_1	(12.0, 1.0)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 9.0)	(17.0, 142.0)	(18.0, 2192.0)	(19.0, 13641.0)	(20.0, 45180.0)	(21.0, 84024.0)	(22.0, 109828.0)	(23.0, 128837.0)	(24.0, 157505.0)	(25.0, 185559.0)	(26.0, 215574.0)	(27.0, 243815.0)	(28.0, 291346.0)	(29.0, 342369.0)	(30.0, 414330.0)	(31.0, 507024.0)	(32.0, 702023.0)	(33.0, 938900.0)	(34.0, 1191584.0)	(35.0, 1683138.0)	(36.0, 2883492.0)	(37.0, 5453330.0)	(38.0, 13459283.0)	(39.0, 60959608.0)	(40.0, 18099474.0)									
239M_2	(3.0, 2.0)	(4.0, 12.0)	(5.0, 21.0)	(6.0, 35.0)	(7.0, 61.0)	(8.0, 95.0)	(9.0, 125.0)	(10.0, 177.0)	(11.0, 258.0)	(12.0, 336.0)	(13.0, 352.0)	(14.0, 433.0)	(15.0, 594.0)	(16.0, 1537.0)	(17.0, 5727.0)	(18.0, 24105.0)	(19.0, 76865.0)	(20.0, 129517.0)	(21.0, 119188.0)	(22.0, 108252.0)	(23.0, 112502.0)	(24.0, 130374.0)	(25.0, 149204.0)	(26.0, 173663.0)	(27.0, 198009.0)	(28.0, 246572.0)	(29.0, 316946.0)	(30.0, 405510.0)	(31.0, 463888.0)	(32.0, 572770.0)	(33.0, 741086.0)	(34.0, 1046672.0)	(35.0, 1553820.0)	(36.0, 2736101.0)	(37.0, 5606573.0)	(38.0, 15009022.0)	(39.0, 64215003.0)	(40.0, 13966804.0)
