Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69
105M_R1	(1, 0.09040200209819732)	(2, 1.0864058320698614e-06)	(3, 0.06237164522496281)	(4, 0.34012324665777566)	(5, 0.08653765655352481)	(6, 0.0)	(7, 0.17567399585736074)	(8, 0.3242791040028688)	(9, 0.06426633699609265)	(10, 0.2117904713386912)	(12, 0.029606731735567864)	(14, 0.2080157542751645)	(16, 0.30293784094827914)	(18, 0.01661335626922853)	(20, 0.14759731215610486)	(22, 0.16181665479146606)	(24, 7.063434373172116e-06)	(26, 0.17302266003757905)	(28, 0.22835061354800062)	(30, 0.15125164958448226)	(32, 0.035867991703764715)	(34, 0.046550989576348116)	(36, 0.04927825162633042)	(38, 0.0661809702696558)	(40, 0.03761733685662183)	(42, 0.03535045274475668)	(44, 2.4468770752576193e-05)	(46, 0.0001544423473215991)	(48, 0.017256158817880025)	(50, 0.04740046439628735)	(52, 0.03190575426586648)	(54, 0.15596454637917964)	(56, 0.018764620088323813)	(58, 1.3612307076311008e-05)	(60, 8.714403249021463e-06)	(62, 0.0541931850241963)	(64, 0.1052710357207572)	(66, 6.54235754802885e-05)	(68, 0.0007095774841868667)	(70, 0.11754351679542618)	(72, 5.2405829344958584e-05)	(74, 0.016215456970764645)	(76, 0.02863558427803191)	(78, 2.515476854135022e-05)	(80, 2.1889534496995215e-06)	(82, 0.0003833761087052222)	(84, 0.01824312750881033)	(86, 0.03273290989741561)	(88, 0.05420891639551313)	(90, 5.500401259772302e-07)	(92, 0.0002528293184358881)	(94, 0.0002714396601800551)	(96, 0.10830508314951977)	(98, 0.0)	(100, 0.0)	(102, 0.03329668452032112)	(104, 0.0)	(106, 0.0860491323952326)	(108, 0.0)	(110, 0.07014730324916445)	(112, 0.018577400202087247)	(114, 0.05372030300302624)	(116, 0.08100898352134735)	(118, 0.06620040836562702)	(120, 4.62451565930081e-06)	(122, 0.06778018297780937)	(124, 0.00013947686249095092)	(126, 0.0367406279672275)	(128, 0.03607716544983551)	(130, 0.0)
105M_R2	(1, 0.0)	(2, 4.8888262443143765e-05)	(3, 0.07388320142157506)	(4, 0.0)	(5, 0.0)	(6, 0.00013688713484080254)	(7, 0.00028681113966644344)	(8, 0.0)	(9, 0.10576486696949722)	(10, 0.07424171534615812)	(12, 9.88629307183574e-05)	(14, 5.975232076384238e-06)	(16, 0.16312329248237367)	(18, 0.0018707908428243014)	(20, 4.562904494693418e-05)	(22, 0.00028355192217023383)	(24, 0.0002281452247346709)	(26, 0.0667552927573647)	(28, 0.015964733702266615)	(30, 0.018402628389431384)	(32, 0.09256666571859651)	(34, 0.018005003854893814)	(36, 0.05437243908343243)	(38, 0.051854150364694485)	(40, 0.05311166511531535)	(42, 0.0001711089185510032)	(44, 0.03593504570737481)	(46, 0.0002916999659107578)	(48, 2.4444131221571883e-05)	(50, 0.05569676779272559)	(52, 0.14094177397903696)	(54, 7.988477072872448e-05)	(56, 0.00013208863369099113)	(58, 0.00026642389686206807)	(60, 0.00042205029619065565)	(62, 0.0002377487911888492)	(64, 0.10503851820504381)	(66, 0.001696965697937166)	(68, 0.056918118536999296)	(70, 0.05500842837245574)	(72, 0.141221171686876)	(74, 0.1015749561273527)	(76, 0.16016268015061363)	(78, 0.06724785304167241)	(80, 0.00012131270908716729)	(82, 4.867349867946884e-05)	(84, 4.5432657413442947e-05)	(86, 0.05268067948449414)	(88, 2.4135962705110426e-05)	(90, 0.032957728228615535)	(92, 0.0001677567989314255)	(94, 0.016607908484722458)	(96, 0.017312871389471476)	(98, 0.08725265911588787)	(100, 0.053380899574618154)	(102, 0.034667191489426714)	(104, 0.0002874615169250656)	(106, 0.00012181703473655772)	(108, 0.10439235363855666)	(110, 0.03457603459780326)	(112, 0.08435898962354645)	(114, 0.015040118185317966)	(116, 0.16091240542905563)	(118, 0.030617437349121174)	(120, 0.0002389121023158737)	(122, 0.06734953051295521)	(124, 0.0004983519349432199)	(126, 0.0005775417855607151)	(128, 0.043841045147513996)	(130, 0.02004220967974253)
106M_R1	(1, 0.10689798491507421)	(2, 0.0)	(3, 0.07481851811312215)	(4, 0.4028736976343047)	(5, 0.10363968159773003)	(6, 0.0)	(7, 0.1950003550142919)	(8, 0.37680956003360344)	(9, 0.07437103072391191)	(10, 0.247225337848401)	(12, 0.035386410052906055)	(14, 0.23990989183348563)	(16, 0.3431282842091626)	(18, 0.019307255423595016)	(20, 0.17093112542326722)	(22, 0.18679872460889418)	(24, 4.578960149744818e-06)	(26, 0.20516060470604844)	(28, 0.2648834597782851)	(30, 0.17481829027517473)	(32, 0.042161401907231943)	(34, 0.05157981866296631)	(36, 0.05872438506342463)	(38, 0.07827448894299406)	(40, 0.043740329978075546)	(42, 0.04084943715164792)	(44, 0.0)	(46, 0.0)	(48, 0.020517517604014063)	(50, 0.055301739925105634)	(52, 0.03570193553508201)	(54, 0.18115578396661777)	(56, 0.021143130808695943)	(58, 1.0895639517468368e-05)	(60, 1.3192932312129244e-05)	(62, 0.06180480708721744)	(64, 0.12159205854600971)	(66, 3.4446588514935574e-06)	(68, 0.0003910967923613662)	(70, 0.13797159283952032)	(72, 0.0)	(74, 0.0193772390755949)	(76, 0.03326137870666832)	(78, 2.244636174231975e-05)	(80, 1.151771797334534e-06)	(82, 2.881317904667356e-06)	(84, 0.021029468793115465)	(86, 0.038762132342531064)	(88, 0.06346459997611224)	(90, 0.0)	(92, 0.0)	(94, 0.0002916010339697291)	(96, 0.12592052861610925)	(98, 0.0)	(100, 0.0)	(102, 0.0392628948422149)	(104, 0.0)	(106, 0.09924250385284109)	(108, 0.0)	(110, 0.080682012066416)	(112, 0.021303105005280383)	(114, 0.06350059184408736)	(116, 0.09566318287809794)	(118, 0.0779480181376484)	(120, 0.0)	(122, 0.07834278704863418)	(124, 0.0001737712641533265)	(126, 0.042407996567594725)	(128, 0.0412679043858126)	(130, 0.0)
106M_R2	(1, 0.0)	(2, 7.210154864512951e-05)	(3, 0.08562917253378713)	(4, 0.0)	(5, 0.0)	(6, 0.00013733628313358)	(7, 0.00036851902640843966)	(8, 0.0)	(9, 0.12463038800567161)	(10, 0.08612472762209412)	(12, 0.00012589159287244834)	(14, 1.71670353916975e-06)	(16, 0.18842366375573258)	(18, 0.00213042909210966)	(20, 6.866814156679e-05)	(22, 0.00015221438047305117)	(24, 0.0002494942476926703)	(26, 0.07736553393073702)	(28, 0.01841622333370002)	(30, 0.02152631791216255)	(32, 0.10721900847689896)	(34, 0.021263090036156524)	(36, 0.06218243559580668)	(38, 0.06121535926874106)	(40, 0.061488315131469046)	(42, 3.5478539809508164e-05)	(44, 0.0417096014221813)	(46, 0.00026666128308436786)	(48, 2.975619467894233e-05)	(50, 0.0641263162366599)	(52, 0.16165132724106052)	(54, 4.293520421062228e-05)	(56, 0.00010593229013008181)	(58, 0.00031100330019748765)	(60, 0.0005041523823491668)	(62, 0.00032263214466807027)	(64, 0.12156096511834)	(66, 0.0019340851842446357)	(68, 0.06566448709668737)	(70, 0.06359183729537232)	(72, 0.16612503881429494)	(74, 0.11959546813808043)	(76, 0.187903622299735)	(78, 0.07904869827144174)	(80, 7.649750788086816e-05)	(82, 3.683487962896594e-05)	(84, 3.455797982343867e-06)	(86, 0.061652919765090235)	(88, 2.480974817701721e-05)	(90, 0.03757126142210878)	(92, 0.0002018038243513159)	(94, 0.019041736425717968)	(96, 0.020476778729894674)	(98, 0.09791011886515515)	(100, 0.06256316820577344)	(102, 0.04092943289904225)	(104, 2.921762749253462e-06)	(106, 4.218024631576639e-05)	(108, 0.12148356219886358)	(110, 0.0393108792958638)	(112, 0.09747367296544834)	(114, 0.01747351599365155)	(116, 0.18697391993438128)	(118, 0.034881469330810655)	(120, 0.00017153610728525402)	(122, 0.07785264552758976)	(124, 0.0006001944240355344)	(126, 0.0005880748455352504)	(128, 0.05053557577676161)	(130, 0.022492197331892443)
107M_R1	(1, 0.09547245903341976)	(2, 1.067864873703034e-06)	(3, 0.06569397916533695)	(4, 0.3578564692861186)	(5, 0.09074502123753643)	(6, 0.0)	(7, 0.18184777720776338)	(8, 0.3328823134848257)	(9, 0.06782864104786931)	(10, 0.21976231954858957)	(12, 0.03115122016322806)	(14, 0.21794801712816814)	(16, 0.3169160588156752)	(18, 0.017143768954731402)	(20, 0.15488063552823264)	(22, 0.16547614746603484)	(24, 3.2044833199780263e-06)	(26, 0.17991927381956035)	(28, 0.23581631001028175)	(30, 0.1582313583009939)	(32, 0.03750673091404938)	(34, 0.04817954836539125)	(36, 0.052488071530345085)	(38, 0.06993432969804485)	(40, 0.038622204657552305)	(42, 0.03702995062336556)	(44, 2.6724429918469643e-05)	(46, 0.00012401479135107374)	(48, 0.017542127046816937)	(50, 0.049775278471199697)	(52, 0.0334889342309259)	(54, 0.16451912270611513)	(56, 0.019648445692690808)	(58, 1.1774882277135491e-05)	(60, 1.231369671330731e-05)	(62, 0.05651050078318349)	(64, 0.10772024692513194)	(66, 5.6270046706550345e-05)	(68, 0.0006529791969459187)	(70, 0.12369783555389698)	(72, 4.024276928116391e-05)	(74, 0.016764396887508373)	(76, 0.030437418130886636)	(78, 2.2573825681370774e-05)	(80, 2.1513833594003905e-06)	(82, 0.0002949687090411322)	(84, 0.018262463761138974)	(86, 0.03403970342085349)	(88, 0.05642855569960183)	(90, 0.0)	(92, 0.0002251668233118698)	(94, 0.00025533205567919345)	(96, 0.11361790621199519)	(98, 0.0)	(100, 0.0)	(102, 0.03464548471950902)	(104, 0.0)	(106, 0.08922189090994169)	(108, 0.0)	(110, 0.07212331652797596)	(112, 0.019414056549524484)	(114, 0.056252642565025816)	(116, 0.08500706895308725)	(118, 0.0688358284328449)	(120, 3.970486556638699e-06)	(122, 0.06870138610264603)	(124, 0.00013159361517203356)	(126, 0.036897672242282756)	(128, 0.03805104616755088)	(130, 0.0)
107M_R2	(1, 0.0)	(2, 7.475054115921239e-05)	(3, 0.07402973236946284)	(4, 0.0)	(5, 0.0)	(6, 0.00014202602820250352)	(7, 0.0003321059757216436)	(8, 0.0)	(9, 0.10924471230956778)	(10, 0.07793971960452649)	(12, 0.000109456149554561)	(14, 5.339324368515171e-06)	(16, 0.16920532496799315)	(18, 0.001982491138029683)	(20, 5.3393243685151703e-05)	(22, 0.00023920173170947963)	(24, 0.00024080352902003418)	(26, 0.07068678138233549)	(28, 0.016971042505325468)	(30, 0.01951309483717554)	(32, 0.09741971063061725)	(34, 0.018906013656475366)	(36, 0.053024296371287305)	(38, 0.05348721579403756)	(40, 0.05512158298324007)	(42, 0.00012814378484436408)	(44, 0.036327695138503514)	(46, 0.00025201611019391604)	(48, 2.7764486716278883e-05)	(50, 0.055693424623108036)	(52, 0.14618875093462377)	(54, 8.226195944931964e-05)	(56, 0.00011594500129094341)	(58, 0.00027684821328523176)	(60, 0.000430896794973066)	(62, 0.0002957308081280709)	(64, 0.10816753214797248)	(66, 0.0017659481844045906)	(68, 0.059527362824924226)	(70, 0.05805814918319575)	(72, 0.1450483282073083)	(74, 0.10353809191569786)	(76, 0.16608955650151525)	(78, 0.0701974227108241)	(80, 9.774597197845328e-05)	(82, 4.9985802151003014e-05)	(84, 3.44285944281021e-05)	(86, 0.05502055466991231)	(88, 2.4257739582750922e-05)	(90, 0.0334536131675209)	(92, 0.00016862588962249738)	(94, 0.016974172474177856)	(96, 0.01823763557822718)	(98, 0.0907628370810307)	(100, 0.05575927477748871)	(102, 0.03450118681844976)	(104, 0.00023640858065957602)	(106, 0.00011855768321162006)	(108, 0.10642546732752857)	(110, 0.035946409853904876)	(112, 0.08825103443805835)	(114, 0.01584849706317885)	(116, 0.16909631431844718)	(118, 0.03257897133587087)	(120, 0.00024291992192338537)	(122, 0.06748464733673969)	(124, 0.0005523275429657632)	(126, 0.0006099919981873534)	(128, 0.04549904245273742)	(130, 0.020766485743485424)
109M_R1	(1, 0.08701821434546927)	(2, 1.0832187811418629e-06)	(3, 0.06024104607564243)	(4, 0.32645506016662895)	(5, 0.08264092725087502)	(6, 0.0)	(7, 0.16570106017005193)	(8, 0.30631152371251485)	(9, 0.06102529647318913)	(10, 0.20191685528935838)	(12, 0.02864951193303056)	(14, 0.1980113099739514)	(16, 0.2857026035141681)	(18, 0.01584245244370452)	(20, 0.1410268005848257)	(22, 0.15261858573050244)	(24, 7.584410329080575e-06)	(26, 0.1654857632248779)	(28, 0.2170081630284383)	(30, 0.14408222316765318)	(32, 0.03448939464255055)	(34, 0.0434254252925262)	(36, 0.047650158901154004)	(38, 0.06363184267569692)	(40, 0.03543589585624525)	(42, 0.033420177659524354)	(44, 3.903235284388259e-05)	(46, 0.00018975799133250557)	(48, 0.016537180903480105)	(50, 0.045470023798690515)	(52, 0.029772208677262116)	(54, 0.14892692059390286)	(56, 0.017831181847856876)	(58, 2.0082602566776974e-05)	(60, 1.0315309532334648e-05)	(62, 0.05102495043451118)	(64, 0.10001314181244361)	(66, 8.096210189005537e-05)	(68, 0.0008038994001921228)	(70, 0.11287657973627105)	(72, 6.907940691967658e-05)	(74, 0.015581317070328653)	(76, 0.027515833199904347)	(78, 2.5055392570832083e-05)	(80, 2.179971064590068e-06)	(82, 0.0004760807358543803)	(84, 0.01712113419369038)	(86, 0.031104794669932285)	(88, 0.051624640039002856)	(90, 1.0944330758688642e-06)	(92, 0.0003434960972515793)	(94, 0.00022984235255661082)	(96, 0.10391390378195467)	(98, 0.0)	(100, 0.0)	(102, 0.03183574604306621)	(104, 0.0)	(106, 0.08174300205730332)	(108, 0.0)	(110, 0.0658382904254674)	(112, 0.017653451996981418)	(114, 0.0519541423172985)	(116, 0.07795493122984483)	(118, 0.0633603619436634)	(120, 6.272258356100728e-06)	(122, 0.0644303314104069)	(124, 0.00011766014054123124)	(126, 0.03429126935110894)	(128, 0.034063882086511656)	(130, 0.0)
109M_R2	(1, 0.0)	(2, 5.741059540051874e-05)	(3, 0.06880714019691228)	(4, 0.0)	(5, 0.0)	(6, 0.00012457015983131423)	(7, 0.0002946355084705867)	(8, 0.0)	(9, 0.10121054681598997)	(10, 0.07084034184911554)	(12, 9.478164334991302e-05)	(14, 7.040922077422109e-06)	(16, 0.15459481800700442)	(18, 0.0018680107880791426)	(20, 4.9828063932525694e-05)	(22, 0.0003227991967802752)	(24, 0.00021339409988494702)	(26, 0.06367322478369042)	(28, 0.015271759985928555)	(30, 0.01785577838834247)	(32, 0.0875430338449325)	(34, 0.017230219542233045)	(36, 0.05039512896445346)	(38, 0.04983239680765026)	(40, 0.05063722836203867)	(42, 0.00022260145952465282)	(44, 0.033518038744872664)	(46, 0.0002567228511306215)	(48, 3.0871735262543094e-05)	(50, 0.05155958915418096)	(52, 0.13483536532014687)	(54, 0.0001045728374330446)	(56, 0.0001501216519206648)	(58, 0.00028134311816871194)	(60, 0.0003876903362316828)	(62, 0.00024298087373882894)	(64, 0.10023691048750905)	(66, 0.0016350976061829158)	(68, 0.054092029398543524)	(70, 0.05233971072875881)	(72, 0.13495352530943977)	(74, 0.0965291326203731)	(76, 0.15298546674766358)	(78, 0.06450600420178991)	(80, 0.0001431498746311904)	(82, 4.3571234068661636e-05)	(84, 5.1777674448918354e-05)	(86, 0.050129358202830376)	(88, 2.4568109692788072e-05)	(90, 0.03125321261925012)	(92, 0.00015702633914401005)	(94, 0.015774378333689207)	(96, 0.016650789074036398)	(98, 0.08208033518977836)	(100, 0.05097132773496314)	(102, 0.03277361774409802)	(104, 0.0003765027102224168)	(106, 0.00017237603436151628)	(108, 0.09893929699006734)	(110, 0.03301734613877949)	(112, 0.07965681399576964)	(114, 0.014691257679543396)	(116, 0.15225578728632283)	(118, 0.028924069321160185)	(120, 0.0002533661803702337)	(122, 0.06331209008414139)	(124, 0.00044394450624575505)	(126, 0.0006252073534374176)	(128, 0.04191502605355304)	(130, 0.019363088686541734)
239M_R1	(1, 0.08402956470673077)	(2, 0.0)	(3, 0.057732838396438016)	(4, 0.3139098713923131)	(5, 0.08012527582156669)	(6, 0.0)	(7, 0.16358587380633888)	(8, 0.2945724769570113)	(9, 0.059559324342955314)	(10, 0.19316560350080647)	(12, 0.02742111292749663)	(14, 0.19084162202154212)	(16, 0.28180430471768414)	(18, 0.01510100687550623)	(20, 0.13639754521889816)	(22, 0.14650752628962785)	(24, 5.607378480187912e-06)	(26, 0.15827458172043213)	(28, 0.20780543629504902)	(30, 0.14011884559353213)	(32, 0.0330416021016495)	(34, 0.0433796174688866)	(36, 0.04565522064879174)	(38, 0.06114510035240826)	(40, 0.034231773482593535)	(42, 0.032974460277391954)	(44, 5.378721385319158e-05)	(46, 0.0002296792306413761)	(48, 0.015720167194347965)	(50, 0.044043450514538396)	(52, 0.030098987420038623)	(54, 0.14426874380922605)	(56, 0.017560650124050628)	(58, 1.6865078853847367e-05)	(60, 8.904147953271931e-06)	(62, 0.05032969123987334)	(64, 0.09500763737643002)	(66, 9.712738212998623e-05)	(68, 0.0008525059704053867)	(70, 0.10835977004918539)	(72, 8.365545382801717e-05)	(74, 0.01525939595177683)	(76, 0.026338248262653602)	(78, 1.8370239198837507e-05)	(80, 2.828867184614961e-06)	(82, 0.0005441929951336072)	(84, 0.016065636256633792)	(86, 0.03023945740800153)	(88, 0.04951634213214824)	(90, 0.0)	(92, 0.00039858137184488064)	(94, 0.0002569227182946021)	(96, 0.09987856574117746)	(98, 0.0)	(100, 0.0)	(102, 0.030693782484719268)	(104, 0.0)	(106, 0.07908301150452421)	(108, 0.0)	(110, 0.06415816536461896)	(112, 0.017022133935328778)	(114, 0.04951119183462503)	(116, 0.07493079367972567)	(118, 0.06115573710632286)	(120, 6.591504016783957e-06)	(122, 0.06107732368627353)	(124, 0.00012275400782809528)	(126, 0.0329527615301344)	(128, 0.033102274118029684)	(130, 0.0)
239M_R2	(1, 0.0)	(2, 6.726700161086718e-05)	(3, 0.06537231439882775)	(4, 0.0)	(5, 0.0)	(6, 0.00011771725281901756)	(7, 0.00031017561853899866)	(8, 0.0)	(9, 0.09713168179826968)	(10, 0.06822462211991077)	(12, 9.94991065494077e-05)	(14, 1.2612562802037596e-05)	(16, 0.14911459295284546)	(18, 0.001818077571315938)	(20, 5.558870272009162e-05)	(22, 0.00034801330694511146)	(24, 0.0002242233387028906)	(26, 0.0618118346330081)	(28, 0.014849657737554561)	(30, 0.01707507437418075)	(32, 0.08487740920620108)	(34, 0.016497699277020807)	(36, 0.04732046710542254)	(38, 0.047860004514176366)	(40, 0.049041381229967214)	(42, 0.00024150722106123842)	(44, 0.03234842079549265)	(46, 0.0002821477012011373)	(48, 3.363350080543359e-05)	(50, 0.04903157145889897)	(52, 0.1305217414958394)	(54, 0.00010796139934106998)	(56, 0.00014399180159302337)	(58, 0.00024271440681026882)	(60, 0.00040419800610527057)	(62, 0.0002639502417852074)	(64, 0.09577045504215836)	(66, 0.001590195552131704)	(68, 0.05210670840176951)	(70, 0.04993042111819143)	(72, 0.13057864748827763)	(74, 0.09220693583509226)	(76, 0.14729017106602907)	(78, 0.06157170856257939)	(80, 0.0001571947547423669)	(82, 3.8162512345042705e-05)	(84, 7.971820209906705e-05)	(86, 0.04869180256551471)	(88, 2.74374440113528e-05)	(90, 0.030563961696744125)	(92, 0.00014338190707204005)	(94, 0.014965797129936563)	(96, 0.015907802985077074)	(98, 0.08193658472381694)	(100, 0.04912414541762078)	(102, 0.03138145164261251)	(104, 0.00043334796458417626)	(106, 0.00018967510962809)	(108, 0.09528060597262714)	(110, 0.03221660071710085)	(112, 0.07790071096611369)	(114, 0.014106897058445934)	(116, 0.1487406315224361)	(118, 0.02856293359254523)	(120, 0.00028890220188912896)	(122, 0.05998526952150062)	(124, 0.000518671446553362)	(126, 0.0005868472217263306)	(128, 0.040814719679272624)	(130, 0.01877486938352246)
