Sample	fastp_mqc_generalstats_fastp_pct_duplication	fastp_mqc_generalstats_fastp_after_filtering_q30_rate	fastp_mqc_generalstats_fastp_after_filtering_q30_bases	fastp_mqc_generalstats_fastp_filtering_result_passed_filter_reads	fastp_mqc_generalstats_fastp_after_filtering_gc_content	fastp_mqc_generalstats_fastp_pct_surviving	fastp_mqc_generalstats_fastp_pct_adapter	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
242M	5.21912	95.1879	20981.202858	171.79747	19.0945	98.96878195217887	31.633508525635158						
242M_R1								22.42831496602308	19.0	255.3289569398199	131	9.090909090909092	85.898735
242M_R2								21.097610674231177	18.0	255.37299285606477	130	9.090909090909092	85.898735
269M	6.59791	94.8767	23473.071363	192.08489799999998	17.206599999999998	99.00585870063546	21.339337288339912						
269M_R1								16.679751005355442	17.0	256.3390668224214	131	9.090909090909092	96.04244899999999
269M_R2								15.769837563727492	17.0	256.3586435462511	130	9.090909090909092	96.04244899999999
270M	7.076929999999999	94.9794	24190.573666	198.005756	17.5204	98.99234422465105	22.341088184806253						
270M_R1								18.996502535837905	17.0	255.97622691332265	131	9.090909090909092	99.002878
270M_R2								18.352248318534308	17.0	256.03568258894455	130	9.090909090909092	99.002878
271M	7.333130000000001	94.575	22065.419981	181.08863399999998	17.336199999999998	98.87278064722788	20.600665327270445						
271M_R1								16.49487887965323	17.0	256.40823392593484	131	9.090909090909092	90.54431699999999
271M_R2								15.555527772090144	17.0	256.4405833057419	130	9.090909090909092	90.54431699999999
272M	6.8859699999999995	94.4699	21814.087917	179.04336999999998	17.296400000000002	99.00444564946247	20.209097280034555						
272M_R1								16.783848085967122	17.0	256.69288818681196	131	9.090909090909092	89.52168499999999
272M_R2								16.019934348907313	17.0	256.67972726943196	130	9.090909090909092	89.52168499999999
69M	6.17706	94.89880000000001	22807.719556	186.706694	18.0399	99.02857354045868	23.46185922085054						
69M_R1								20.555593751510912	18.0	256.1753598829188	131	9.090909090909092	93.353347
69M_R2								19.71907090494068	17.0	256.2186080537637	130	9.090909090909092	93.353347
70M	6.82069	94.7218	22802.300133	186.689854	18.0992	98.89691893345038	21.63912736625724						
70M_R1								20.348523303987037	18.0	256.6547196292735	131	9.090909090909092	93.344927
70M_R2								19.440127786379563	17.0	256.6259932636725	130	9.090909090909092	93.344927
71M	7.290080000000001	95.0077	22091.11964	179.839606	17.949399999999997	98.99760521493928	18.72114377803147						
71M_R1								19.750636505011613	18.0	257.3807163923613	131	9.090909090909092	89.919803
71M_R2								18.99389802763676	17.0	257.28670154559836	130	9.090909090909092	89.919803
72M	7.90738	94.8583	22401.854874999997	182.56105399999998	17.6589	98.92018105366311	17.919302513582185						
72M_R1								18.71445720462424	17.0	257.5207797825269	131	9.090909090909092	91.28052699999999
72M_R2								17.934407469508614	17.0	257.41702998165204	130	9.090909090909092	91.28052699999999
78M	7.76697	94.6131	23752.281141	194.161452	17.619	98.99037910033836	18.479718799272405						
78M_R1								18.70066224945927	17.0	257.3904338024831	131	9.090909090909092	97.080726
78M_R2								18.20300469364581	17.0	257.2977471861922	130	9.090909090909092	97.080726
79M	6.338539999999999	94.4628	21526.017537	176.336178	17.2262	98.96814520482769	18.704333649378984						
79M_R1								15.671745015395416	17.0	257.2315603551303	131	9.090909090909092	88.168089
79M_R2								14.682590082186408	17.0	257.18311381910524	130	9.090909090909092	88.168089
80M	6.963329999999999	94.77759999999999	22481.731416	183.66708799999998	17.5033	98.96556898404486	19.754685644332483						
80M_R1								16.99195467019348	17.0	257.0744171868179	131	9.090909090909092	91.83354399999999
80M_R2								16.106301514542594	17.0	257.02025394990744	130	9.090909090909092	91.83354399999999
81M	7.01426	94.6315	22147.889246	180.988128	17.47	99.00845770404545	18.628535253650107						
81M_R1								17.553853087631992	17.0	257.41854169572935	131	9.090909090909092	90.494064
81M_R2								16.541966436406852	17.0	257.335481982553	130	9.090909090909092	90.494064
92M	6.68715	94.8828	22597.081718999998	184.603554	17.2155	99.05515861339227	22.6202915082463						
92M_R1								16.406443860252523	17.0	256.79198480653304	131	9.090909090909092	92.301777
92M_R2								15.570486368097335	17.0	256.74636903794385	130	9.090909090909092	92.301777
93M	8.14455	94.9645	22372.871495	182.43840799999998	17.423	99.00912835877045	19.078975338838145						
93M_R1								17.36534734730995	17.0	257.0365830313538	131	9.090909090909092	91.21920399999999
93M_R2								16.740063466442436	17.0	257.00015314757627	130	9.090909090909092	91.21920399999999
94M	7.413060000000001	94.9839	23136.79059	189.12280199999998	17.8251	98.96665937370501	21.20596717413714						
94M_R1								19.161619976701957	18.0	256.32049957677765	131	9.090909090909092	94.56140099999999
94M_R2								18.527933228030406	17.0	256.36750361281133	130	9.090909090909092	94.56140099999999
95M	7.6267000000000005	94.4981	20811.694719	170.57127799999998	17.3445	98.99328006822469	18.886144338770123						
95M_R1								16.290569980404157	17.0	256.9988814881249	131	9.090909090909092	85.28563899999999
95M_R2								15.465690737106456	17.0	256.96003810793985	130	9.090909090909092	85.28563899999999
