Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
105M_R1	(15, 13005.0)	(20, 11589.0)	(25, 13340.0)	(30, 15554.0)	(35, 18798.0)	(40, 22812.0)	(45, 28382.0)	(50, 51356.0)	(55, 62933.0)	(60, 73639.0)	(65, 89630.0)	(70, 112634.0)	(75, 147610.0)	(80, 194707.0)	(85, 257344.0)	(90, 343820.0)	(95, 449719.0)	(100, 589892.0)	(105, 757753.0)	(110, 972522.0)	(115, 1190087.0)	(120, 1467796.0)	(125, 1708395.0)	(130, 83453317.0)																	
105M_R2	(50, 10910.0)	(52, 22401.0)	(54, 23529.0)	(56, 24586.0)	(58, 26232.0)	(60, 27961.0)	(62, 29636.0)	(64, 32325.0)	(66, 35162.0)	(68, 37811.0)	(70, 41391.0)	(72, 46173.0)	(74, 50914.0)	(76, 56979.0)	(78, 64106.0)	(80, 71665.0)	(82, 79139.0)	(84, 89037.0)	(86, 99346.0)	(88, 111766.0)	(90, 126107.0)	(92, 140198.0)	(94, 156591.0)	(96, 174322.0)	(98, 194034.0)	(100, 216781.0)	(102, 241446.0)	(104, 265839.0)	(106, 294144.0)	(108, 324999.0)	(110, 360325.0)	(112, 397184.0)	(114, 431811.0)	(116, 464630.0)	(118, 501022.0)	(120, 545227.0)	(122, 593195.0)	(124, 631242.0)	(126, 666559.0)	(128, 709200.0)	(130, 83630709.0)
106M_R1	(15, 11288.0)	(20, 10505.0)	(25, 11617.0)	(30, 13122.0)	(35, 15514.0)	(40, 18220.0)	(45, 21943.0)	(50, 46027.0)	(55, 54797.0)	(60, 61837.0)	(65, 72145.0)	(70, 89293.0)	(75, 114203.0)	(80, 150945.0)	(85, 200550.0)	(90, 266465.0)	(95, 352874.0)	(100, 464409.0)	(105, 603643.0)	(110, 773827.0)	(115, 963369.0)	(120, 1181335.0)	(125, 1383679.0)	(130, 80495157.0)																	
106M_R2	(50, 10162.0)	(52, 20466.0)	(54, 21024.0)	(56, 21477.0)	(58, 22602.0)	(60, 23873.0)	(62, 24943.0)	(64, 26474.0)	(66, 27898.0)	(68, 30476.0)	(70, 32961.0)	(72, 36518.0)	(74, 40070.0)	(76, 44133.0)	(78, 49286.0)	(80, 55176.0)	(82, 61804.0)	(84, 69047.0)	(86, 77674.0)	(88, 86888.0)	(90, 97222.0)	(92, 109321.0)	(94, 122100.0)	(96, 136543.0)	(98, 152354.0)	(100, 170470.0)	(102, 189519.0)	(104, 211040.0)	(106, 234931.0)	(108, 258586.0)	(110, 287472.0)	(112, 315633.0)	(114, 344664.0)	(116, 375587.0)	(118, 407620.0)	(120, 440615.0)	(122, 475537.0)	(124, 508856.0)	(126, 540619.0)	(128, 571484.0)	(130, 80643639.0)
107M_R1	(15, 14314.0)	(20, 12989.0)	(25, 14368.0)	(30, 16438.0)	(35, 19283.0)	(40, 22470.0)	(45, 27530.0)	(50, 53796.0)	(55, 64662.0)	(60, 74286.0)	(65, 88347.0)	(70, 110920.0)	(75, 144788.0)	(80, 191465.0)	(85, 254885.0)	(90, 339287.0)	(95, 446752.0)	(100, 585652.0)	(105, 754756.0)	(110, 951645.0)	(115, 1174348.0)	(120, 1422367.0)	(125, 1644837.0)	(130, 85214622.0)																	
107M_R2	(50, 11779.0)	(52, 23568.0)	(54, 24281.0)	(56, 25529.0)	(58, 26772.0)	(60, 28243.0)	(62, 30234.0)	(64, 31752.0)	(66, 34429.0)	(68, 37588.0)	(70, 40754.0)	(72, 45022.0)	(74, 50529.0)	(76, 56294.0)	(78, 62429.0)	(80, 70107.0)	(82, 78115.0)	(84, 88136.0)	(86, 98514.0)	(88, 110331.0)	(90, 124324.0)	(92, 138579.0)	(94, 155120.0)	(96, 172775.0)	(98, 193088.0)	(100, 215432.0)	(102, 239251.0)	(104, 265535.0)	(106, 293477.0)	(108, 322444.0)	(110, 353889.0)	(112, 387142.0)	(114, 423258.0)	(116, 458582.0)	(118, 495957.0)	(120, 533122.0)	(122, 572151.0)	(124, 608870.0)	(126, 643348.0)	(128, 678864.0)	(130, 85395193.0)
109M_R1	(15, 12222.0)	(20, 11876.0)	(25, 13062.0)	(30, 14488.0)	(35, 17084.0)	(40, 19651.0)	(45, 22860.0)	(50, 47879.0)	(55, 56244.0)	(60, 62803.0)	(65, 73557.0)	(70, 89970.0)	(75, 117688.0)	(80, 154855.0)	(85, 207174.0)	(90, 277673.0)	(95, 368358.0)	(100, 487767.0)	(105, 634639.0)	(110, 812898.0)	(115, 1012777.0)	(120, 1244217.0)	(125, 1453446.0)	(130, 85104266.0)																	
109M_R2	(50, 10732.0)	(52, 21223.0)	(54, 21536.0)	(56, 22107.0)	(58, 23134.0)	(60, 24132.0)	(62, 25324.0)	(64, 27026.0)	(66, 28726.0)	(68, 30874.0)	(70, 33496.0)	(72, 36451.0)	(74, 40834.0)	(76, 45434.0)	(78, 50958.0)	(80, 56420.0)	(82, 63238.0)	(84, 71504.0)	(86, 80124.0)	(88, 89916.0)	(90, 100697.0)	(92, 114330.0)	(94, 127708.0)	(96, 142812.0)	(98, 158793.0)	(100, 178424.0)	(102, 199907.0)	(104, 221906.0)	(106, 245923.0)	(108, 272776.0)	(110, 302287.0)	(112, 331204.0)	(114, 362130.0)	(116, 395598.0)	(118, 428456.0)	(120, 464302.0)	(122, 500190.0)	(124, 535422.0)	(126, 568320.0)	(128, 600625.0)	(130, 85262455.0)
239M_R1	(15, 18947.0)	(20, 17131.0)	(25, 19452.0)	(30, 22587.0)	(35, 26660.0)	(40, 32119.0)	(45, 39949.0)	(50, 70636.0)	(55, 87052.0)	(60, 104607.0)	(65, 129582.0)	(70, 168023.0)	(75, 223217.0)	(80, 300265.0)	(85, 403315.0)	(90, 537434.0)	(95, 712551.0)	(100, 923250.0)	(105, 1173607.0)	(110, 1457917.0)	(115, 1761281.0)	(120, 2084249.0)	(125, 2353880.0)	(130, 94368426.0)																	
239M_R2	(50, 15079.0)	(52, 30534.0)	(54, 31613.0)	(56, 34181.0)	(58, 36688.0)	(60, 39241.0)	(62, 42612.0)	(64, 46002.0)	(66, 50217.0)	(68, 55529.0)	(70, 61799.0)	(72, 68438.0)	(74, 76729.0)	(76, 86056.0)	(78, 97204.0)	(80, 109425.0)	(82, 122710.0)	(84, 138718.0)	(86, 155966.0)	(88, 175086.0)	(90, 195760.0)	(92, 220248.0)	(94, 247364.0)	(96, 274762.0)	(98, 308472.0)	(100, 340692.0)	(102, 377094.0)	(104, 415409.0)	(106, 456194.0)	(108, 501144.0)	(110, 545398.0)	(112, 593085.0)	(114, 640828.0)	(116, 690403.0)	(118, 739125.0)	(120, 790724.0)	(122, 836207.0)	(124, 883595.0)	(126, 922060.0)	(128, 967227.0)	(130, 94616519.0)
240M_R1	(15, 10451.0)	(20, 10620.0)	(25, 12194.0)	(30, 13799.0)	(35, 16437.0)	(40, 19461.0)	(45, 23544.0)	(50, 48331.0)	(55, 58945.0)	(60, 69802.0)	(65, 85579.0)	(70, 109994.0)	(75, 147693.0)	(80, 201493.0)	(85, 273788.0)	(90, 374994.0)	(95, 500450.0)	(100, 669834.0)	(105, 870620.0)	(110, 1129067.0)	(115, 1382132.0)	(120, 1703789.0)	(125, 1962829.0)	(130, 77882925.0)																	
240M_R2	(50, 10449.0)	(52, 21309.0)	(54, 21950.0)	(56, 23270.0)	(58, 24577.0)	(60, 26520.0)	(62, 28233.0)	(64, 30299.0)	(66, 33242.0)	(68, 36730.0)	(70, 40120.0)	(72, 44827.0)	(74, 50543.0)	(76, 57063.0)	(78, 64473.0)	(80, 73704.0)	(82, 82677.0)	(84, 92737.0)	(86, 105162.0)	(88, 119848.0)	(90, 136774.0)	(92, 154165.0)	(94, 171142.0)	(96, 192794.0)	(98, 217981.0)	(100, 245561.0)	(102, 273624.0)	(104, 304082.0)	(106, 335955.0)	(108, 375858.0)	(110, 421562.0)	(112, 459539.0)	(114, 496552.0)	(116, 539458.0)	(118, 584887.0)	(120, 638213.0)	(122, 685672.0)	(124, 730055.0)	(126, 766259.0)	(128, 810636.0)	(130, 78050269.0)
241M_R1	(15, 9306.0)	(20, 8937.0)	(25, 10302.0)	(30, 12144.0)	(35, 14677.0)	(40, 17700.0)	(45, 22484.0)	(50, 41838.0)	(55, 51813.0)	(60, 61864.0)	(65, 76936.0)	(70, 99882.0)	(75, 133538.0)	(80, 181087.0)	(85, 244532.0)	(90, 331660.0)	(95, 443959.0)	(100, 592151.0)	(105, 772602.0)	(110, 1007212.0)	(115, 1237700.0)	(120, 1548722.0)	(125, 1815959.0)	(130, 77479360.0)																	
