Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
241M_R2	(50, 9023.0)	(52, 18471.0)	(54, 18683.0)	(56, 20503.0)	(58, 21686.0)	(60, 23304.0)	(62, 25075.0)	(64, 27391.0)	(66, 29707.0)	(68, 33006.0)	(70, 36827.0)	(72, 40696.0)	(74, 45484.0)	(76, 51369.0)	(78, 58449.0)	(80, 66066.0)	(82, 74306.0)	(84, 83503.0)	(86, 94453.0)	(88, 106283.0)	(90, 120827.0)	(92, 136028.0)	(94, 152818.0)	(96, 170527.0)	(98, 193324.0)	(100, 216837.0)	(102, 242962.0)	(104, 269399.0)	(106, 297724.0)	(108, 333412.0)	(110, 372510.0)	(112, 411807.0)	(114, 446771.0)	(116, 481376.0)	(118, 524868.0)	(120, 574447.0)	(122, 627503.0)	(124, 669470.0)	(126, 706251.0)	(128, 755828.0)	(130, 77627391.0)
242M_R1	(15, 7959.0)	(20, 7862.0)	(25, 9831.0)	(30, 11404.0)	(35, 14345.0)	(40, 17721.0)	(45, 22517.0)	(50, 42769.0)	(55, 53832.0)	(60, 65750.0)	(65, 85195.0)	(70, 113496.0)	(75, 154761.0)	(80, 218361.0)	(85, 300744.0)	(90, 424441.0)	(95, 577184.0)	(100, 813290.0)	(105, 1090252.0)	(110, 1537569.0)	(115, 1808094.0)	(120, 2327683.0)	(125, 2719985.0)	(130, 73473690.0)																	
242M_R2	(50, 9140.0)	(52, 18603.0)	(54, 19709.0)	(56, 21112.0)	(58, 22576.0)	(60, 24722.0)	(62, 26781.0)	(64, 28970.0)	(66, 33078.0)	(68, 37040.0)	(70, 41646.0)	(72, 46374.0)	(74, 51488.0)	(76, 58880.0)	(78, 69146.0)	(80, 79366.0)	(82, 89588.0)	(84, 100695.0)	(86, 115171.0)	(88, 133013.0)	(90, 154590.0)	(92, 174396.0)	(94, 194419.0)	(96, 219007.0)	(98, 256502.0)	(100, 298073.0)	(102, 333354.0)	(104, 368240.0)	(106, 413003.0)	(108, 484695.0)	(110, 571747.0)	(112, 630865.0)	(114, 667143.0)	(116, 701961.0)	(118, 762665.0)	(120, 856169.0)	(122, 950939.0)	(124, 1010341.0)	(126, 1057636.0)	(128, 1129739.0)	(130, 73636153.0)
269M_R1	(15, 14386.0)	(20, 13535.0)	(25, 15286.0)	(30, 17220.0)	(35, 20189.0)	(40, 24077.0)	(45, 29809.0)	(50, 55175.0)	(55, 67121.0)	(60, 79742.0)	(65, 97737.0)	(70, 126663.0)	(75, 169064.0)	(80, 228415.0)	(85, 309407.0)	(90, 415095.0)	(95, 551073.0)	(100, 720511.0)	(105, 924858.0)	(110, 1166844.0)	(115, 1424731.0)	(120, 1707778.0)	(125, 1952247.0)	(130, 85911486.0)																	
269M_R2	(50, 11767.0)	(52, 24021.0)	(54, 25111.0)	(56, 26445.0)	(58, 27959.0)	(60, 29921.0)	(62, 32303.0)	(64, 34806.0)	(66, 37996.0)	(68, 42026.0)	(70, 46058.0)	(72, 52072.0)	(74, 58254.0)	(76, 65047.0)	(78, 73586.0)	(80, 82909.0)	(82, 93505.0)	(84, 105704.0)	(86, 119826.0)	(88, 134679.0)	(90, 151708.0)	(92, 169571.0)	(94, 191298.0)	(96, 213535.0)	(98, 237642.0)	(100, 264957.0)	(102, 294414.0)	(104, 326101.0)	(106, 359020.0)	(108, 396057.0)	(110, 435559.0)	(112, 474635.0)	(114, 516211.0)	(116, 556797.0)	(118, 600198.0)	(120, 644849.0)	(122, 686366.0)	(124, 726832.0)	(126, 764671.0)	(128, 804694.0)	(130, 86103339.0)
270M_R1	(15, 16486.0)	(20, 14419.0)	(25, 16314.0)	(30, 18979.0)	(35, 22741.0)	(40, 27666.0)	(45, 34258.0)	(50, 63086.0)	(55, 78529.0)	(60, 92771.0)	(65, 114757.0)	(70, 147179.0)	(75, 194334.0)	(80, 260297.0)	(85, 348594.0)	(90, 461734.0)	(95, 609123.0)	(100, 791860.0)	(105, 1012454.0)	(110, 1271227.0)	(115, 1544745.0)	(120, 1848678.0)	(125, 2105615.0)	(130, 87907032.0)																	
270M_R2	(50, 13296.0)	(52, 27214.0)	(54, 28946.0)	(56, 31140.0)	(58, 32592.0)	(60, 34916.0)	(62, 37656.0)	(64, 41007.0)	(66, 44772.0)	(68, 48636.0)	(70, 54175.0)	(72, 60178.0)	(74, 66815.0)	(76, 75010.0)	(78, 84458.0)	(80, 94785.0)	(82, 106533.0)	(84, 120836.0)	(86, 134512.0)	(88, 150856.0)	(90, 168575.0)	(92, 188848.0)	(94, 212083.0)	(96, 236339.0)	(98, 262265.0)	(100, 292148.0)	(102, 322804.0)	(104, 357803.0)	(106, 393908.0)	(108, 432354.0)	(110, 474805.0)	(112, 516747.0)	(114, 559277.0)	(116, 605086.0)	(118, 651238.0)	(120, 699002.0)	(122, 741993.0)	(124, 787453.0)	(126, 825648.0)	(128, 865662.0)	(130, 88120507.0)
271M_R1	(15, 15282.0)	(20, 13973.0)	(25, 15344.0)	(30, 17409.0)	(35, 20235.0)	(40, 23745.0)	(45, 28750.0)	(50, 54540.0)	(55, 66082.0)	(60, 76985.0)	(65, 93338.0)	(70, 118541.0)	(75, 158380.0)	(80, 211146.0)	(85, 283924.0)	(90, 381396.0)	(95, 505168.0)	(100, 660719.0)	(105, 849276.0)	(110, 1066590.0)	(115, 1303887.0)	(120, 1565517.0)	(125, 1783710.0)	(130, 81230380.0)																	
271M_R2	(50, 11670.0)	(52, 23854.0)	(54, 24895.0)	(56, 25907.0)	(58, 27461.0)	(60, 29158.0)	(62, 31138.0)	(64, 33602.0)	(66, 36244.0)	(68, 39751.0)	(70, 43440.0)	(72, 48678.0)	(74, 53853.0)	(76, 61311.0)	(78, 68976.0)	(80, 76845.0)	(82, 86550.0)	(84, 97581.0)	(86, 109666.0)	(88, 123330.0)	(90, 139148.0)	(92, 156328.0)	(94, 174974.0)	(96, 195348.0)	(98, 218419.0)	(100, 243288.0)	(102, 269896.0)	(104, 299532.0)	(106, 330150.0)	(108, 362561.0)	(110, 397542.0)	(112, 434297.0)	(114, 470646.0)	(116, 510019.0)	(118, 549992.0)	(120, 588513.0)	(122, 629210.0)	(124, 667028.0)	(126, 699325.0)	(128, 733461.0)	(130, 81420730.0)
272M_R1	(15, 12718.0)	(20, 11789.0)	(25, 13170.0)	(30, 15320.0)	(35, 17879.0)	(40, 20916.0)	(45, 25309.0)	(50, 50195.0)	(55, 61073.0)	(60, 70537.0)	(65, 84291.0)	(70, 107017.0)	(75, 142596.0)	(80, 191107.0)	(85, 257249.0)	(90, 346865.0)	(95, 463380.0)	(100, 616720.0)	(105, 797870.0)	(110, 1012496.0)	(115, 1249400.0)	(120, 1514368.0)	(125, 1742418.0)	(130, 80697002.0)																	
272M_R2	(50, 10848.0)	(52, 21989.0)	(54, 22961.0)	(56, 23855.0)	(58, 25536.0)	(60, 26653.0)	(62, 28554.0)	(64, 30645.0)	(66, 32700.0)	(68, 35889.0)	(70, 39217.0)	(72, 43650.0)	(74, 48891.0)	(76, 55270.0)	(78, 61985.0)	(80, 69890.0)	(82, 78227.0)	(84, 88045.0)	(86, 99336.0)	(88, 111808.0)	(90, 125791.0)	(92, 142323.0)	(94, 160086.0)	(96, 179231.0)	(98, 200619.0)	(100, 226054.0)	(102, 252635.0)	(104, 279551.0)	(106, 309402.0)	(108, 342665.0)	(110, 376124.0)	(112, 412991.0)	(114, 449270.0)	(116, 488248.0)	(118, 527500.0)	(120, 569179.0)	(122, 608426.0)	(124, 647031.0)	(126, 682503.0)	(128, 718046.0)	(130, 80868061.0)
69M_R1	(15, 13038.0)	(20, 12414.0)	(25, 14725.0)	(30, 17152.0)	(35, 20975.0)	(40, 25484.0)	(45, 31738.0)	(50, 57788.0)	(55, 69940.0)	(60, 82563.0)	(65, 100854.0)	(70, 127633.0)	(75, 168663.0)	(80, 225325.0)	(85, 299468.0)	(90, 404168.0)	(95, 536099.0)	(100, 711979.0)	(105, 919863.0)	(110, 1198695.0)	(115, 1452434.0)	(120, 1796298.0)	(125, 2075981.0)	(130, 82990070.0)																	
69M_R2	(50, 12236.0)	(52, 25388.0)	(54, 25835.0)	(56, 27437.0)	(58, 29330.0)	(60, 31219.0)	(62, 33374.0)	(64, 36052.0)	(66, 39132.0)	(68, 43161.0)	(70, 46812.0)	(72, 52100.0)	(74, 57968.0)	(76, 65317.0)	(78, 73314.0)	(80, 82646.0)	(82, 91898.0)	(84, 102933.0)	(86, 115521.0)	(88, 130520.0)	(90, 147533.0)	(92, 165450.0)	(94, 184937.0)	(96, 206282.0)	(98, 233414.0)	(100, 262007.0)	(102, 291045.0)	(104, 321405.0)	(106, 355474.0)	(108, 396832.0)	(110, 445104.0)	(112, 490067.0)	(114, 527332.0)	(116, 566908.0)	(118, 612812.0)	(120, 669926.0)	(122, 725797.0)	(124, 772041.0)	(126, 810138.0)	(128, 858196.0)	(130, 83188454.0)
70M_R1	(15, 10826.0)	(20, 10808.0)	(25, 12430.0)	(30, 14209.0)	(35, 17267.0)	(40, 20169.0)	(45, 25027.0)	(50, 50929.0)	(55, 62049.0)	(60, 71811.0)	(65, 87497.0)	(70, 108823.0)	(75, 144884.0)	(80, 195829.0)	(85, 265051.0)	(90, 360862.0)	(95, 483639.0)	(100, 648529.0)	(105, 850190.0)	(110, 1105266.0)	(115, 1361721.0)	(120, 1684390.0)	(125, 1944875.0)	(130, 83807846.0)																	
70M_R2	(50, 10898.0)	(52, 22639.0)	(54, 23397.0)	(56, 24537.0)	(58, 25594.0)	(60, 27183.0)	(62, 29147.0)	(64, 31226.0)	(66, 34091.0)	(68, 37282.0)	(70, 39947.0)	(72, 44396.0)	(74, 49466.0)	(76, 55732.0)	(78, 63471.0)	(80, 71183.0)	(82, 80586.0)	(84, 90150.0)	(86, 102188.0)	(88, 115647.0)	(90, 131053.0)	(92, 147729.0)	(94, 166397.0)	(96, 186273.0)	(98, 210641.0)	(100, 238041.0)	(102, 265377.0)	(104, 294246.0)	(106, 327976.0)	(108, 368077.0)	(110, 409947.0)	(112, 451560.0)	(114, 488800.0)	(116, 530734.0)	(118, 577022.0)	(120, 628974.0)	(122, 680034.0)	(124, 721139.0)	(126, 759757.0)	(128, 803539.0)	(130, 83978851.0)
71M_R1	(15, 9381.0)	(20, 9746.0)	(25, 11076.0)	(30, 12576.0)	(35, 14810.0)	(40, 17118.0)	(45, 20303.0)	(50, 46638.0)	(55, 55668.0)	(60, 62039.0)	(65, 72128.0)	(70, 89672.0)	(75, 116375.0)	(80, 154378.0)	(85, 207222.0)	(90, 281529.0)	(95, 375997.0)	(100, 505880.0)	(105, 665362.0)	(110, 870616.0)	(115, 1086189.0)	(120, 1360747.0)	(125, 1598761.0)	(130, 82275592.0)																	
71M_R2	(50, 10539.0)	(52, 20744.0)	(54, 21300.0)	(56, 21914.0)	(58, 22900.0)	(60, 23947.0)	(62, 24877.0)	(64, 26416.0)	(66, 28057.0)	(68, 30641.0)	(70, 33089.0)	(72, 36548.0)	(74, 40467.0)	(76, 44860.0)	(78, 50594.0)	(80, 56579.0)	(82, 63124.0)	(84, 71013.0)	(86, 79466.0)	(88, 90641.0)	(90, 102971.0)	(92, 115190.0)	(94, 128978.0)	(96, 144708.0)	(98, 163976.0)	(100, 184978.0)	(102, 207186.0)	(104, 231086.0)	(106, 256475.0)	(108, 287886.0)	(110, 321837.0)	(112, 355549.0)	(114, 388919.0)	(116, 423150.0)	(118, 460844.0)	(120, 505513.0)	(122, 548033.0)	(124, 589249.0)	(126, 622215.0)	(128, 663671.0)	(130, 82419673.0)
72M_R1	(15, 9739.0)	(20, 9843.0)	(25, 11168.0)	(30, 12757.0)	(35, 14686.0)	(40, 17054.0)	(45, 20741.0)	(50, 45036.0)	(55, 54142.0)	(60, 60158.0)	(65, 71657.0)	(70, 87692.0)	(75, 114851.0)	(80, 152628.0)	(85, 205167.0)	(90, 276312.0)	(95, 367615.0)	(100, 492432.0)	(105, 647168.0)	(110, 839139.0)	(115, 1048764.0)	(120, 1308042.0)	(125, 1542554.0)	(130, 83871182.0)																	
72M_R2	(50, 9856.0)	(52, 20138.0)	(54, 20846.0)	(56, 21458.0)	(58, 22133.0)	(60, 23185.0)	(62, 24292.0)	(64, 25848.0)	(66, 28095.0)	(68, 30129.0)	(70, 32553.0)	(72, 35653.0)	(74, 39813.0)	(76, 44131.0)	(78, 49907.0)	(80, 55222.0)	(82, 63157.0)	(84, 70091.0)	(86, 79589.0)	(88, 88893.0)	(90, 100557.0)	(92, 113217.0)	(94, 126813.0)	(96, 142156.0)	(98, 159429.0)	(100, 180388.0)	(102, 201753.0)	(104, 224055.0)	(106, 250054.0)	(108, 279723.0)	(110, 310551.0)	(112, 342753.0)	(114, 374541.0)	(116, 408843.0)	(118, 444708.0)	(120, 486208.0)	(122, 527251.0)	(124, 564853.0)	(126, 600348.0)	(128, 642166.0)	(130, 84015171.0)
78M_R1	(15, 10552.0)	(20, 10351.0)	(25, 11865.0)	(30, 13430.0)	(35, 15929.0)	(40, 18775.0)	(45, 22754.0)	(50, 48982.0)	(55, 58792.0)	(60, 66499.0)	(65, 77708.0)	(70, 97236.0)	(75, 127181.0)	(80, 169205.0)	(85, 225345.0)	(90, 304239.0)	(95, 409216.0)	(100, 544005.0)	(105, 715253.0)	(110, 931330.0)	(115, 1162369.0)	(120, 1449394.0)	(125, 1702973.0)	(130, 88887343.0)																	
78M_R2	(50, 10881.0)	(52, 22048.0)	(54, 22170.0)	(56, 23298.0)	(58, 24099.0)	(60, 25479.0)	(62, 26886.0)	(64, 28258.0)	(66, 30452.0)	(68, 32818.0)	(70, 35983.0)	(72, 39580.0)	(74, 43859.0)	(76, 49235.0)	(78, 55186.0)	(80, 61699.0)	(82, 69129.0)	(84, 77352.0)	(86, 87758.0)	(88, 97617.0)	(90, 110769.0)	(92, 124791.0)	(94, 139990.0)	(96, 157509.0)	(98, 178360.0)	(100, 199622.0)	(102, 222538.0)	(104, 246939.0)	(106, 276308.0)	(108, 309428.0)	(110, 344832.0)	(112, 380188.0)	(114, 415322.0)	(116, 452505.0)	(118, 493307.0)	(120, 538812.0)	(122, 584287.0)	(124, 625778.0)	(126, 664744.0)	(128, 705917.0)	(130, 89044993.0)
79M_R1	(15, 11762.0)	(20, 11783.0)	(25, 13043.0)	(30, 14538.0)	(35, 16700.0)	(40, 19621.0)	(45, 23127.0)	(50, 45538.0)	(55, 54714.0)	(60, 62007.0)	(65, 73070.0)	(70, 89970.0)	(75, 118570.0)	(80, 157308.0)	(85, 211767.0)	(90, 286138.0)	(95, 386053.0)	(100, 515765.0)	(105, 679788.0)	(110, 879526.0)	(115, 1099695.0)	(120, 1360962.0)	(125, 1584853.0)	(130, 80451791.0)																	
79M_R2	(50, 9908.0)	(52, 19922.0)	(54, 20954.0)	(56, 21656.0)	(58, 22328.0)	(60, 23848.0)	(62, 25033.0)	(64, 26360.0)	(66, 28499.0)	(68, 31000.0)	(70, 33002.0)	(72, 36927.0)	(74, 40762.0)	(76, 46118.0)	(78, 51204.0)	(80, 57460.0)	(82, 64494.0)	(84, 72269.0)	(86, 81983.0)	(88, 91961.0)	(90, 104139.0)	(92, 117074.0)	(94, 132068.0)	(96, 148975.0)	(98, 168117.0)	(100, 188428.0)	(102, 210768.0)	(104, 237044.0)	(106, 262787.0)	(108, 292790.0)	(110, 325119.0)	(112, 358870.0)	(114, 393703.0)	(116, 428624.0)	(118, 466067.0)	(120, 508271.0)	(122, 548483.0)	(124, 583539.0)	(126, 618530.0)	(128, 657387.0)	(130, 80611618.0)
80M_R1	(15, 11146.0)	(20, 11105.0)	(25, 12336.0)	(30, 14009.0)	(35, 16628.0)	(40, 19211.0)	(45, 23100.0)	(50, 47058.0)	(55, 55647.0)	(60, 64297.0)	(65, 75973.0)	(70, 96126.0)	(75, 127264.0)	(80, 170384.0)	(85, 231516.0)	(90, 314460.0)	(95, 425360.0)	(100, 571992.0)	(105, 754111.0)	(110, 972538.0)	(115, 1216987.0)	(120, 1501279.0)	(125, 1748021.0)	(130, 83352996.0)																	
80M_R2	(50, 10406.0)	(52, 20758.0)	(54, 21000.0)	(56, 21800.0)	(58, 23246.0)	(60, 24300.0)	(62, 26064.0)	(64, 28062.0)	(66, 29440.0)	(68, 32093.0)	(70, 35250.0)	(72, 39372.0)	(74, 43867.0)	(76, 49147.0)	(78, 55187.0)	(80, 61994.0)	(82, 69989.0)	(84, 78911.0)	(86, 89449.0)	(88, 100563.0)	(90, 113886.0)	(92, 128814.0)	(94, 145916.0)	(96, 164193.0)	(98, 185057.0)	(100, 208824.0)	(102, 234533.0)	(104, 261670.0)	(106, 291815.0)	(108, 325183.0)	(110, 359917.0)	(112, 397149.0)	(114, 434479.0)	(116, 474495.0)	(118, 515965.0)	(120, 560488.0)	(122, 604417.0)	(124, 643550.0)	(126, 683466.0)	(128, 724295.0)	(130, 83514534.0)
81M_R1	(15, 10402.0)	(20, 10470.0)	(25, 11706.0)	(30, 13163.0)	(35, 15654.0)	(40, 18045.0)	(45, 21464.0)	(50, 44040.0)	(55, 52678.0)	(60, 59322.0)	(65, 69688.0)	(70, 86731.0)	(75, 113032.0)	(80, 152117.0)	(85, 204872.0)	(90, 279076.0)	(95, 376921.0)	(100, 506884.0)	(105, 666431.0)	(110, 869756.0)	(115, 1091711.0)	(120, 1364135.0)	(125, 1600845.0)	(130, 82854921.0)																	
81M_R2	(50, 9674.0)	(52, 19455.0)	(54, 19979.0)	(56, 20867.0)	(58, 21686.0)	(60, 22608.0)	(62, 24151.0)	(64, 25370.0)	(66, 27222.0)	(68, 29392.0)	(70, 32121.0)	(72, 35484.0)	(74, 38890.0)	(76, 43628.0)	(78, 49104.0)	(80, 55539.0)	(82, 61968.0)	(84, 70169.0)	(86, 78722.0)	(88, 89750.0)	(90, 101545.0)	(92, 114289.0)	(94, 129384.0)	(96, 145135.0)	(98, 163855.0)	(100, 185024.0)	(102, 207176.0)	(104, 231382.0)	(106, 257394.0)	(108, 288448.0)	(110, 321558.0)	(112, 354569.0)	(114, 389587.0)	(116, 425533.0)	(118, 463254.0)	(120, 505406.0)	(122, 550329.0)	(124, 590212.0)	(126, 625236.0)	(128, 663658.0)	(130, 83005311.0)
92M_R1	(15, 10118.0)	(20, 9863.0)	(25, 11504.0)	(30, 13219.0)	(35, 15876.0)	(40, 18906.0)	(45, 23162.0)	(50, 43139.0)	(55, 53116.0)	(60, 62631.0)	(65, 77739.0)	(70, 99498.0)	(75, 134176.0)	(80, 184670.0)	(85, 249975.0)	(90, 344354.0)	(95, 461859.0)	(100, 629296.0)	(105, 821562.0)	(110, 1102350.0)	(115, 1332367.0)	(120, 1696645.0)	(125, 1974385.0)	(130, 82931367.0)																	
