Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
105M_R1	(1.0, 74.53843263704073)	(2.0, 13.044029448339387)	(3.0, 3.034417950018831)	(4.0, 1.226263758119514)	(5.0, 0.7729839501589693)	(6.0, 0.5833257405259261)	(7.0, 0.4435043332825934)	(8.0, 0.3836581440085109)	(9.0, 0.32474473249060165)	('>10', 3.8111157722387228)	('>50', 0.813352291810411)	('>100', 0.9472283512118796)	('>500', 0.037234932837027356)	('>1k', 0.024652110430643456)	('>5k', 0.015055847486304274)	('>10k+', 0.0)
105M_R2	(1.0, 75.38255752740935)	(2.0, 12.958830992494752)	(3.0, 2.906610457776386)	(4.0, 1.168716464672464)	(5.0, 0.7582551153658272)	(6.0, 0.5505037428999509)	(7.0, 0.48872978054390986)	(8.0, 0.40984876950301147)	(9.0, 0.3639638497828846)	('>10', 3.5776599473876765)	('>50', 0.7181741909300172)	('>100', 0.6450455199571345)	('>500', 0.0186455673492786)	('>1k', 0.019828433417545494)	('>5k', 0.006484072994542766)	('>10k+', 0.02614556751526312)
106M_R1	(1.0, 73.55223160381514)	(2.0, 14.669761567539913)	(3.0, 3.5732945307136754)	(4.0, 1.4322174680721307)	(5.0, 0.8236427994161001)	(6.0, 0.611861808695586)	(7.0, 0.4398956464930125)	(8.0, 0.3729933027661734)	(9.0, 0.3140330264439192)	('>10', 2.8378040475425936)	('>50', 0.6760268172745876)	('>100', 0.6610830875386593)	('>500', 0.023683740022145787)	('>1k', 0.011470553666356333)	('>5k', 0.0)	('>10k+', 0.0)
106M_R2	(1.0, 74.36577682811091)	(2.0, 14.77840079905825)	(3.0, 3.4902201630280647)	(4.0, 1.3395427083282663)	(5.0, 0.8488770572633069)	(6.0, 0.5679431964991982)	(7.0, 0.46305935187545727)	(8.0, 0.35002002797314985)	(9.0, 0.32314397789233956)	('>10', 2.469944504678113)	('>50', 0.5464962930745391)	('>100', 0.4153730191903171)	('>500', 0.005948701382128144)	('>1k', 0.0091265126747308)	('>5k', 0.0)	('>10k+', 0.026126858971277013)
107M_R1	(1.0, 74.280981400814)	(2.0, 14.173318811186055)	(3.0, 3.334478226251031)	(4.0, 1.3271627563439707)	(5.0, 0.7645360912569893)	(6.0, 0.5897544816973281)	(7.0, 0.4418204542209692)	(8.0, 0.3949614192639092)	(9.0, 0.3189603866036286)	('>10', 3.044109081736115)	('>50', 0.7008970405633915)	('>100', 0.5904218974356339)	('>500', 0.018550797803065865)	('>1k', 0.0200471548240495)	('>5k', 0.0)	('>10k+', 0.0)
107M_R2	(1.0, 75.3085861087467)	(2.0, 14.01120792733237)	(3.0, 3.211928133279989)	(4.0, 1.3213238732572397)	(5.0, 0.7576238980960581)	(6.0, 0.5547774803319933)	(7.0, 0.4579061576658957)	(8.0, 0.35189944035851206)	(9.0, 0.32702442237872476)	('>10', 2.5736306315321444)	('>50', 0.6300245296676235)	('>100', 0.44165686828820555)	('>500', 0.012004267245007378)	('>1k', 0.012692314710235552)	('>5k', 0.0)	('>10k+', 0.027713947109301983)
109M_R1	(1.0, 74.18703223390135)	(2.0, 14.466761181449108)	(3.0, 3.4544001221164753)	(4.0, 1.3971769099425768)	(5.0, 0.7935681293436634)	(6.0, 0.6007838741383693)	(7.0, 0.43682696771739654)	(8.0, 0.33783818795233317)	(9.0, 0.28988952057647377)	('>10', 2.7853578040177016)	('>50', 0.5916287614204478)	('>100', 0.6158310228694742)	('>500', 0.020120752213253473)	('>1k', 0.01577360187927634)	('>5k', 0.007010930462147612)	('>10k+', 0.0)
109M_R2	(1.0, 75.16493163397556)	(2.0, 14.426042201154482)	(3.0, 3.2507710121490097)	(4.0, 1.2702679732564688)	(5.0, 0.7586065165435666)	(6.0, 0.5507642448144673)	(7.0, 0.41481936784183654)	(8.0, 0.3539068548147267)	(9.0, 0.2979382435891366)	('>10', 2.4215615041940692)	('>50', 0.561347352918482)	('>100', 0.4752961875577213)	('>500', 0.0)	('>1k', 0.029148337052779496)	('>5k', 0.0)	('>10k+', 0.02459857013771767)
239M_R1	(1.0, 72.67347974198947)	(2.0, 14.759345044463648)	(3.0, 3.4776618455770145)	(4.0, 1.4083621399898911)	(5.0, 0.8330447545869282)	(6.0, 0.5563115428866298)	(7.0, 0.46849940362251963)	(8.0, 0.32551156477815735)	(9.0, 0.342711756745315)	('>10', 3.3626059858525603)	('>50', 0.7901470341647702)	('>100', 0.9260536709404037)	('>500', 0.04312311369978135)	('>1k', 0.033142400702986664)	('>5k', 0.0)	('>10k+', 0.0)
239M_R2	(1.0, 73.68903475082575)	(2.0, 14.571692917933598)	(3.0, 3.262555252688077)	(4.0, 1.3586702954926284)	(5.0, 0.8252175760158766)	(6.0, 0.5434182381327032)	(7.0, 0.49362951871395516)	(8.0, 0.4197473968109057)	(9.0, 0.3638315542675304)	('>10', 2.9525928505022296)	('>50', 0.7707884724805286)	('>100', 0.6837438077675596)	('>500', 0.012600747946829796)	('>1k', 0.015105691058985782)	('>5k', 0.0)	('>10k+', 0.03737092936279317)
