Sample	Passed Filter	Low Quality	Too Many N	Too Short
105M	184093268	1732396	44018	83210
106M	174753528	1706350	41350	70094
107M	187289614	1786750	45440	91156
109M	184634908	1789070	45030	73192
239M	214072274	1979626	53332	119190
240M	175157542	1777914	44534	58202
241M	172432730	1593512	43840	56678
242M	171797470	1699016	45162	45888
269M	192084898	1792032	45792	90946
270M	198005756	1863042	45836	106648
271M	181088634	1923558	44416	96564
272M	179043370	1674012	43896	82490
69M	186706694	1705444	46070	79996
70M	186689854	1972156	46158	63996
71M	179839606	1720632	46150	54174
72M	182561054	1890306	44698	57844
78M	194161452	1877684	42386	60218
79M	176336178	1724120	43794	70590
80M	183667088	1806962	45298	67508
81M	180988128	1705394	44674	62478
92M	184603554	1655018	46360	59470
93M	182438408	1706856	45270	73696
94M	189122802	1823676	45190	105822
95M	170571278	1633012	35746	65880
