Sample	Unique Reads	Duplicate Reads
105M_R1	76406958	15639676
105M_R2	77088488	14958146
106M_R1	72546637	14830127
106M_R2	73240153	14136611
107M_R1	78098508	15546299
107M_R2	78918928	14725879
109M_R1	77074119	15243335
109M_R2	77837059	14480395
239M_R1	87960454	19075683
239M_R2	88852421	18183716
240M_R1	70126992	17451779
240M_R2	70904895	16673876
241M_R1	70795137	15421228
241M_R2	71455867	14760498
242M_R1	66633097	19265638
242M_R2	67776155	18122580
269M_R1	80022808	16019641
269M_R2	80896711	15145738
270M_R1	80195794	18807084
270M_R2	80833624	18169254
271M_R1	75609142	14935175
271M_R2	76459671	14084646
272M_R1	74496502	15025183
272M_R2	75180370	14341315
69M_R1	74164013	19189334
69M_R2	74944935	18408412
70M_R1	74350613	18994314
70M_R2	75198554	18146373
71M_R1	72160070	17759733
71M_R2	72840528	17079275
72M_R1	74197872	17082655
72M_R2	74909906	16370621
78M_R1	78925988	18154738
78M_R2	79409117	17671609
79M_R1	74350611	13817478
79M_R2	75222730	12945359
80M_R1	76229230	15604314
80M_R2	77042557	14790987
81M_R1	74608869	15885195
81M_R2	75524567	14969497
92M_R1	77158338	15143439
92M_R2	77929942	14371835
93M_R1	75378673	15840531
93M_R2	75949052	15270152
94M_R1	76441905	18119496
94M_R2	77041128	17520273
95M_R1	71392123	13893516
95M_R2	72095626	13190013
