Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
270M_R2	(19.0, 620.0)	(20.0, 13334.0)	(21.0, 28782.0)	(22.0, 42637.0)	(23.0, 64672.0)	(24.0, 97842.0)	(25.0, 127676.0)	(26.0, 156725.0)	(27.0, 186240.0)	(28.0, 239726.0)	(29.0, 288712.0)	(30.0, 322340.0)	(31.0, 346033.0)	(32.0, 428997.0)	(33.0, 561360.0)	(34.0, 794192.0)	(35.0, 1204025.0)	(36.0, 2231840.0)	(37.0, 4759822.0)	(38.0, 13189328.0)	(39.0, 55677244.0)	(40.0, 18240731.0)
271M_R1	(19.0, 389.0)	(20.0, 11227.0)	(21.0, 32848.0)	(22.0, 60282.0)	(23.0, 91146.0)	(24.0, 128124.0)	(25.0, 157802.0)	(26.0, 183850.0)	(27.0, 204547.0)	(28.0, 242918.0)	(29.0, 282780.0)	(30.0, 340878.0)	(31.0, 414597.0)	(32.0, 543640.0)	(33.0, 674930.0)	(34.0, 894679.0)	(35.0, 1292875.0)	(36.0, 2273776.0)	(37.0, 4334716.0)	(38.0, 10758260.0)	(39.0, 48285953.0)	(40.0, 19334100.0)
271M_R2	(19.0, 589.0)	(20.0, 14868.0)	(21.0, 32999.0)	(22.0, 47509.0)	(23.0, 70470.0)	(24.0, 103503.0)	(25.0, 132075.0)	(26.0, 159484.0)	(27.0, 184450.0)	(28.0, 231945.0)	(29.0, 284137.0)	(30.0, 334285.0)	(31.0, 373976.0)	(32.0, 464975.0)	(33.0, 607452.0)	(34.0, 866033.0)	(35.0, 1316410.0)	(36.0, 2439459.0)	(37.0, 5123134.0)	(38.0, 13750078.0)	(39.0, 50834753.0)	(40.0, 13171733.0)
272M_R1	(19.0, 371.0)	(20.0, 10699.0)	(21.0, 32902.0)	(22.0, 59744.0)	(23.0, 89888.0)	(24.0, 126502.0)	(25.0, 155859.0)	(26.0, 182176.0)	(27.0, 204327.0)	(28.0, 242394.0)	(29.0, 284790.0)	(30.0, 342823.0)	(31.0, 413707.0)	(32.0, 541470.0)	(33.0, 691979.0)	(34.0, 933345.0)	(35.0, 1356821.0)	(36.0, 2405296.0)	(37.0, 4625875.0)	(38.0, 11514881.0)	(39.0, 48690316.0)	(40.0, 16615520.0)
272M_R2	(19.0, 487.0)	(20.0, 13244.0)	(21.0, 29991.0)	(22.0, 44050.0)	(23.0, 64828.0)	(24.0, 95629.0)	(25.0, 125055.0)	(26.0, 150658.0)	(27.0, 175592.0)	(28.0, 220800.0)	(29.0, 271214.0)	(30.0, 319742.0)	(31.0, 361410.0)	(32.0, 453391.0)	(33.0, 595737.0)	(34.0, 848746.0)	(35.0, 1292315.0)	(36.0, 2406193.0)	(37.0, 5089716.0)	(38.0, 13675456.0)	(39.0, 50630886.0)	(40.0, 12656545.0)
69M_R1	(19.0, 417.0)	(20.0, 11064.0)	(21.0, 33395.0)	(22.0, 62207.0)	(23.0, 94139.0)	(24.0, 132987.0)	(25.0, 162253.0)	(26.0, 189294.0)	(27.0, 211108.0)	(28.0, 249393.0)	(29.0, 292949.0)	(30.0, 353766.0)	(31.0, 431324.0)	(32.0, 547454.0)	(33.0, 678889.0)	(34.0, 909797.0)	(35.0, 1324945.0)	(36.0, 2335439.0)	(37.0, 4451738.0)	(38.0, 11127992.0)	(39.0, 50348235.0)	(40.0, 19404562.0)
69M_R2	(19.0, 518.0)	(20.0, 12218.0)	(21.0, 26912.0)	(22.0, 39453.0)	(23.0, 59995.0)	(24.0, 90138.0)	(25.0, 119333.0)	(26.0, 145630.0)	(27.0, 171912.0)	(28.0, 218394.0)	(29.0, 257881.0)	(30.0, 286720.0)	(31.0, 312528.0)	(32.0, 389462.0)	(33.0, 513694.0)	(34.0, 731274.0)	(35.0, 1116688.0)	(36.0, 2093646.0)	(37.0, 4508123.0)	(38.0, 12695157.0)	(39.0, 53993828.0)	(40.0, 15569843.0)
70M_R1	(19.0, 397.0)	(20.0, 11572.0)	(21.0, 33746.0)	(22.0, 62163.0)	(23.0, 94420.0)	(24.0, 133792.0)	(25.0, 163527.0)	(26.0, 191567.0)	(27.0, 213181.0)	(28.0, 251962.0)	(29.0, 291594.0)	(30.0, 353764.0)	(31.0, 427829.0)	(32.0, 537692.0)	(33.0, 654455.0)	(34.0, 885828.0)	(35.0, 1292929.0)	(36.0, 2268018.0)	(37.0, 4343727.0)	(38.0, 10965174.0)	(39.0, 50663661.0)	(40.0, 19503929.0)
70M_R2	(19.0, 615.0)	(20.0, 13546.0)	(21.0, 29621.0)	(22.0, 42940.0)	(23.0, 64831.0)	(24.0, 97198.0)	(25.0, 127016.0)	(26.0, 153756.0)	(27.0, 178480.0)	(28.0, 224421.0)	(29.0, 272002.0)	(30.0, 315288.0)	(31.0, 350760.0)	(32.0, 438516.0)	(33.0, 576096.0)	(34.0, 823846.0)	(35.0, 1258037.0)	(36.0, 2365784.0)	(37.0, 5092850.0)	(38.0, 14105300.0)	(39.0, 53517502.0)	(40.0, 13296522.0)
71M_R1	(19.0, 414.0)	(20.0, 10435.0)	(21.0, 31218.0)	(22.0, 58264.0)	(23.0, 90289.0)	(24.0, 128448.0)	(25.0, 158062.0)	(26.0, 183660.0)	(27.0, 204313.0)	(28.0, 239583.0)	(29.0, 277663.0)	(30.0, 331085.0)	(31.0, 396792.0)	(32.0, 514999.0)	(33.0, 627878.0)	(34.0, 839856.0)	(35.0, 1211568.0)	(36.0, 2116957.0)	(37.0, 4023434.0)	(38.0, 10026630.0)	(39.0, 47640158.0)	(40.0, 20808097.0)
71M_R2	(19.0, 484.0)	(20.0, 11556.0)	(21.0, 25414.0)	(22.0, 38815.0)	(23.0, 60312.0)	(24.0, 92295.0)	(25.0, 121861.0)	(26.0, 151479.0)	(27.0, 179663.0)	(28.0, 222097.0)	(29.0, 247807.0)	(30.0, 272493.0)	(31.0, 308928.0)	(32.0, 392606.0)	(33.0, 512778.0)	(34.0, 725386.0)	(35.0, 1098040.0)	(36.0, 2042377.0)	(37.0, 4354671.0)	(38.0, 12064761.0)	(39.0, 51263532.0)	(40.0, 15732448.0)
72M_R1	(19.0, 375.0)	(20.0, 10351.0)	(21.0, 31176.0)	(22.0, 58469.0)	(23.0, 90459.0)	(24.0, 128973.0)	(25.0, 160220.0)	(26.0, 187167.0)	(27.0, 206903.0)	(28.0, 243669.0)	(29.0, 280447.0)	(30.0, 333768.0)	(31.0, 398941.0)	(32.0, 516496.0)	(33.0, 641929.0)	(34.0, 853755.0)	(35.0, 1230919.0)	(36.0, 2154329.0)	(37.0, 4105247.0)	(38.0, 10304161.0)	(39.0, 48624131.0)	(40.0, 20718642.0)
72M_R2	(19.0, 628.0)	(20.0, 13422.0)	(21.0, 28978.0)	(22.0, 42808.0)	(23.0, 64862.0)	(24.0, 98098.0)	(25.0, 126601.0)	(26.0, 154618.0)	(27.0, 179595.0)	(28.0, 225492.0)	(29.0, 267160.0)	(30.0, 304004.0)	(31.0, 336809.0)	(32.0, 423353.0)	(33.0, 557524.0)	(34.0, 792849.0)	(35.0, 1202420.0)	(36.0, 2239845.0)	(37.0, 4766531.0)	(38.0, 13185444.0)	(39.0, 52362484.0)	(40.0, 13907002.0)
78M_R1	(19.0, 312.0)	(20.0, 10220.0)	(21.0, 33419.0)	(22.0, 62727.0)	(23.0, 98855.0)	(24.0, 140837.0)	(25.0, 175281.0)	(26.0, 203433.0)	(27.0, 226902.0)	(28.0, 268724.0)	(29.0, 312053.0)	(30.0, 377209.0)	(31.0, 451212.0)	(32.0, 577422.0)	(33.0, 721883.0)	(34.0, 977369.0)	(35.0, 1430876.0)	(36.0, 2528276.0)	(37.0, 4878187.0)	(38.0, 12266470.0)	(39.0, 52778499.0)	(40.0, 18560560.0)
78M_R2	(19.0, 525.0)	(20.0, 14146.0)	(21.0, 32377.0)	(22.0, 47754.0)	(23.0, 71889.0)	(24.0, 108187.0)	(25.0, 142174.0)	(26.0, 174999.0)	(27.0, 208226.0)	(28.0, 258641.0)	(29.0, 289666.0)	(30.0, 315205.0)	(31.0, 350844.0)	(32.0, 450789.0)	(33.0, 598948.0)	(34.0, 857689.0)	(35.0, 1312574.0)	(36.0, 2457579.0)	(37.0, 5199089.0)	(38.0, 14207387.0)	(39.0, 56045530.0)	(40.0, 13936508.0)
79M_R1	(19.0, 377.0)	(20.0, 11075.0)	(21.0, 33719.0)	(22.0, 60001.0)	(23.0, 90105.0)	(24.0, 125815.0)	(25.0, 154617.0)	(26.0, 181618.0)	(27.0, 202236.0)	(28.0, 240351.0)	(29.0, 280894.0)	(30.0, 337733.0)	(31.0, 408096.0)	(32.0, 533059.0)	(33.0, 678949.0)	(34.0, 913702.0)	(35.0, 1332374.0)	(36.0, 2359303.0)	(37.0, 4518299.0)	(38.0, 11202282.0)	(39.0, 47821709.0)	(40.0, 16681775.0)
79M_R2	(19.0, 510.0)	(20.0, 13497.0)	(21.0, 29939.0)	(22.0, 43835.0)	(23.0, 64631.0)	(24.0, 94736.0)	(25.0, 121900.0)	(26.0, 147645.0)	(27.0, 172597.0)	(28.0, 219421.0)	(29.0, 265924.0)	(30.0, 310635.0)	(31.0, 349101.0)	(32.0, 442946.0)	(33.0, 585365.0)	(34.0, 840159.0)	(35.0, 1285187.0)	(36.0, 2398957.0)	(37.0, 5091556.0)	(38.0, 13705605.0)	(39.0, 49872512.0)	(40.0, 12111431.0)
80M_R1	(19.0, 395.0)	(20.0, 11056.0)	(21.0, 33288.0)	(22.0, 60562.0)	(23.0, 91938.0)	(24.0, 130383.0)	(25.0, 159451.0)	(26.0, 187216.0)	(27.0, 209109.0)	(28.0, 247842.0)	(29.0, 289667.0)	(30.0, 353941.0)	(31.0, 436350.0)	(32.0, 536081.0)	(33.0, 651516.0)	(34.0, 890201.0)	(35.0, 1302979.0)	(36.0, 2292708.0)	(37.0, 4384038.0)	(38.0, 10973652.0)	(39.0, 49576999.0)	(40.0, 19014172.0)
80M_R2	(19.0, 578.0)	(20.0, 13336.0)	(21.0, 29140.0)	(22.0, 42325.0)	(23.0, 63112.0)	(24.0, 94312.0)	(25.0, 121082.0)	(26.0, 147695.0)	(27.0, 171475.0)	(28.0, 216514.0)	(29.0, 262165.0)	(30.0, 301439.0)	(31.0, 333749.0)	(32.0, 418797.0)	(33.0, 550947.0)	(34.0, 783139.0)	(35.0, 1188552.0)	(36.0, 2218848.0)	(37.0, 4748836.0)	(38.0, 13190471.0)	(39.0, 52808290.0)	(40.0, 14128742.0)
81M_R1	(19.0, 326.0)	(20.0, 10409.0)	(21.0, 31912.0)	(22.0, 59535.0)	(23.0, 90909.0)	(24.0, 128753.0)	(25.0, 159223.0)	(26.0, 185170.0)	(27.0, 206290.0)	(28.0, 244997.0)	(29.0, 286501.0)	(30.0, 343967.0)	(31.0, 416840.0)	(32.0, 543576.0)	(33.0, 661922.0)	(34.0, 894746.0)	(35.0, 1307343.0)	(36.0, 2314891.0)	(37.0, 4444876.0)	(38.0, 11134171.0)	(39.0, 49118636.0)	(40.0, 17909071.0)
81M_R2	(19.0, 549.0)	(20.0, 12863.0)	(21.0, 28560.0)	(22.0, 41908.0)	(23.0, 63905.0)	(24.0, 95769.0)	(25.0, 124534.0)	(26.0, 153262.0)	(27.0, 183736.0)	(28.0, 233751.0)	(29.0, 268188.0)	(30.0, 293838.0)	(31.0, 329903.0)	(32.0, 424767.0)	(33.0, 563445.0)	(34.0, 807589.0)	(35.0, 1233468.0)	(36.0, 2308126.0)	(37.0, 4946916.0)	(38.0, 13714049.0)	(39.0, 52103506.0)	(40.0, 12561432.0)
92M_R1	(19.0, 348.0)	(20.0, 10218.0)	(21.0, 31134.0)	(22.0, 57770.0)	(23.0, 88059.0)	(24.0, 124674.0)	(25.0, 152877.0)	(26.0, 179478.0)	(27.0, 199526.0)	(28.0, 235411.0)	(29.0, 276464.0)	(30.0, 334169.0)	(31.0, 403956.0)	(32.0, 513730.0)	(33.0, 638691.0)	(34.0, 868386.0)	(35.0, 1268635.0)	(36.0, 2244483.0)	(37.0, 4317520.0)	(38.0, 10904496.0)	(39.0, 50352173.0)	(40.0, 19099579.0)
92M_R2	(19.0, 511.0)	(20.0, 12096.0)	(21.0, 26830.0)	(22.0, 39055.0)	(23.0, 59568.0)	(24.0, 88663.0)	(25.0, 114901.0)	(26.0, 140290.0)	(27.0, 161986.0)	(28.0, 203625.0)	(29.0, 247135.0)	(30.0, 286911.0)	(31.0, 321507.0)	(32.0, 402380.0)	(33.0, 530841.0)	(34.0, 761733.0)	(35.0, 1168948.0)	(36.0, 2200850.0)	(37.0, 4742570.0)	(38.0, 13317932.0)	(39.0, 53482318.0)	(40.0, 13991127.0)
93M_R1	(19.0, 348.0)	(20.0, 9682.0)	(21.0, 29886.0)	(22.0, 57819.0)	(23.0, 89241.0)	(24.0, 127391.0)	(25.0, 157825.0)	(26.0, 184178.0)	(27.0, 204790.0)	(28.0, 240782.0)	(29.0, 280143.0)	(30.0, 336521.0)	(31.0, 408550.0)	(32.0, 521557.0)	(33.0, 637990.0)	(34.0, 856012.0)	(35.0, 1243363.0)	(36.0, 2177578.0)	(37.0, 4154977.0)	(38.0, 10394190.0)	(39.0, 48260972.0)	(40.0, 20845409.0)
93M_R2	(19.0, 535.0)	(20.0, 12873.0)	(21.0, 28310.0)	(22.0, 41591.0)	(23.0, 62757.0)	(24.0, 94411.0)	(25.0, 122603.0)	(26.0, 148559.0)	(27.0, 174413.0)	(28.0, 220765.0)	(29.0, 261452.0)	(30.0, 294542.0)	(31.0, 322673.0)	(32.0, 403257.0)	(33.0, 530000.0)	(34.0, 753324.0)	(35.0, 1139226.0)	(36.0, 2117001.0)	(37.0, 4480371.0)	(38.0, 12313410.0)	(39.0, 51865627.0)	(40.0, 15831504.0)
94M_R1	(19.0, 365.0)	(20.0, 10410.0)	(21.0, 31731.0)	(22.0, 60627.0)	(23.0, 94845.0)	(24.0, 134893.0)	(25.0, 166435.0)	(26.0, 193396.0)	(27.0, 215312.0)	(28.0, 254628.0)	(29.0, 296001.0)	(30.0, 357192.0)	(31.0, 441162.0)	(32.0, 556594.0)	(33.0, 658631.0)	(34.0, 881142.0)	(35.0, 1275148.0)	(36.0, 2233826.0)	(37.0, 4242404.0)	(38.0, 10627123.0)	(39.0, 50141543.0)	(40.0, 21687993.0)
94M_R2	(19.0, 522.0)	(20.0, 12920.0)	(21.0, 28514.0)	(22.0, 41901.0)	(23.0, 64170.0)	(24.0, 97496.0)	(25.0, 127199.0)	(26.0, 154331.0)	(27.0, 180202.0)	(28.0, 226866.0)	(29.0, 273759.0)	(30.0, 310720.0)	(31.0, 335550.0)	(32.0, 410730.0)	(33.0, 531978.0)	(34.0, 750686.0)	(35.0, 1139497.0)	(36.0, 2126660.0)	(37.0, 4535242.0)	(38.0, 12690140.0)	(39.0, 54156581.0)	(40.0, 16365737.0)
95M_R1	(19.0, 255.0)	(20.0, 8279.0)	(21.0, 26726.0)	(22.0, 51187.0)	(23.0, 80120.0)	(24.0, 116094.0)	(25.0, 144866.0)	(26.0, 170044.0)	(27.0, 189866.0)	(28.0, 224917.0)	(29.0, 263129.0)	(30.0, 314430.0)	(31.0, 375632.0)	(32.0, 490493.0)	(33.0, 629566.0)	(34.0, 847749.0)	(35.0, 1235092.0)	(36.0, 2193362.0)	(37.0, 4262613.0)	(38.0, 10819194.0)	(39.0, 46704300.0)	(40.0, 16137725.0)
95M_R2	(19.0, 503.0)	(20.0, 13181.0)	(21.0, 30000.0)	(22.0, 43614.0)	(23.0, 65565.0)	(24.0, 97468.0)	(25.0, 125917.0)	(26.0, 154571.0)	(27.0, 182361.0)	(28.0, 234604.0)	(29.0, 278471.0)	(30.0, 310628.0)	(31.0, 341186.0)	(32.0, 431808.0)	(33.0, 571266.0)	(34.0, 821352.0)	(35.0, 1252711.0)	(36.0, 2339370.0)	(37.0, 4935650.0)	(38.0, 13248802.0)	(39.0, 48722651.0)	(40.0, 11083960.0)
