Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
105M_R1	(19.0, 358.0)	(20.0, 10504.0)	(21.0, 32442.0)	(22.0, 60122.0)	(23.0, 91188.0)	(24.0, 127963.0)	(25.0, 158900.0)	(26.0, 185782.0)	(27.0, 207176.0)	(28.0, 244189.0)	(29.0, 285774.0)	(30.0, 340296.0)	(31.0, 406150.0)	(32.0, 528898.0)	(33.0, 682872.0)	(34.0, 929451.0)	(35.0, 1349564.0)	(36.0, 2372895.0)	(37.0, 4560338.0)	(38.0, 11491789.0)	(39.0, 50377328.0)	(40.0, 17602655.0)
105M_R2	(19.0, 527.0)	(20.0, 13813.0)	(21.0, 30897.0)	(22.0, 44485.0)	(23.0, 65829.0)	(24.0, 96233.0)	(25.0, 124012.0)	(26.0, 151099.0)	(27.0, 176969.0)	(28.0, 226541.0)	(29.0, 271346.0)	(30.0, 308247.0)	(31.0, 339603.0)	(32.0, 427950.0)	(33.0, 564885.0)	(34.0, 808996.0)	(35.0, 1243696.0)	(36.0, 2339258.0)	(37.0, 4999797.0)	(38.0, 13758758.0)	(39.0, 52941946.0)	(40.0, 13111747.0)
106M_R1	(19.0, 289.0)	(20.0, 8739.0)	(21.0, 28635.0)	(22.0, 54909.0)	(23.0, 85386.0)	(24.0, 122701.0)	(25.0, 151987.0)	(26.0, 178274.0)	(27.0, 197465.0)	(28.0, 233398.0)	(29.0, 272927.0)	(30.0, 329555.0)	(31.0, 402041.0)	(32.0, 508604.0)	(33.0, 615692.0)	(34.0, 829676.0)	(35.0, 1209705.0)	(36.0, 2122844.0)	(37.0, 4082775.0)	(38.0, 10323408.0)	(39.0, 46872833.0)	(40.0, 18744921.0)
106M_R2	(19.0, 566.0)	(20.0, 13257.0)	(21.0, 29918.0)	(22.0, 43397.0)	(23.0, 64409.0)	(24.0, 95145.0)	(25.0, 122041.0)	(26.0, 147383.0)	(27.0, 171883.0)	(28.0, 216947.0)	(29.0, 265535.0)	(30.0, 307016.0)	(31.0, 335716.0)	(32.0, 413524.0)	(33.0, 536458.0)	(34.0, 762929.0)	(35.0, 1157972.0)	(36.0, 2151060.0)	(37.0, 4522654.0)	(38.0, 12273888.0)	(39.0, 49901162.0)	(40.0, 13843904.0)
107M_R1	(19.0, 354.0)	(20.0, 10224.0)	(21.0, 31609.0)	(22.0, 59359.0)	(23.0, 91569.0)	(24.0, 130097.0)	(25.0, 161730.0)	(26.0, 187543.0)	(27.0, 209349.0)	(28.0, 248744.0)	(29.0, 290697.0)	(30.0, 354294.0)	(31.0, 440362.0)	(32.0, 559034.0)	(33.0, 661286.0)	(34.0, 896265.0)	(35.0, 1313634.0)	(36.0, 2315143.0)	(37.0, 4446205.0)	(38.0, 11175377.0)	(39.0, 50269447.0)	(40.0, 19792485.0)
107M_R2	(19.0, 531.0)	(20.0, 14504.0)	(21.0, 32070.0)	(22.0, 46648.0)	(23.0, 69155.0)	(24.0, 101556.0)	(25.0, 130382.0)	(26.0, 159249.0)	(27.0, 186632.0)	(28.0, 238372.0)	(29.0, 287088.0)	(30.0, 323842.0)	(31.0, 352828.0)	(32.0, 439730.0)	(33.0, 574782.0)	(34.0, 816409.0)	(35.0, 1241311.0)	(36.0, 2306148.0)	(37.0, 4855884.0)	(38.0, 13158624.0)	(39.0, 53251477.0)	(40.0, 15057585.0)
109M_R1	(19.0, 373.0)	(20.0, 10874.0)	(21.0, 33435.0)	(22.0, 60647.0)	(23.0, 92408.0)	(24.0, 129669.0)	(25.0, 160397.0)	(26.0, 187701.0)	(27.0, 209376.0)	(28.0, 248558.0)	(29.0, 290343.0)	(30.0, 350254.0)	(31.0, 422367.0)	(32.0, 553323.0)	(33.0, 697487.0)	(34.0, 935341.0)	(35.0, 1367427.0)	(36.0, 2422292.0)	(37.0, 4661863.0)	(38.0, 11643347.0)	(39.0, 50069300.0)	(40.0, 17770672.0)
109M_R2	(19.0, 559.0)	(20.0, 14100.0)	(21.0, 31681.0)	(22.0, 46164.0)	(23.0, 68919.0)	(24.0, 100775.0)	(25.0, 129442.0)	(26.0, 155984.0)	(27.0, 182125.0)	(28.0, 230727.0)	(29.0, 282274.0)	(30.0, 326453.0)	(31.0, 363467.0)	(32.0, 457419.0)	(33.0, 602684.0)	(34.0, 860595.0)	(35.0, 1307412.0)	(36.0, 2436725.0)	(37.0, 5145050.0)	(38.0, 13844183.0)	(39.0, 52263227.0)	(40.0, 13467489.0)
239M_R1	(19.0, 427.0)	(20.0, 12252.0)	(21.0, 37234.0)	(22.0, 68220.0)	(23.0, 103736.0)	(24.0, 146709.0)	(25.0, 180424.0)	(26.0, 211061.0)	(27.0, 234813.0)	(28.0, 280399.0)	(29.0, 328136.0)	(30.0, 401034.0)	(31.0, 495968.0)	(32.0, 640714.0)	(33.0, 777954.0)	(34.0, 1035976.0)	(35.0, 1514407.0)	(36.0, 2677543.0)	(37.0, 5133882.0)	(38.0, 12836354.0)	(39.0, 57189548.0)	(40.0, 22729346.0)
239M_R2	(19.0, 645.0)	(20.0, 15663.0)	(21.0, 34780.0)	(22.0, 50479.0)	(23.0, 75275.0)	(24.0, 110755.0)	(25.0, 143630.0)	(26.0, 174840.0)	(27.0, 207657.0)	(28.0, 270480.0)	(29.0, 323751.0)	(30.0, 353985.0)	(31.0, 379157.0)	(32.0, 474950.0)	(33.0, 624190.0)	(34.0, 884069.0)	(35.0, 1342427.0)	(36.0, 2493258.0)	(37.0, 5282171.0)	(38.0, 14499928.0)	(39.0, 60811221.0)	(40.0, 18482826.0)
240M_R1	(19.0, 371.0)	(20.0, 10682.0)	(21.0, 31350.0)	(22.0, 57681.0)	(23.0, 87998.0)	(24.0, 123577.0)	(25.0, 152063.0)	(26.0, 177121.0)	(27.0, 196788.0)	(28.0, 232956.0)	(29.0, 270827.0)	(30.0, 323325.0)	(31.0, 388405.0)	(32.0, 498303.0)	(33.0, 618656.0)	(34.0, 831792.0)	(35.0, 1207701.0)	(36.0, 2115348.0)	(37.0, 4034845.0)	(38.0, 10145946.0)	(39.0, 47448653.0)	(40.0, 18624383.0)
240M_R2	(19.0, 588.0)	(20.0, 11865.0)	(21.0, 25717.0)	(22.0, 38571.0)	(23.0, 60033.0)	(24.0, 91758.0)	(25.0, 119410.0)	(26.0, 146009.0)	(27.0, 171886.0)	(28.0, 216155.0)	(29.0, 254002.0)	(30.0, 282821.0)	(31.0, 314379.0)	(32.0, 399358.0)	(33.0, 526676.0)	(34.0, 749997.0)	(35.0, 1147629.0)	(36.0, 2151458.0)	(37.0, 4616751.0)	(38.0, 12843458.0)	(39.0, 50274348.0)	(40.0, 13135902.0)
241M_R1	(19.0, 356.0)	(20.0, 10391.0)	(21.0, 31002.0)	(22.0, 56153.0)	(23.0, 84556.0)	(24.0, 118015.0)	(25.0, 144650.0)	(26.0, 169507.0)	(27.0, 188879.0)	(28.0, 222556.0)	(29.0, 261616.0)	(30.0, 313057.0)	(31.0, 378151.0)	(32.0, 491330.0)	(33.0, 606344.0)	(34.0, 814295.0)	(35.0, 1190307.0)	(36.0, 2102873.0)	(37.0, 4016935.0)	(38.0, 10090582.0)	(39.0, 46832606.0)	(40.0, 18092204.0)
241M_R2	(19.0, 492.0)	(20.0, 12131.0)	(21.0, 26125.0)	(22.0, 37508.0)	(23.0, 55768.0)	(24.0, 83861.0)	(25.0, 110029.0)	(26.0, 132615.0)	(27.0, 152982.0)	(28.0, 190650.0)	(29.0, 229463.0)	(30.0, 264962.0)	(31.0, 297761.0)	(32.0, 376270.0)	(33.0, 494369.0)	(34.0, 705128.0)	(35.0, 1079883.0)	(36.0, 2026827.0)	(37.0, 4384633.0)	(38.0, 12371098.0)	(39.0, 49948946.0)	(40.0, 13234864.0)
242M_R1	(19.0, 447.0)	(20.0, 11084.0)	(21.0, 31671.0)	(22.0, 58100.0)	(23.0, 88442.0)	(24.0, 123687.0)	(25.0, 151188.0)	(26.0, 175173.0)	(27.0, 194309.0)	(28.0, 226928.0)	(29.0, 262666.0)	(30.0, 312225.0)	(31.0, 369553.0)	(32.0, 476914.0)	(33.0, 587008.0)	(34.0, 785355.0)	(35.0, 1127846.0)	(36.0, 1959046.0)	(37.0, 3677449.0)	(38.0, 9126104.0)	(39.0, 45393084.0)	(40.0, 20760456.0)
242M_R2	(19.0, 481.0)	(20.0, 10662.0)	(21.0, 22653.0)	(22.0, 33932.0)	(23.0, 53297.0)	(24.0, 81383.0)	(25.0, 106239.0)	(26.0, 127819.0)	(27.0, 146213.0)	(28.0, 181743.0)	(29.0, 211236.0)	(30.0, 236458.0)	(31.0, 262252.0)	(32.0, 332951.0)	(33.0, 437501.0)	(34.0, 621928.0)	(35.0, 947107.0)	(36.0, 1781018.0)	(37.0, 3860358.0)	(38.0, 11176741.0)	(39.0, 49959908.0)	(40.0, 15306855.0)
269M_R1	(19.0, 479.0)	(20.0, 12526.0)	(21.0, 37247.0)	(22.0, 67612.0)	(23.0, 100564.0)	(24.0, 141283.0)	(25.0, 172336.0)	(26.0, 200678.0)	(27.0, 222579.0)	(28.0, 264038.0)	(29.0, 306951.0)	(30.0, 373296.0)	(31.0, 455923.0)	(32.0, 593795.0)	(33.0, 715081.0)	(34.0, 954717.0)	(35.0, 1381152.0)	(36.0, 2422799.0)	(37.0, 4563802.0)	(38.0, 11080699.0)	(39.0, 50199383.0)	(40.0, 21775509.0)
269M_R2	(19.0, 540.0)	(20.0, 12781.0)	(21.0, 28350.0)	(22.0, 41346.0)	(23.0, 62601.0)	(24.0, 93640.0)	(25.0, 122347.0)	(26.0, 151876.0)	(27.0, 183163.0)	(28.0, 234131.0)	(29.0, 268695.0)	(30.0, 295780.0)	(31.0, 325383.0)	(32.0, 414506.0)	(33.0, 544509.0)	(34.0, 773740.0)	(35.0, 1175238.0)	(36.0, 2187481.0)	(37.0, 4697340.0)	(38.0, 13070439.0)	(39.0, 54067665.0)	(40.0, 17290898.0)
270M_R1	(19.0, 439.0)	(20.0, 12018.0)	(21.0, 35483.0)	(22.0, 65463.0)	(23.0, 99368.0)	(24.0, 139795.0)	(25.0, 171596.0)	(26.0, 201317.0)	(27.0, 222839.0)	(28.0, 264875.0)	(29.0, 308797.0)	(30.0, 376187.0)	(31.0, 468331.0)	(32.0, 595359.0)	(33.0, 696306.0)	(34.0, 935763.0)	(35.0, 1357464.0)	(36.0, 2377042.0)	(37.0, 4496130.0)	(38.0, 11028303.0)	(39.0, 51713905.0)	(40.0, 23436098.0)
