Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
241M_R1 - polya	(1, 0.017118559800102916)	(2, 0.020201501188318483)	(3, 0.02303506996612534)	(4, 0.02577120944498182)	(5, 0.028238258479118206)	(6, 0.03086305018774568)	(7, 0.03358179157750388)	(8, 0.036393322775786247)	(9, 0.03879193932613605)	(10, 0.04275870364054434)	(12, 0.04797523068851256)	(14, 0.053219014742734744)	(16, 0.05861822172623492)	(18, 0.06358479622749115)	(20, 0.06914580543960534)	(22, 0.07448701879277791)	(24, 0.0799633573046138)	(26, 0.08508187511732837)	(28, 0.0903343582160997)	(30, 0.09527657539261833)	(32, 0.1001718177285716)	(34, 0.10491569668936981)	(36, 0.10945717788032469)	(38, 0.11376146512323965)	(40, 0.11798688102890907)	(42, 0.12261593260165862)	(44, 0.12697531379338484)	(46, 0.13131903670492256)	(48, 0.13612090929604836)	(50, 0.14099469398878045)	(52, 0.14513079970374534)	(54, 0.14881861465627783)	(56, 0.15231679043763907)	(58, 0.15586426080477878)	(60, 0.15928936461192722)	(62, 0.16287859039290278)	(64, 0.1665466875111239)	(66, 0.17020492571218931)	(68, 0.1738567846139187)	(70, 0.1775625775918528)	(72, 0.18133564318096684)	(74, 0.1853980969854157)	(76, 0.18919957945339033)	(78, 0.19324289535983102)	(80, 0.19762837368520467)	(82, 0.20216463544943003)	(84, 0.2070604577216866)	(86, 0.21176026152343586)	(88, 0.21622229144084187)	(90, 0.22029924365287262)	(92, 0.22429500478244474)	(94, 0.22820783502064834)	(96, 0.23231088436632652)	(98, 0.23628866747049704)	(100, 0.2401295856070944)	(102, 0.24414912412510084)	(104, 0.24809327092368139)	(106, 0.2520722139004584)	(108, 0.2563115482774065)	(110, 0.2606802084499851)	(112, 0.26478383773196656)	(114, 0.268687968925621)	(116, 0.2726315357878983)	(118, 0.27651884882875777)	(120, 0.27949914149129346)
241M_R1 - polyg	(1, 0.0011053585940441818)	(2, 0.0013779286565839327)	(3, 0.0016493388465171315)	(4, 0.0019010312021389443)	(5, 0.0021399649590886833)	(6, 0.002425293620300508)	(7, 0.00274193884188924)	(8, 0.003017988522248647)	(9, 0.0033079566738866803)	(10, 0.003791623550818919)	(12, 0.004438252528971733)	(14, 0.004993251571206928)	(16, 0.005623642332868012)	(18, 0.006307967170733769)	(20, 0.007017809205943675)	(22, 0.007730550922669959)	(24, 0.008434593594847103)	(26, 0.009215767795359965)	(28, 0.010093211422216652)	(30, 0.010942818106516088)	(32, 0.011714713326176532)	(34, 0.012405997399681604)	(36, 0.01312163879792427)	(38, 0.013877295801092981)	(40, 0.014657890065302569)	(42, 0.015556211399077194)	(44, 0.01637160184148334)	(46, 0.017913072535591126)	(48, 0.020333726665465426)	(50, 0.030974397957974683)	(52, 0.06972806148809452)	(54, 0.09866398334005383)	(56, 0.11147477627942212)	(58, 0.1204695883432339)	(60, 0.12467586635089523)	(62, 0.1274920370396038)	(64, 0.13006637428984624)	(66, 0.13230666822940168)	(68, 0.1337414306437067)	(70, 0.1345939370095225)	(72, 0.13537047171960914)	(74, 0.13605421662117162)	(76, 0.13673622171382427)	(78, 0.13743794464078832)	(80, 0.13810139177173614)	(82, 0.13875845960334793)	(84, 0.13936855259439435)	(86, 0.13991601246468693)	(88, 0.1404530334815206)	(90, 0.1410074525874525)	(92, 0.14151373698021252)	(94, 0.14199450417562837)	(96, 0.1424543936641263)	(98, 0.14297923601859114)	(100, 0.14349073983808064)	(102, 0.14399296467671768)	(104, 0.14446677263649424)	(106, 0.1449260821886889)	(108, 0.14545324428836684)	(110, 0.1459432904646351)	(112, 0.146396800653797)	(114, 0.1467841981043854)	(116, 0.14723190893051452)	(118, 0.14760712771873413)	(120, 0.14792435287662614)
241M_R2 - illumina_universal_adapter	(1, 0.0012804993576335537)	(2, 0.002795292981790638)	(3, 0.004311246478554275)	(4, 0.005748328638072366)	(5, 0.007063624173902484)	(6, 0.008229296143487377)	(7, 0.009121238177925966)	(8, 0.0098206413596769)	(9, 0.010341424160018809)	(10, 0.010835529890410017)	(12, 0.011184071608678932)	(14, 0.011380090079186243)	(16, 0.013797844527544161)	(18, 0.01713305820768482)	(20, 0.020596437810849483)	(22, 0.024277293527742674)	(24, 0.028296832045749086)	(26, 0.03258546100847559)	(28, 0.03726032754918396)	(30, 0.042248359693661405)	(32, 0.047592472728350356)	(34, 0.05326946920111976)	(36, 0.05949972490721454)	(38, 0.06608084207679134)	(40, 0.07331090796973405)	(42, 0.08100666271420745)	(44, 0.08948939102222647)	(46, 0.09872661646080763)	(48, 0.10898105017533505)	(50, 0.12018715936353846)	(52, 0.12311989724920552)	(54, 0.12318600998777901)	(56, 0.12326546126132783)	(58, 0.1233605708150651)	(60, 0.12348119756614652)	(62, 0.12360646380765414)	(64, 0.12375260775607971)	(66, 0.12392368896554616)	(68, 0.12413420584363537)	(70, 0.1243516819573639)	(72, 0.12460685393080537)	(74, 0.12486898513988615)	(76, 0.12517925106213884)	(78, 0.12548371762135876)	(80, 0.1257858644353656)	(82, 0.12608917112197898)	(84, 0.12642321443266602)	(86, 0.1267961134756725)	(88, 0.12719394977971987)	(90, 0.1276636981853735)	(92, 0.12815258448903522)	(94, 0.1287232418114589)	(96, 0.12932463575795616)	(98, 0.12996198575525655)	(100, 0.13078085581548238)	(102, 0.13169773511096183)	(104, 0.1326969653615065)	(106, 0.13379768446512447)	(108, 0.13512863828114302)	(110, 0.13656862012217752)	(112, 0.13814024750405562)	(114, 0.13993283061748196)	(116, 0.14195390863439905)	(118, 0.14405327805225843)	(120, 0.14577742868189816)
241M_R2 - polya	(1, 0.1095685256505537)	(2, 0.14683639237168025)	(3, 0.18336078075200687)	(4, 0.2197135079865638)	(5, 0.25605115687723556)	(6, 0.2923250127745469)	(7, 0.3283007814119744)	(8, 0.3644992455898599)	(9, 0.400600280468795)	(10, 0.4551612678173106)	(12, 0.5280818786549398)	(14, 0.6014293226117802)	(16, 0.6748973933197021)	(18, 0.7481178312261252)	(20, 0.8207803704087966)	(22, 0.8932190541784033)	(24, 0.965426343363003)	(26, 1.037033398473712)	(28, 1.1082698742866275)	(30, 1.1794860523289286)	(32, 1.2507967599886634)	(34, 1.3212903373970823)	(36, 1.3925117348661127)	(38, 1.4637702482585528)	(40, 1.5345793110159538)	(42, 1.6049534215458978)	(44, 1.6750422034146302)	(46, 1.7451350448374854)	(48, 1.8145157244799175)	(50, 1.8841515760957912)	(52, 1.953483541088748)	(54, 2.022653703853091)	(56, 2.091149400696724)	(58, 2.1590935781159413)	(60, 2.2262606408887686)	(62, 2.2931719517518516)	(64, 2.359775896374198)	(66, 2.4266622699762395)	(68, 2.494016652175025)	(70, 2.561612287875973)	(72, 2.6293123121115114)	(74, 2.6972814267917697)	(76, 2.7653607293696503)	(78, 2.833545000418424)	(80, 2.9022686122292445)	(82, 2.9703861906031412)	(84, 3.0385780008238576)	(86, 3.1064815827018455)	(88, 3.1746240983367833)	(90, 3.2428994193851715)	(92, 3.311259991070141)	(94, 3.380426094280361)	(96, 3.450361772965028)	(98, 3.5198665589763616)	(100, 3.5897535230115536)	(102, 3.6595331988306397)	(104, 3.728770634206162)	(106, 3.797627051430433)	(108, 3.866780396041981)	(110, 3.9360334896976923)	(112, 4.0053689343084695)	(114, 4.074715397709008)	(116, 4.144596562381167)	(118, 4.213981301577722)	(120, 4.267599312497111)
241M_R2 - polyg	(1, 0.029777409428012883)	(2, 0.029811045733602895)	(3, 0.02984120242137325)	(4, 0.02988991707084844)	(5, 0.029931672484684316)	(6, 0.02996182917245467)	(7, 0.03002098267538883)	(8, 0.030070857197470574)	(9, 0.030125371209978522)	(10, 0.03024541802475667)	(12, 0.030402000826641205)	(14, 0.030502909743411244)	(16, 0.030614257513640247)	(18, 0.030750542544910123)	(20, 0.030903065792671727)	(22, 0.031077626619957825)	(24, 0.03128698362544048)	(26, 0.031508519293291945)	(28, 0.031728315152233566)	(30, 0.03197594795373245)	(32, 0.03226823585058358)	(34, 0.03258372119956577)	(36, 0.03289978648485122)	(38, 0.033241948903784097)	(40, 0.03361252820157751)	(42, 0.034003405269985576)	(44, 0.034424439026164)	(46, 0.034883168642055366)	(48, 0.03534827755728277)	(50, 0.03584412309658381)	(52, 0.0363289498461226)	(54, 0.03732354060624106)	(56, 0.0717369608426428)	(58, 0.11006437118985474)	(60, 0.12424033418713488)	(62, 0.1357955650299105)	(64, 0.14123188793682034)	(66, 0.1444331363309042)	(68, 0.14703009109697446)	(70, 0.1496166070095857)	(72, 0.1515118388486919)	(74, 0.1525586238761052)	(76, 0.15345810508248636)	(78, 0.15434308788128565)	(80, 0.15522807068008493)	(82, 0.1561345111221054)	(84, 0.15708850634099453)	(86, 0.15804308149618695)	(88, 0.15897561907185487)	(90, 0.1601789869011527)	(92, 0.16353971777863752)	(94, 0.16783356616809347)	(96, 0.17227181869706523)	(98, 0.17693798619322446)	(100, 0.18193239763703795)	(102, 0.18733392436575122)	(104, 0.19296162625274216)	(106, 0.19901326157742788)	(108, 0.20532934785640755)	(110, 0.2121122828595244)	(112, 0.21943397868838474)	(114, 0.22717090891039074)	(116, 0.23536250919416518)	(118, 0.24417986074917447)	(120, 0.25116229384061833)
242M_R1 - polya	(1, 0.017996772595079542)	(2, 0.020740701245483998)	(3, 0.023385676168572216)	(4, 0.025765222270153338)	(5, 0.027843250543794388)	(6, 0.029899159748976514)	(7, 0.031965546407639184)	(8, 0.034171632446042426)	(9, 0.03621473587474833)	(10, 0.03952561117459995)	(12, 0.043808561325146406)	(14, 0.04789069361731578)	(16, 0.052015317804156254)	(18, 0.05598161602729074)	(20, 0.060292506053785305)	(22, 0.06428208750687656)	(24, 0.0684026371284746)	(26, 0.07224669839433608)	(28, 0.07608552093345727)	(30, 0.07990455272711525)	(32, 0.08367236141486833)	(34, 0.08708742916877646)	(36, 0.09066547953238194)	(38, 0.09394259414879624)	(40, 0.09705847239776)	(42, 0.10053465863030463)	(44, 0.10380828076222542)	(46, 0.10696956130960486)	(48, 0.11067334111497684)	(50, 0.11422636200637878)	(52, 0.11740685121847255)	(54, 0.12029513589460893)	(56, 0.12300996050756743)	(58, 0.12597275151956544)	(60, 0.1289396170968059)	(62, 0.13192860174250529)	(64, 0.13496531700961603)	(66, 0.13798224153126354)	(68, 0.14108764232674673)	(70, 0.14434321995545102)	(72, 0.1478351223682165)	(74, 0.1510482081022497)	(76, 0.15424383141381537)	(78, 0.15792723839297518)	(80, 0.16162985403684932)	(82, 0.16546576617222594)	(84, 0.1695962111665556)	(86, 0.17392165321177316)	(88, 0.17862719398603483)	(90, 0.1828123545707629)	(92, 0.18686363658323957)	(94, 0.1907094440913478)	(96, 0.19450170017055549)	(98, 0.19841619320703618)	(100, 0.20234931282748225)	(102, 0.20621200067730916)	(104, 0.2101212549870496)	(106, 0.21397579370639158)	(108, 0.2179397636065304)	(110, 0.22181933179807595)	(112, 0.2256104237157858)	(114, 0.2290452822151572)	(116, 0.23248770776426453)	(118, 0.23586726859248858)	(120, 0.2387497324611358)
242M_R1 - polyg	(1, 0.001610035351510124)	(2, 0.002008178583770762)	(3, 0.0023888593935638283)	(4, 0.0028219274707596102)	(5, 0.0032340406409943055)	(6, 0.0036473179727268394)	(7, 0.004076893565429107)	(8, 0.004578647170997338)	(9, 0.005038490962643396)	(10, 0.005837687830909268)	(12, 0.006834210073058701)	(14, 0.007737599395381085)	(16, 0.00880746381189432)	(18, 0.010011206800658938)	(20, 0.01125103879585654)	(22, 0.012458856349863592)	(24, 0.013609047909727657)	(26, 0.014790671830033353)	(28, 0.01620745637290235)	(30, 0.01763180796550729)	(32, 0.018763372941405947)	(34, 0.019738940276594293)	(36, 0.02082743127707294)	(38, 0.022020114731608094)	(40, 0.02337810911883627)	(42, 0.024683134157912803)	(44, 0.02591307078037878)	(46, 0.027901458618686294)	(48, 0.030831071027995927)	(50, 0.041887694853713506)	(52, 0.07567166152097583)	(54, 0.09744672025728901)	(56, 0.10706327631018081)	(58, 0.11420889958391121)	(60, 0.11790336609730051)	(62, 0.1206117878220209)	(64, 0.12297794606637688)	(66, 0.12502628822182305)	(68, 0.12649196754760125)	(70, 0.12760432385878556)	(72, 0.1286555616913334)	(74, 0.12957874175911904)	(76, 0.13048387732368819)	(78, 0.1314099677952184)	(80, 0.13244374320529867)	(82, 0.13338322153405402)	(84, 0.13416262765685666)	(86, 0.13483784132560275)	(88, 0.13547987639166048)	(90, 0.13610212071225497)	(92, 0.13671214133712212)	(94, 0.1372581330796082)	(96, 0.13778433407663104)	(98, 0.13833905703035093)	(100, 0.13893045107125268)	(102, 0.13944442837254822)	(104, 0.13995549527009915)	(106, 0.1404298910804682)	(108, 0.14090428689083723)	(110, 0.14144038326059166)	(112, 0.14197007674210804)	(114, 0.14247241242842518)	(116, 0.14294506199654744)	(118, 0.1433891896079727)	(120, 0.14372737852309467)
242M_R2 - illumina_universal_adapter	(1, 0.001437739449830082)	(2, 0.003075714677288321)	(3, 0.0047218390352314265)	(4, 0.006415694014585895)	(5, 0.007835971041948405)	(6, 0.008979177632825443)	(7, 0.009981520682464067)	(8, 0.01073007652557398)	(9, 0.011292366529029794)	(10, 0.011824970414290734)	(12, 0.012228352373291645)	(14, 0.012436737281404667)	(16, 0.014526989250773018)	(18, 0.017580584859602413)	(20, 0.020763402394691842)	(22, 0.02408417306727509)	(24, 0.02764999973515326)	(26, 0.03167334187168181)	(28, 0.03619960177527644)	(30, 0.04097208183566382)	(32, 0.04594014102768801)	(34, 0.05131856714770014)	(36, 0.057351834110246205)	(38, 0.06393458529977188)	(40, 0.07100628431838955)	(42, 0.07879394265817768)	(44, 0.0873022169651276)	(46, 0.09656603208417447)	(48, 0.10691892028444888)	(50, 0.11843014917507225)	(52, 0.12154137077804464)	(54, 0.12160714590267249)	(56, 0.12169154761126576)	(58, 0.12179515798457335)	(60, 0.12194708106004122)	(62, 0.12211297407348315)	(64, 0.12228701621740995)	(66, 0.12249249072177838)	(68, 0.1227375467170733)	(70, 0.1230763177129442)	(72, 0.12344710315000565)	(74, 0.12381672442556925)	(76, 0.12422534511131042)	(78, 0.12464793573502567)	(80, 0.12510137663843363)	(82, 0.12562466723171184)	(84, 0.12618055434692954)	(86, 0.12673294897765375)	(88, 0.1273872077394388)	(90, 0.1281846583654579)	(92, 0.1290432274701135)	(94, 0.12999667573684293)	(96, 0.1310368540351613)	(98, 0.13222895540894752)	(100, 0.1336113971876303)	(102, 0.1352511186573353)	(104, 0.13718304466299766)	(106, 0.1392360434644352)	(108, 0.14158532136707253)	(110, 0.14433216042122157)	(112, 0.14744745658943637)	(114, 0.15095158269792913)	(116, 0.1546332434348422)	(118, 0.158539587340838)	(120, 0.16180098577703153)
242M_R2 - polya	(1, 0.12112634720406534)	(2, 0.15870780867727563)	(3, 0.19607040778889234)	(4, 0.23345745429196368)	(5, 0.270636115886922)	(6, 0.3071931152420347)	(7, 0.34377456198860207)	(8, 0.3806365716561484)	(9, 0.4173216287760233)	(10, 0.47256225600994006)	(12, 0.54514074043116)	(14, 0.617581853795635)	(16, 0.6896731366300097)	(18, 0.7616631374140725)	(20, 0.832763136733038)	(22, 0.903414351794587)	(24, 0.9730975665706835)	(26, 1.0424006826177359)	(28, 1.1106176359873055)	(30, 1.178306060036856)	(32, 1.246182496168308)	(34, 1.3149902614980302)	(36, 1.3831530813579502)	(38, 1.450584225716479)	(40, 1.5174548263137986)	(42, 1.58348432022893)	(44, 1.6490900593588487)	(46, 1.7147365441411915)	(48, 1.779622249384697)	(50, 1.843886874469106)	(52, 1.90788490657051)	(54, 1.9719423109083039)	(56, 2.0353763067640056)	(58, 2.097982001713995)	(60, 2.1597855893919737)	(62, 2.2219611266685124)	(64, 2.2839958004038126)	(66, 2.34612360705894)	(68, 2.4082467570680754)	(70, 2.470990987236308)	(72, 2.534135688959797)	(74, 2.5972361525463676)	(76, 2.660791803278593)	(78, 2.725597763459497)	(80, 2.79041478317463)	(82, 2.8545903499044543)	(84, 2.9183264456688445)	(86, 2.9822703442605993)	(88, 3.0461019012678126)	(90, 3.11014126110239)	(92, 3.1744064682675477)	(94, 3.2393637694431705)	(96, 3.3050853426421236)	(98, 3.371398309881979)	(100, 3.4376804268421415)	(102, 3.503755323055689)	(104, 3.5702085717560337)	(106, 3.636201394583983)	(108, 3.701569062687594)	(110, 3.767000177592837)	(112, 3.8319301209732597)	(114, 3.8969811371494583)	(116, 3.9623918792284893)	(118, 4.0273369567083845)	(120, 4.076609510023634)
242M_R2 - polyg	(1, 0.03207148510394245)	(2, 0.03209476833389921)	(3, 0.032139006470817064)	(4, 0.03221584112967438)	(5, 0.03225076597460952)	(6, 0.03229616827302521)	(7, 0.032342734732938735)	(8, 0.032411420261311184)	(9, 0.03246962833620309)	(10, 0.03261107395819042)	(12, 0.032764161195156134)	(14, 0.032885233990931295)	(16, 0.033024933370671875)	(18, 0.03317976684988434)	(20, 0.033349152347819794)	(22, 0.03355346269069038)	(24, 0.03377523545602855)	(26, 0.03402494809731482)	(28, 0.034321227198514624)	(30, 0.03466174443663227)	(32, 0.03503136571219588)	(34, 0.035489463261595175)	(36, 0.03594115792275637)	(38, 0.03640856876413838)	(40, 0.03693942640715256)	(42, 0.037552357435764336)	(44, 0.038176347998605566)	(46, 0.03888706859303574)	(48, 0.039601281671959435)	(50, 0.040339942142337715)	(52, 0.04112400491113169)	(54, 0.04227652479399144)	(56, 0.06557838133471931)	(58, 0.10009984431086208)	(60, 0.11236486777133563)	(62, 0.12165196612033925)	(64, 0.12696810960021704)	(66, 0.13019283694922865)	(68, 0.1328541101332866)	(70, 0.1353622960803788)	(72, 0.1374438168385134)	(74, 0.13894034644398431)	(76, 0.14023605819107815)	(78, 0.14146715897504195)	(80, 0.1427483187034128)	(82, 0.14405217958099148)	(84, 0.145386308657514)	(86, 0.1466930799388373)	(88, 0.14799286625117353)	(90, 0.14948590337215095)	(92, 0.15265940761525765)	(94, 0.15704946062360522)	(96, 0.16157746676944662)	(98, 0.16625914223300262)	(100, 0.17113756098969327)	(102, 0.17656313565036785)	(104, 0.1822814969277487)	(106, 0.188413717617611)	(108, 0.19477062147655608)	(110, 0.20154953387846747)	(112, 0.20912182234115556)	(114, 0.21707653785588343)	(116, 0.22550215669648685)	(118, 0.23465071982724775)	(120, 0.2418592078218614)
269M_R1 - polya	(1, 0.01042559837265291)	(2, 0.012995295444829818)	(3, 0.015501478934590683)	(4, 0.017935819191782585)	(5, 0.02032122275432606)	(6, 0.022630618259224106)	(7, 0.025104524354642395)	(8, 0.027565935974831295)	(9, 0.029861795798230843)	(10, 0.03353829513447747)	(12, 0.03835283292286726)	(14, 0.04317101493319896)	(16, 0.04798399091218509)	(18, 0.052699614105008924)	(20, 0.05759588658552428)	(22, 0.06247185554379189)	(24, 0.0672332918124568)	(26, 0.07217069194060222)	(28, 0.07700345083870155)	(30, 0.08183985395874277)	(32, 0.08663721184369216)	(34, 0.0913366963393447)	(36, 0.09618975875969177)	(38, 0.10081167338829522)	(40, 0.10535029151536941)	(42, 0.11016691171629744)	(44, 0.11485702535552794)	(46, 0.11955286562923859)	(48, 0.12437313005210851)	(50, 0.1296312217111415)	(52, 0.13434007706321607)	(54, 0.13877509516651332)	(56, 0.14320282482592672)	(58, 0.1475779735687498)	(60, 0.15204422786012048)	(62, 0.15645269520355526)	(64, 0.16072528512887047)	(66, 0.1650686770804855)	(68, 0.1694464288389814)	(70, 0.17374973434923552)	(72, 0.1781727785804379)	(74, 0.1826499655376343)	(76, 0.18689131927487607)	(78, 0.19141796352985543)	(80, 0.19588630023376435)	(82, 0.20035880176274973)	(84, 0.20483182389486965)	(86, 0.20930328421758593)	(88, 0.21373153448013388)	(90, 0.21808325608190188)	(92, 0.22231680077212523)	(94, 0.2264930791175473)	(96, 0.23059126699278565)	(98, 0.23464103877651016)	(100, 0.23863406481856786)	(102, 0.24267654815840856)	(104, 0.24678358628693442)	(106, 0.25090988673143894)	(108, 0.25495809670575975)	(110, 0.2589688232543924)	(112, 0.26296757593093034)	(114, 0.2668413838551743)	(116, 0.27059753547100823)	(118, 0.27439741775014503)	(120, 0.27720555105794936)
269M_R1 - polyg	(1, 0.001426452588688154)	(2, 0.0017304848192698627)	(3, 0.0020303522247751096)	(4, 0.0023541673744700117)	(5, 0.0026634056363972975)	(6, 0.002992426817437777)	(7, 0.003302706285634178)	(8, 0.0036379747042893503)	(9, 0.003974284329213638)	(10, 0.004501655304520609)	(12, 0.005210716773788223)	(14, 0.005891145070655164)	(16, 0.0065476256233324495)	(18, 0.0072410689985633325)	(20, 0.007976160624558835)	(22, 0.008720623106976376)	(24, 0.009442699654607933)	(26, 0.01055783156883057)	(28, 0.011722420780836192)	(30, 0.01262722902869751)	(32, 0.013478935756833938)	(34, 0.014260881664939634)	(36, 0.015012632591240985)	(38, 0.01579457849934668)	(40, 0.016602554564180264)	(42, 0.017520377890405524)	(44, 0.018533992193389404)	(46, 0.021928324630705744)	(48, 0.026737135784615403)	(50, 0.045120153068983065)	(52, 0.09543176059577574)	(54, 0.13123624117498295)	(56, 0.1502596003148566)	(58, 0.16301906253973178)	(60, 0.16888053323171714)	(62, 0.17273872306192442)	(64, 0.17612680826162608)	(66, 0.17904114460888018)	(68, 0.18075601133411331)	(70, 0.18157179644596527)	(72, 0.18232510918167028)	(74, 0.18306436563274225)	(76, 0.1837703034832025)	(78, 0.18445541720828046)	(80, 0.18515875204306798)	(82, 0.1858797873844304)	(84, 0.1865050317490342)	(86, 0.18713600274811817)	(88, 0.18773365514659043)	(90, 0.18833182814819727)	(92, 0.18888366747082846)	(94, 0.18944904247495814)	(96, 0.19000452601953122)	(98, 0.19053345880424186)	(100, 0.19103688203535918)	(102, 0.19155852637618603)	(104, 0.19207236166999447)	(106, 0.19260129445470514)	(108, 0.19314063930210693)	(110, 0.1936346916768022)	(112, 0.19415633601762905)	(114, 0.19464986778918975)	(116, 0.19512934327611742)	(118, 0.1955874740345282)	(120, 0.19596647311648624)
269M_R2 - illumina_universal_adapter	(1, 0.0012567359668223372)	(2, 0.0027269192188133394)	(3, 0.004216885389917535)	(4, 0.00565687366010419)	(5, 0.006940680989923529)	(6, 0.008008958622035971)	(7, 0.0088200583056769)	(8, 0.009474977048950511)	(9, 0.009973714851856807)	(10, 0.010428721991460256)	(12, 0.010801473835803583)	(14, 0.010999303026935517)	(16, 0.014379579179618796)	(18, 0.019106655641402896)	(20, 0.02385351502230019)	(22, 0.028920545330950485)	(24, 0.03434470938990737)	(26, 0.04013954288066936)	(28, 0.046332637769368)	(30, 0.05279644628803666)	(32, 0.05961114131939722)	(34, 0.06674704848477989)	(36, 0.07438898189695267)	(38, 0.08276028030064081)	(40, 0.09164229037933008)	(42, 0.10107145435243951)	(44, 0.1113335833408413)	(46, 0.12260203818834314)	(48, 0.13483465004104592)	(50, 0.14817041993587649)	(52, 0.1516865735066793)	(54, 0.15175633432671007)	(56, 0.15183911022510474)	(58, 0.151954163517842)	(60, 0.15208275249207776)	(62, 0.15221810930706275)	(64, 0.15239875859475427)	(66, 0.15260752045171194)	(68, 0.15285272452808862)	(70, 0.15312343815805862)	(72, 0.1534082080726617)	(74, 0.15371171970010886)	(76, 0.15399544840844281)	(78, 0.15430728968604288)	(80, 0.15467587670530974)	(82, 0.15498511496723705)	(84, 0.1553328778611216)	(86, 0.15569886186471568)	(88, 0.15611638557863097)	(90, 0.1565703515119653)	(92, 0.15710501093115609)	(94, 0.15769537488574453)	(96, 0.1583862152453026)	(98, 0.15912599229950913)	(100, 0.15999279651854775)	(102, 0.16094758266732662)	(104, 0.1619674442079252)	(106, 0.16311068869141393)	(108, 0.1643747131021201)	(110, 0.16573661090212308)	(112, 0.16721043837605598)	(114, 0.16886595634394952)	(116, 0.17067296982399938)	(118, 0.1726366848475511)	(120, 0.17415111936597952)
269M_R2 - polya	(1, 0.1091652712854084)	(2, 0.1451743488964968)	(3, 0.18101891591706495)	(4, 0.21712690812371935)	(5, 0.25321824103006785)	(6, 0.2888982974601158)	(7, 0.3246897629609591)	(8, 0.36012930074284133)	(9, 0.3961873150485782)	(10, 0.4499666600546598)	(12, 0.5228104918482451)	(14, 0.5957246050649958)	(16, 0.6685970700309818)	(18, 0.7415330485793838)	(20, 0.8144638210964403)	(22, 0.8874830961463717)	(24, 0.9606908295310128)	(26, 1.0337507116254399)	(28, 1.1065258238052635)	(30, 1.1798199773102414)	(32, 1.2531391197656778)	(34, 1.3267149195664514)	(36, 1.3997508539166885)	(38, 1.4728830998468188)	(40, 1.546110616150573)	(42, 1.6187987876069259)	(44, 1.6914911238883548)	(46, 1.764072571702123)	(48, 1.8367878145214727)	(50, 1.9092339055202558)	(52, 1.9820397332850188)	(54, 2.0552485078759286)	(56, 2.1276565948458894)	(58, 2.1998954857971187)	(60, 2.2716168972325974)	(62, 2.34355800319086)	(64, 2.4147629763168577)	(66, 2.486632759645685)	(68, 2.5584046695852165)	(70, 2.6299855181743648)	(72, 2.7016845436750576)	(74, 2.773627732045858)	(76, 2.8456276661583253)	(78, 2.9178139761929645)	(80, 2.990273082270112)	(82, 3.062817046658192)	(84, 3.134610821929374)	(86, 3.206276008226321)	(88, 3.2773633250439085)	(90, 3.3488775364318335)	(92, 3.419970579883901)	(94, 3.490955337883981)	(96, 3.5617552817712923)	(98, 3.6328228156697673)	(100, 3.703585796734525)	(102, 3.7739760259549398)	(104, 3.844480787864957)	(106, 3.914265555639882)	(108, 3.98384520577979)	(110, 4.0539787776548675)	(112, 4.1236058026800215)	(114, 4.192843937163659)	(116, 4.262038340983995)	(118, 4.331219209122833)	(120, 4.384280121803225)
269M_R2 - polyg	(1, 0.03245023458325183)	(2, 0.03247938835878706)	(3, 0.03251166575312964)	(4, 0.032574138129276564)	(5, 0.03263140447407792)	(6, 0.03268242358126457)	(7, 0.03272094821322184)	(8, 0.032781338176830536)	(9, 0.0328323572840172)	(10, 0.03295626083004193)	(12, 0.03313118348325332)	(14, 0.033247798585394256)	(16, 0.03336233127499695)	(18, 0.033492482058636384)	(20, 0.033645539380196356)	(22, 0.03381577660519673)	(24, 0.034007879161848525)	(26, 0.034214558606267945)	(28, 0.03443737674785864)	(30, 0.03468882806185003)	(32, 0.03500118994258466)	(34, 0.035368215152447854)	(36, 0.03572274588708166)	(38, 0.03611423944426906)	(40, 0.036519789286089524)	(42, 0.03697896125076944)	(44, 0.037423556327681726)	(46, 0.03790303181460939)	(48, 0.038382507301537055)	(50, 0.03886302399473383)	(52, 0.03942319296751794)	(54, 0.040500320852917854)	(56, 0.07700865687004713)	(58, 0.1326147982752918)	(60, 0.15657451633704175)	(62, 0.1753604804475571)	(64, 0.18447520012739366)	(66, 0.18942353292136482)	(68, 0.1932785991327647)	(70, 0.1968926260928644)	(72, 0.19962423073988877)	(74, 0.20086586921580896)	(76, 0.20181649053951134)	(78, 0.20274732894410052)	(80, 0.20368389398316988)	(82, 0.20458037258087827)	(84, 0.2055825336149019)	(86, 0.20652846951039328)	(88, 0.20744577223348398)	(90, 0.20878216047989362)	(92, 0.21291054333693635)	(94, 0.218535139602698)	(96, 0.22435600325018784)	(98, 0.2304059322768831)	(100, 0.23673334277429764)	(102, 0.24359228907209562)	(104, 0.25065218817983287)	(106, 0.2581650120146353)	(108, 0.2661172248950045)	(110, 0.27427924083860045)	(112, 0.2830508830527635)	(114, 0.29238373544597973)	(116, 0.3021643065349156)	(118, 0.31268725769373085)	(120, 0.32102471689367273)
