Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
105M_R1	105M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	92046634.0	11.8 Gbp	0.0	15-131	17.0	83.00896433270212	256.8643147885234	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
105M_R2	105M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	92046634.0	11.8 Gbp	0.0	51-131	17.0	83.74938284037972	256.8460887445379	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
106M_R1	106M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87376764.0	11.2 Gbp	0.0	15-131	17.0	83.0273787947765	257.5154194426335	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
106M_R2	106M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87376764.0	11.3 Gbp	0.0	51-131	17.0	83.82108648735492	257.43000811977885	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
107M_R1	107M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	93644807.0	12 Gbp	0.0	15-131	17.0	83.39865265402373	256.9697447505018	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
107M_R2	107M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	93644807.0	12 Gbp	0.0	51-131	17.0	84.27475003091105	256.9479061823471	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
109M_R1	109M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	92317454.0	11.9 Gbp	0.0	15-131	17.0	83.48813231566402	257.55362287179196	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
109M_R2	109M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	92317454.0	11.9 Gbp	0.0	51-131	17.0	84.31456316157063	257.47339937472714	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
239M_R1	239M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	107036137.0	13.7 Gbp	0.0	15-131	17.0	82.17827750889765	255.65677092774752	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
239M_R2	239M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	107036137.0	13.7 Gbp	0.0	51-131	17.0	83.01160962789747	255.75584713506618	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
240M_R1	240M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87578771.0	11.2 Gbp	0.0	15-131	18.0	80.07304865620107	256.2981291093934	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
240M_R2	240M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87578771.0	11.2 Gbp	0.0	51-131	17.0	80.96128098070781	256.2950923974487	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
241M_R1	241M_R1.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86216365.0	11.1 Gbp	0.0	15-131	17.0	82.1133399065283	256.73165123581816	131	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
241M_R2	241M_R2.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86216365.0	11.1 Gbp	0.0	51-131	17.0	82.87970161781122	256.6849082827837	130	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
