"sample","CpG_ge_1x","CpG_ge_5x","CpG_ge_10x"
"105M",16460075,12551409,6878087
"106M",16224662,12018400,6021521
"107M",16493720,12597887,6963756
"109M",16546232,12678732,7092892
"239M",16856479,13279109,8061758
"240M",16497009,12241169,6486599
"241M",16299956,12206985,6371095
"242M",15909468,11487293,6648088
"269M",16599996,12837018,7335962
"270M",16697049,12963599,7464001
"271M",16474926,12465459,6651761
"272M",16423173,12364749,6534830
"69M",16675373,12682545,7017737
"70M",16700013,12630774,7158347
"71M",16618575,12646397,6946220
"72M",16633582,12709293,6916750
"78M",16763254,12996234,7441908
"79M",16407468,12443337,6703649
"80M",16568264,12722427,7104547
"81M",16513522,12580826,6856760
"92M",16381469,12440635,6700329
"94M",16674446,12810561,7174576
"95M",16259956,12082393,6089099
