"cls","Freq","sample","prop"
"unmethylated",5600581,"105M",0.814264344141038
"intermediate",694803,"105M",0.101016896122425
"methylated",582703,"105M",0.0847187597365372
"unmethylated",4864068,"106M",0.807780625526341
"intermediate",568123,"106M",0.0943487534129666
"methylated",589330,"106M",0.0978706210606921
"unmethylated",5618390,"107M",0.806804546282207
"intermediate",633767,"107M",0.0910093633378309
"methylated",711599,"107M",0.102186090379962
"unmethylated",5773225,"109M",0.813945143955385
"intermediate",634199,"109M",0.0894133168811819
"methylated",685468,"109M",0.0966415391634329
"unmethylated",6467380,"239M",0.802229488903041
"intermediate",760471,"239M",0.0943306658423634
"methylated",833907,"239M",0.103439845254596
"unmethylated",4996831,"240M",0.770331417126294
"intermediate",769833,"240M",0.118680528887326
"methylated",719935,"240M",0.11098805398638
"unmethylated",5120399,"241M",0.803692143972112
"intermediate",673962,"241M",0.105784327497863
"methylated",576734,"241M",0.0905235285300251
"unmethylated",5103482,"242M",0.767661619400947
"intermediate",845868,"242M",0.127234777878993
"methylated",698738,"242M",0.10510360272006
"unmethylated",5940855,"269M",0.809826304989039
"intermediate",716260,"269M",0.09763681981995
"methylated",678847,"269M",0.0925368751910111
"unmethylated",6028846,"270M",0.807723096500121
"intermediate",775685,"270M",0.103923485540798
"methylated",659470,"270M",0.0883534179590812
"unmethylated",5425015,"271M",0.815575755051933
"intermediate",598630,"271M",0.0899957169236838
"methylated",628116,"271M",0.0944285280243833
"unmethylated",5322802,"272M",0.814527998433012
"intermediate",590093,"272M",0.0902996711467628
"methylated",621935,"272M",0.0951723304202252
"unmethylated",5470985,"69M",0.779593906126719
"intermediate",808785,"69M",0.115248690567914
"methylated",737967,"69M",0.105157403305368
"unmethylated",5571757,"70M",0.77835804830361
"intermediate",841114,"70M",0.117501149357526
"methylated",745476,"70M",0.104140802338864
"unmethylated",5530231,"71M",0.796149704443568
"intermediate",755262,"71M",0.108729927932026
"methylated",660727,"71M",0.0951203676244058
"unmethylated",5544516,"72M",0.801607113167311
"intermediate",738063,"72M",0.106706617992554
"methylated",634171,"72M",0.0916862688401344
"unmethylated",5971955,"78M",0.802476327307459
"intermediate",777408,"78M",0.104463532739185
"methylated",692545,"78M",0.093060139953356
"unmethylated",5461497,"79M",0.814705095687438
"intermediate",615406,"79M",0.0918016441493282
"methylated",626746,"79M",0.0934932601632335
"unmethylated",5717950,"80M",0.804829639384467
"intermediate",682100,"80M",0.0960089362488558
"methylated",704497,"80M",0.0991614243666767
"unmethylated",5582254,"81M",0.814124163599134
"intermediate",690968,"81M",0.100771793091781
"methylated",583538,"81M",0.0851040433090848
"unmethylated",5466782,"92M",0.815897547717433
"intermediate",662026,"92M",0.0988049989784084
"methylated",571521,"92M",0.0852974533041587
"unmethylated",4474110,"93M",0.82003572584574
"intermediate",456628,"93M",0.0836929072869215
"methylated",525256,"93M",0.0962713668673389
"unmethylated",5728356,"94M",0.798424325005408
"intermediate",752696,"94M",0.104911565505753
"methylated",693524,"94M",0.0966641094888395
"unmethylated",4912110,"95M",0.806705556930508
"intermediate",579588,"95M",0.0951845256580653
"methylated",597401,"95M",0.0981099174114266
